adverse_event_name	preferred_name	dsstox_substance_id	toxicity_label
kidney_infection	amitriptyline	DTXSID7022594	1
kidney_infection	carvedilol	DTXSID8022747	1
kidney_infection	ciprofloxacin	DTXSID8022824	1
kidney_infection	dextroamphetamine	DTXSID8022907	1
kidney_infection	dichloralphenazone	DTXSID2022919	1
kidney_infection	duloxetine	DTXSID6048385	1
kidney_infection	esomeprazole	DTXSID4044292	1
kidney_infection	fingolimod	DTXSID40167363	1
kidney_infection	glatiramer	DTXSID50182865	1
kidney_infection	levofloxacin	DTXSID0041060	1
kidney_infection	magnesium chloride	DTXSID5034690	1
kidney_infection	nortriptyline	DTXSID9023384	1
kidney_infection	orlistat	DTXSID8023395	1
kidney_infection	oxybutynin	DTXSID0023406	1
kidney_infection	phentermine	DTXSID9023461	1
kidney_infection	potassium chloride	DTXSID5021178	1
kidney_infection	prilocaine	DTXSID7031955	1
kidney_infection	rivastigmine	DTXSID7023564	1
kidney_infection	rosuvastatin	DTXSID8048492	1
kidney_infection	sertraline	DTXSID6023577	1
kidney_infection	telbivudine	DTXSID30187813	1
kidney_infection	tofacitinib	DTXSID90197271	1
kidney_infection	trimethobenzamide	DTXSID8023711	1
kidney_infection	zinc sulfate	DTXSID2040315	1
kidney_infection	alfuzosin	DTXSID6048549	0
kidney_infection	alosetron	DTXSID6044278	0
kidney_infection	aluminum hydroxide	DTXSID2036405	0
kidney_infection	amlodipine	DTXSID7022596	0
kidney_infection	amphetamine	DTXSID4022600	0
kidney_infection	apixaban	DTXSID80436500	0
kidney_infection	arginine	DTXSID8022618	0
kidney_infection	atomoxetine	DTXSID9044297	0
kidney_infection	azelastine	DTXSID6022638	0
kidney_infection	benazepril	DTXSID5022645	0
kidney_infection	betahistine	DTXSID3022665	0
kidney_infection	bicalutamide	DTXSID2022678	0
kidney_infection	bisoprolol	DTXSID6022682	0
kidney_infection	bromazepam	DTXSID40171081	0
kidney_infection	budesonide	DTXSID8020202	0
kidney_infection	buprenorphine	DTXSID2022705	0
kidney_infection	bupropion	DTXSID7022706	0
kidney_infection	butalbital	DTXSID6022711	0
kidney_infection	butorphanol	DTXSID1022714	0
kidney_infection	cabozantinib	DTXSID10233968	0
kidney_infection	calcium acetate	DTXSID0020234	0
kidney_infection	carbinoxamine	DTXSID4022737	0
kidney_infection	cefdinir	DTXSID8046084	0
kidney_infection	cefotaxime	DTXSID6022761	0
kidney_infection	cefpodoxime	DTXSID6022765	0
kidney_infection	ceftazidime	DTXSID5022770	0
kidney_infection	ceftriaxone	DTXSID0022773	0
kidney_infection	cerivastatin	DTXSID9022786	0
kidney_infection	cetirizine	DTXSID4022787	0
kidney_infection	chloroquine	DTXSID2040446	0
kidney_infection	chlorpheniramine	DTXSID0022804	0
kidney_infection	cinacalcet	DTXSID8048286	0
kidney_infection	citalopram	DTXSID8022826	0
kidney_infection	clarithromycin	DTXSID3022829	0
kidney_infection	clindamycin	DTXSID2022836	0
kidney_infection	clonazepam	DTXSID1022845	0
kidney_infection	clopidogrel	DTXSID6022848	0
kidney_infection	cuprous oxide	DTXSID0034489	0
kidney_infection	cyclizine	DTXSID4022864	0
