phenotype_name	phenotype_name_short	cid	compound_name
kidney_infection	Kidney infection	CID_2662	celecoxib
kidney_infection	Kidney infection	CID_2708	chlorambucil
kidney_infection	Kidney infection	CID_9552079	chlorhexidine
kidney_infection	Kidney infection	CID_2818	clozapine
kidney_infection	Kidney infection	CID_5280793	ergocalciferol
kidney_infection	Kidney infection	CID_3339	fenofibrate
kidney_infection	Kidney infection	CID_3676	lidocaine
kidney_infection	Kidney infection	CID_5281078	mycophenolate mofetil
kidney_infection	Kidney infection	CID_4509	nitrofurantoin
kidney_infection	Kidney infection	CID_5284600	orlistat
kidney_infection	Kidney infection	CID_4993	pyrimethamine
kidney_infection	Kidney infection	CID_5391	temazepam
acute_kidney_injury	Acute kidney injury	CID_387447	bortezomib
acute_kidney_injury	Acute kidney injury	CID_11556711	carfilzomib
acute_kidney_injury	Acute kidney injury	CID_2767	cisplatin
acute_kidney_injury	Acute kidney injury	CID_30323	daunorubicin
acute_kidney_injury	Acute kidney injury	CID_9642	fluocinonide
acute_kidney_injury	Acute kidney injury	CID_126941	methotrexate
acute_kidney_injury	Acute kidney injury	CID_446541	mycophenolic acid
acute_kidney_injury	Acute kidney injury	CID_5280795	vitamin d3
renal_pain	Renal pain	CID_6167	colchicine
renal_pain	Renal pain	CID_3016	diazepam
renal_pain	Renal pain	CID_3042	dicyclomine
renal_pain	Renal pain	CID_9642	fluocinonide
renal_pain	Renal pain	CID_3676	lidocaine
renal_pain	Renal pain	CID_4509	nitrofurantoin
renal_pain	Renal pain	CID_5284600	orlistat
renal_pain	Renal pain	CID_5391	temazepam
renal_pain	Renal pain	CID_5452	thioridazine
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_5288783	calcipotriene
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_2726	chlorpromazine
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_2767	cisplatin
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_6167	colchicine
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_62881	deferoxamine
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_2724385	digoxin
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_31378	fludrocortisone
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_460612	melphalan
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_65906	mizolastine
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_9802545	paliperidone
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_4890	prazepam
creatinine_renal_clearance_decreased	Renal CrCl decreased	CID_4993	pyrimethamine
renal_injury	Renal injury	CID_11556711	carfilzomib
renal_injury	Renal injury	CID_2724385	digoxin
renal_injury	Renal injury	CID_3676	lidocaine
renal_injury	Renal injury	CID_92727	lopinavir
renal_injury	Renal injury	CID_53232	lovastatin
renal_injury	Renal injury	CID_6741	methylprednisolone
renal_injury	Renal injury	CID_4485	nifedipine
renal_injury	Renal injury	CID_4499	nisoldipine
renal_injury	Renal injury	CID_5391	temazepam
renal_tubular_disorder	Renal tubular disorder	CID_5288783	calcipotriene
renal_tubular_disorder	Renal tubular disorder	CID_2726	chlorpromazine
renal_tubular_disorder	Renal tubular disorder	CID_2767	cisplatin
renal_tubular_disorder	Renal tubular disorder	CID_119182	clofarabine
renal_tubular_disorder	Renal tubular disorder	CID_64139	efavirenz
renal_tubular_disorder	Renal tubular disorder	CID_5284558	etoposide
renal_tubular_disorder	Renal tubular disorder	CID_3339	fenofibrate
renal_tubular_disorder	Renal tubular disorder	CID_31378	fludrocortisone
renal_tubular_disorder	Renal tubular disorder	CID_460612	melphalan
renal_tubular_disorder	Renal tubular disorder	CID_6741	methylprednisolone
renal_tubular_disorder	Renal tubular disorder	CID_5281078	mycophenolate mofetil
renal_tubular_disorder	Renal tubular disorder	CID_446541	mycophenolic acid
