assay_name	compound_pubchem_cid	sig_id	col_id
tox21-rt-viability-hepg2-p1	CID_17513	POL001_HEPG2_24H:P09	1
tox21-rt-viability-hepg2-p1	CID_6450551	PBIOA021_HEPG2_24H:K21	2
tox21-rt-viability-hepg2-p1	CID_82146	PBIOA018_HEPG2_24H:M21	3
tox21-rt-viability-hepg2-p1	CID_156414	PBIOA014_HEPG2_24H:E09	4
tox21-rt-viability-hepg2-p1	CID_2578	PBIOA016_HEPG2_24H:H15	5
tox21-rt-viability-hepg2-p1	CID_2662	PBIOA013_HEPG2_24H:L15	6
tox21-rt-viability-hepg2-p1	CID_969516	POL001_HEPG2_24H:D09	7
tox21-rt-viability-hepg2-p1	CID_3062316	PBIOA014_HEPG2_24H:K15	8
tox21-rt-viability-hepg2-p1	CID_30323	POL001_HEPG2_24H:N03	9
tox21-rt-viability-hepg2-p1	CID_667476	PCLB003_HEPG2_24H:BRD-K95309561-001-20-5:1.11	10
tox21-rt-viability-hepg2-p1	CID_176167	LJP005_HEPG2_24H:D15	11
tox21-rt-viability-hepg2-p1	CID_5757	PCLB002_HEPG2_24H:BRD-K18910433:1.11	12
tox21-rt-viability-hepg2-p1	CID_5284558	PBIOA013_HEPG2_24H:O09	13
tox21-rt-viability-hepg2-p1	CID_5288209	PBIOA016_HEPG2_24H:C15	14
tox21-rt-viability-hepg2-p1	CID_3385	PBIOA018_HEPG2_24H:L21	15
tox21-rt-viability-hepg2-p1	CID_104741	PCLB002_HEPG2_24H:BRD-A83237092:1.11	16
tox21-rt-viability-hepg2-p1	CID_123631	PBIOA014_HEPG2_24H:C03	17
tox21-rt-viability-hepg2-p1	CID_208908	LJP006_HEPG2_24H:M21	18
tox21-rt-viability-hepg2-p1	CID_51082	POL001_HEPG2_24H:C21	19
tox21-rt-viability-hepg2-p1	CID_24964624	PBIOA017_HEPG2_24H:N15	20
tox21-rt-viability-hepg2-p1	CID_4485	PBIOA019_HEPG2_24H:E09	21
tox21-rt-viability-hepg2-p1	CID_26596	PBIOA019_HEPG2_24H:M21	22
tox21-rt-viability-hepg2-p1	CID_4915	PBIOA014_HEPG2_24H:D15	23
tox21-rt-viability-hepg2-p1	CID_5035	PCLB003_HEPG2_24H:BRD-K63828191-003-23-0:1.11	24
tox21-rt-viability-hepg2-p1	CID_10127622	PBIOA019_HEPG2_24H:D09	25
tox21-rt-viability-hepg2-p1	CID_54454	PBIOA015_HEPG2_24H:P09	26
tox21-rt-viability-hepg2-p1	CID_406563	LJP006_HEPG2_24H:B09	27
tox21-rt-viability-hepg2-p1	CID_2733525	PBIOA018_HEPG2_24H:J21	28
tox21-rt-viability-hepg2-p1	CID_2733526	PBIOA018_HEPG2_24H:J21	28
tox21-rt-viability-hepg2-p1	CID_3038522	PBIOA020_HEPG2_24H:F15	29
tox21-aromatase-p1	CID_17513	POL001_MCF7_24H:P09	30
tox21-aromatase-p1	CID_2082	REP.A025_MCF7_24H:P03	31
tox21-aromatase-p1	CID_34870	REP.A006_MCF7_24H:P09	32
tox21-aromatase-p1	CID_2187	REP.A007_MCF7_24H:I03	33
tox21-aromatase-p1	CID_60823	REP.A023_MCF7_24H:H03	34
tox21-aromatase-p1	CID_6450551	PBIOA021_MCF7_24H:K21	35
tox21-aromatase-p1	CID_2265	ASG002_MCF7_24H:L23	36
tox21-aromatase-p1	CID_387447	LKCP001_MCF7_24H:C17	37
tox21-aromatase-p1	CID_156414	LKCP002_MCF7_24H:M08	38
tox21-aromatase-p1	CID_25429	LKCP002_MCF7_24H:N17	39
tox21-aromatase-p1	CID_37907	REP.A014_MCF7_24H:A09	40
tox21-aromatase-p1	CID_119182	PBIOA015_MCF7_24H:I15	41
tox21-aromatase-p1	CID_969516	LKCP001_MCF7_24H:P08	42
tox21-aromatase-p1	CID_28417	REP.A028_MCF7_24H:A21	43
tox21-aromatase-p1	CID_30323	POL001_MCF7_24H:N03	44
tox21-aromatase-p1	CID_5881	REP.A020_MCF7_24H:E09	45
