assay_name	compound_pubchem_cid	sig_id	col_id
tox21-rt-viability-hepg2-p1	CID_17513	CPC018_HEPG2_6H:BRD-A95696820-001-01-4:10	1
tox21-rt-viability-hepg2-p1	CID_2082	CPC004_HEPG2_6H:BRD-K79131256-001-08-8:10	2
tox21-rt-viability-hepg2-p1	CID_2170	CPC017_HEPG2_6H:BRD-K02265150-001-15-8:10	3
tox21-rt-viability-hepg2-p1	CID_5280443	CPC014_HEPG2_6H:BRD-K01493881-001-20-3:10	4
tox21-rt-viability-hepg2-p1	CID_60196364	CPC014_HEPG2_6H:BRD-K17306061-001-01-1:10	5
tox21-rt-viability-hepg2-p1	CID_60823	CVD001_HEPG2_6H:BRD-U88459701-000-01-8:10	6
tox21-rt-viability-hepg2-p1	CID_6450551	CPC013_HEPG2_6H:BRD-K29905972-001-03-0:10	7
tox21-rt-viability-hepg2-p1	CID_5362123	CPC004_HEPG2_6H:BRD-A15131297-003-01-9:10	8
tox21-rt-viability-hepg2-p1	CID_2351	CPC016_HEPG2_6H:BRD-A91008255-003-16-4:10	9
tox21-rt-viability-hepg2-p1	CID_9782	CPC009_HEPG2_6H:BRD-A35108200-001-11-2:10	10
tox21-rt-viability-hepg2-p1	CID_46780884	CPC014_HEPG2_6H:BRD-K99964838-001-03-6:10	11
tox21-rt-viability-hepg2-p1	CID_40000	CPC016_HEPG2_6H:BRD-A60571864-001-03-3:10	12
tox21-rt-viability-hepg2-p1	CID_2477	CPC016_HEPG2_6H:BRD-K93461745-003-14-4:10	13
tox21-rt-viability-hepg2-p1	CID_156414	CPC014_HEPG2_6H:BRD-K50168500-001-01-2:10	14
tox21-rt-viability-hepg2-p1	CID_2662	CPC004_HEPG2_6H:BRD-K02637541-001-06-5:10	15
tox21-rt-viability-hepg2-p1	CID_2722	CPC004_HEPG2_6H:BRD-K17075857-001-06-9:10	16
tox21-rt-viability-hepg2-p1	CID_5282138	CPC017_HEPG2_6H:BRD-A07875874-001-01-6:10	17
tox21-rt-viability-hepg2-p1	CID_2818	CPC017_HEPG2_6H:BRD-K37289225-001-19-0:10	18
tox21-rt-viability-hepg2-p1	CID_222786	CPC010_HEPG2_6H:BRD-K43736954-001-18-1:10	19
tox21-rt-viability-hepg2-p1	CID_442972	CPC013_HEPG2_6H:BRD-A02333338-001-01-1:10	20
tox21-rt-viability-hepg2-p1	CID_28417	CPC004_HEPG2_6H:BRD-A92537424-001-03-9:10	21
tox21-rt-viability-hepg2-p1	CID_3062316	CPC013_HEPG2_6H:BRD-K49328571-001-04-4:10	22
tox21-rt-viability-hepg2-p1	CID_30323	CPC013_HEPG2_6H:BRD-K17210248-003-01-7:10	23
tox21-rt-viability-hepg2-p1	CID_5743	CPC009_HEPG2_6H:BRD-A35108200-001-11-2:10	10
tox21-rt-viability-hepg2-p1	CID_667476	CPC004_HEPG2_6H:BRD-K95309561-001-15-5:10	24
