assay_name	compound_pubchem_cid	sig_id	col_id
tox21-mitotox-p1	CID_6849	CRCGN005_HEPG2_24H:BRD-K72839221:20	1
tox21-mitotox-p1	CID_11769	CRCGN005_HEPG2_24H:BRD-K73103636:20	2
tox21-mitotox-p1	CID_969516	CRCGN007_HEPG2_24H:BRD-K07572174:20	3
tox21-mitotox-p1	CID_969491	CRCGN013_HEPG2_24H:BRD-A85777636:20.3	4
tox21-mitotox-p1	CID_3220	CRCGN007_HEPG2_24H:BRD-K58685305:20	5
tox21-mitotox-p1	CID_5757	CRCGN005_HEPG2_24H:BRD-K18910433:20	6
tox21-mitotox-p1	CID_4115	CRCGN014_HEPG2_24H:BRD-K66195174:20.2517	7
tox21-mitotox-p1	CID_992	CRCGN006_HEPG2_24H:BRD-K50711164:20	8
tox21-mitotox-p1	CID_5284616	DOSVAL005_HEPG2_24H:BRD-A79768653:20	9
tox21-mitotox-p1	CID_5833	CRCGN009_HEPG2_24H:BRD-K90027355:20.6443	10
tox21-mitotox-p1	CID_6505803	DOSVAL004_HEPG2_24H:BRD-A61304759:20	11
tox21-mitotox-p1	CID_5455	CRCGN005_HEPG2_24H:BRD-K29254801:20	12
tox21-mitotox-p1	CID_5591	DOSVAL005_HEPG2_24H:BRD-A13084692:20	13
tox21-are-bla-p1	CID_10757	CRCGN005_HEPG2_24H:BRD-K02442533:20	14
tox21-are-bla-p1	CID_7847	CRCGN009_HEPG2_24H:BRD-K24640516:20.4	15
tox21-are-bla-p1	CID_40000	CRCGN012_HEPG2_24H:BRD-A34299591:21.3685	16
tox21-are-bla-p1	CID_2812	CRCGN014_HEPG2_24H:BRD-K15916496:20.5629	17
tox21-are-bla-p1	CID_969516	CRCGN007_HEPG2_24H:BRD-K07572174:20	3
tox21-are-bla-p1	CID_3220	CRCGN007_HEPG2_24H:BRD-K58685305:20	5
tox21-are-bla-p1	CID_6230	CRCGN009_HEPG2_24H:BRD-K96037667:20.5604	18
tox21-are-bla-p1	CID_992	CRCGN006_HEPG2_24H:BRD-K50711164:20	8
tox21-are-bla-p1	CID_8955	CRCGN014_HEPG2_24H:BRD-K43880410:21.2565	19
tox21-are-bla-p1	CID_5591	DOSVAL005_HEPG2_24H:BRD-A13084692:20	13
tox21-car-agonist-p1	CID_11769	CRCGN005_HEPG2_24H:BRD-K73103636:20	2
tox21-car-agonist-p1	CID_8400	CRCGN007_HEPG2_24H:BRD-A55748233:20	20
tox21-car-agonist-p1	CID_2812	CRCGN014_HEPG2_24H:BRD-K15916496:20.5629	17
tox21-car-agonist-p1	CID_2724103	CRCGN005_HEPG2_24H:BRD-K32646222:20	21
tox21-car-agonist-p1	CID_3220	CRCGN007_HEPG2_24H:BRD-K58685305:20	5
tox21-car-agonist-p1	CID_5757	CRCGN005_HEPG2_24H:BRD-K18910433:20	6
tox21-car-agonist-p1	CID_3346	CRCGN014_HEPG2_24H:BRD-K67217586:21.5571	22
tox21-car-agonist-p1	CID_4115	CRCGN014_HEPG2_24H:BRD-K66195174:20.2517	7
tox21-car-agonist-p1	CID_992	CRCGN006_HEPG2_24H:BRD-K50711164:20	8
tox21-ahr-p1	CID_11769	CRCGN005_HEPG2_24H:BRD-K73103636:20	2
tox21-ahr-p1	CID_2812	CRCGN014_HEPG2_24H:BRD-K15916496:20.5629	17
tox21-ahr-p1	CID_2724103	CRCGN005_HEPG2_24H:BRD-K32646222:20	21
tox21-ahr-p1	CID_3220	CRCGN007_HEPG2_24H:BRD-K58685305:20	5
tox21-ahr-p1	CID_3346	CRCGN014_HEPG2_24H:BRD-K67217586:21.5571	22
tox21-ahr-p1	CID_3767	CRCGN006_HEPG2_24H:BRD-K87202646:20	23
tox21-ahr-p1	CID_4485	CRCGN013_HEPG2_24H:BRD-K96354014:20	24
tox21-ahr-p1	CID_992	CRCGN006_HEPG2_24H:BRD-K50711164:20	8
tox21-pxr-p1	CID_11769	CRCGN005_HEPG2_24H:BRD-K73103636:20	2
tox21-pxr-p1	CID_40000	CRCGN012_HEPG2_24H:BRD-A34299591:21.3685	16
tox21-pxr-p1	CID_2812	CRCGN014_HEPG2_24H:BRD-K15916496:20.5629	17
tox21-pxr-p1	CID_2724103	CRCGN005_HEPG2_24H:BRD-K32646222:20	21
tox21-pxr-p1	CID_969516	CRCGN007_HEPG2_24H:BRD-K07572174:20	3
tox21-pxr-p1	CID_969491	CRCGN013_HEPG2_24H:BRD-A85777636:20.3	4
tox21-pxr-p1	CID_3220	CRCGN007_HEPG2_24H:BRD-K58685305:20	5
tox21-pxr-p1	CID_5757	CRCGN005_HEPG2_24H:BRD-K18910433:20	6
tox21-pxr-p1	CID_3346	CRCGN014_HEPG2_24H:BRD-K67217586:21.5571	22
tox21-pxr-p1	CID_460612	CRCGN005_HEPG2_24H:BRD-K87827419:20	25
tox21-pxr-p1	CID_4115	CRCGN014_HEPG2_24H:BRD-K66195174:20.2517	7
tox21-pxr-p1	CID_6230	CRCGN009_HEPG2_24H:BRD-K96037667:20.5604	18
tox21-pxr-p1	CID_992	CRCGN006_HEPG2_24H:BRD-K50711164:20	8
tox21-pxr-p1	CID_5455	CRCGN005_HEPG2_24H:BRD-K29254801:20	12
tox21-pxr-p1	CID_5591	DOSVAL005_HEPG2_24H:BRD-A13084692:20	13
tox21-rt-viability-hek293-p1	CID_387447	REP.A015_HEK293_24H:C23	26
tox21-ar-bla-antagonist-p1	CID_387447	REP.A015_HEK293_24H:C23	26
tox21-pr-bla-antagonist-p1	CID_387447	REP.A015_HEK293_24H:C23	26
tox21-aromatase-p1	CID_387447	REP.B013_MCF7_24H:C21	27
tox21-aromatase-p1	CID_176870	ERAM001_MCF7_24H:BRD-K70401845:20	28
tox21-aromatase-p1	CID_5284616	DOSVAL005_MCF7_24H:BRD-A79768653:20	29
tox21-rt-viability-hepg2-p1	CID_40000	CRCGN012_HEPG2_24H:BRD-A34299591:21.3685	16
tox21-rt-viability-hepg2-p1	CID_2812	CRCGN014_HEPG2_24H:BRD-K15916496:20.5629	17
tox21-rt-viability-hepg2-p1	CID_969516	CRCGN007_HEPG2_24H:BRD-K07572174:20	3
tox21-rt-viability-hepg2-p1	CID_5757	CRCGN005_HEPG2_24H:BRD-K18910433:20	6
tox21-rt-viability-hepg2-p1	CID_6374	CRCGN006_HEPG2_24H:BRD-K98162554:20	30
tox21-rt-viability-hepg2-p1	CID_51082	DOSVAL005_HEPG2_24H:BRD-K21680192:20	31
tox21-rt-viability-hepg2-p1	CID_4485	CRCGN013_HEPG2_24H:BRD-K96354014:20	24
tox21-rt-viability-hepg2-p1	CID_6956	CRCGN005_HEPG2_24H:BRD-K90486084:20	32
tox21-rt-viability-hepg2-p1	CID_5865	CRCGN005_HEPG2_24H:BRD-K85883481:20	33
tox21-rt-viability-hepg2-p1	CID_4915	CRCGN007_HEPG2_24H:BRD-K13032584:20	34
tox21-rt-viability-hepg2-p1	CID_5455	CRCGN005_HEPG2_24H:BRD-K29254801:20	12
tox21-rt-viability-hepg2-p1	CID_31307	CRCGN014_HEPG2_24H:BRD-K53790871:20.0858	35
