adverse_event_name	preferred_name	dsstox_substance_id	toxicity_label
aspartate_aminotransferase_increased	acamprosate	DTXSID3044259	1
aspartate_aminotransferase_increased	acetate	DTXSID1037694	1
aspartate_aminotransferase_increased	ambenonium	DTXSID5048396	1
aspartate_aminotransferase_increased	ambroxol	DTXSID8022583	1
aspartate_aminotransferase_increased	amlodipine	DTXSID7022596	1
aspartate_aminotransferase_increased	aprindine	DTXSID3022615	1
aspartate_aminotransferase_increased	arbekacin	DTXSID8048319	1
aspartate_aminotransferase_increased	arginine	DTXSID8022618	1
aspartate_aminotransferase_increased	atomoxetine	DTXSID9044297	1
aspartate_aminotransferase_increased	bicalutamide	DTXSID2022678	1
aspartate_aminotransferase_increased	biperiden	DTXSID6022680	1
aspartate_aminotransferase_increased	bromazepam	DTXSID40171081	1
aspartate_aminotransferase_increased	bromhexine	DTXSID6022686	1
aspartate_aminotransferase_increased	buflomedil	DTXSID5022697	1
aspartate_aminotransferase_increased	bunazosin	DTXSID7022700	1
aspartate_aminotransferase_increased	carbazochrome	DTXSID3048310	1
aspartate_aminotransferase_increased	cefdinir	DTXSID8046084	1
aspartate_aminotransferase_increased	cefoperazone	DTXSID2022759	1
aspartate_aminotransferase_increased	cefotaxime	DTXSID6022761	1
aspartate_aminotransferase_increased	cefotiam	DTXSID6022763	1
aspartate_aminotransferase_increased	cefpirome	DTXSID2048244	1
aspartate_aminotransferase_increased	ceftazidime	DTXSID5022770	1
aspartate_aminotransferase_increased	ceftriaxone	DTXSID0022773	1
aspartate_aminotransferase_increased	cerivastatin	DTXSID9022786	1
aspartate_aminotransferase_increased	cifenline	DTXSID9022819	1
aspartate_aminotransferase_increased	cilastatin	DTXSID8048238	1
aspartate_aminotransferase_increased	ciprofloxacin	DTXSID8022824	1
aspartate_aminotransferase_increased	citicoline	DTXSID9048431	1
aspartate_aminotransferase_increased	clonazepam	DTXSID1022845	1
aspartate_aminotransferase_increased	clotiazepam	DTXSID0022852	1
aspartate_aminotransferase_increased	cobicistat	DTXSID00143269	1
aspartate_aminotransferase_increased	creatine	DTXSID1040451	1
aspartate_aminotransferase_increased	deferoxamine	DTXSID7022887	1
aspartate_aminotransferase_increased	dextromethorphan	DTXSID3022908	1
aspartate_aminotransferase_increased	diclofenac	DTXSID6022923	1
aspartate_aminotransferase_increased	diflucortolone	DTXSID50180705	1
aspartate_aminotransferase_increased	diphenoxylate	DTXSID8022951	1
aspartate_aminotransferase_increased	distigmine	DTXSID00169484	1
aspartate_aminotransferase_increased	duloxetine	DTXSID6048385	1
aspartate_aminotransferase_increased	epinastine	DTXSID2048371	1
aspartate_aminotransferase_increased	epoprostenol	DTXSID5022988	1
aspartate_aminotransferase_increased	escitalopram	DTXSID8048440	1
aspartate_aminotransferase_increased	ethambutol	DTXSID8023006	1
aspartate_aminotransferase_increased	ferrous fumarate	DTXSID7047148	1
aspartate_aminotransferase_increased	fingolimod	DTXSID40167363	1
aspartate_aminotransferase_increased	flavoxate	DTXSID3023053	1
aspartate_aminotransferase_increased	flunitrazepam	DTXSID7023065	1
aspartate_aminotransferase_increased	flupirtine	DTXSID4048436	1
aspartate_aminotransferase_increased	fominoben	DTXSID1023075	1
aspartate_aminotransferase_increased	gemcitabine	DTXSID3040487	1
aspartate_aminotransferase_increased	goserelin	DTXSID7048297	1
aspartate_aminotransferase_increased	granisetron	DTXSID0023111	1
aspartate_aminotransferase_increased	imatinib	DTXSID3037125	1
aspartate_aminotransferase_increased	indinavir	DTXSID4043802	1
aspartate_aminotransferase_increased	ipratropium	DTXSID9048437	1
aspartate_aminotransferase_increased	ivabradine	DTXSID2048240	1
aspartate_aminotransferase_increased	levofloxacin	DTXSID0041060	1
aspartate_aminotransferase_increased	lithium carbonate	DTXSID1023784	1
aspartate_aminotransferase_increased	lomitapide	DTXSID50171294	1
aspartate_aminotransferase_increased	loxapine	DTXSID7023229	1
aspartate_aminotransferase_increased	magnesium oxide	DTXSID9049665	1
aspartate_aminotransferase_increased	mazindol	DTXSID1023237	1
aspartate_aminotransferase_increased	metaproterenol	DTXSID8048529	1
aspartate_aminotransferase_increased	methoxamine	DTXSID0023290	1
aspartate_aminotransferase_increased	mexiletine	DTXSID8048446	1
aspartate_aminotransferase_increased	morphine	DTXSID9023336	1
aspartate_aminotransferase_increased	mosapride	DTXSID2048408	1
aspartate_aminotransferase_increased	moxifloxacin	DTXSID3048491	1
aspartate_aminotransferase_increased	nefazodone	DTXSID2023357	1
aspartate_aminotransferase_increased	nefopam	DTXSID2048535	1
aspartate_aminotransferase_increased	nilotinib	DTXSID5042663	1
aspartate_aminotransferase_increased	opipramol	DTXSID3023394	1
aspartate_aminotransferase_increased	oxacillin	DTXSID8023397	1
aspartate_aminotransferase_increased	oxalate	DTXSID8043785	1
aspartate_aminotransferase_increased	oxandrolone	DTXSID8023399	1
aspartate_aminotransferase_increased	oxygen	DTXSID2037681	1
aspartate_aminotransferase_increased	pentamidine	DTXSID7023431	1
aspartate_aminotransferase_increased	peramivir	DTXSID60146317	1
aspartate_aminotransferase_increased	pergolide	DTXSID2023438	1
aspartate_aminotransferase_increased	phenprocoumon	DTXSID5023459	1
aspartate_aminotransferase_increased	pimobendan	DTXSID8048280	1
aspartate_aminotransferase_increased	piperacillin	DTXSID2023482	1
aspartate_aminotransferase_increased	pitavastatin	DTXSID1048384	1
aspartate_aminotransferase_increased	ponatinib	DTXSID50241426	1
aspartate_aminotransferase_increased	potassium aspartate	DTXSID70222914	1
aspartate_aminotransferase_increased	potassium chloride	DTXSID5021178	1
aspartate_aminotransferase_increased	prochlorperazine	DTXSID7023514	1
aspartate_aminotransferase_increased	propiverine	DTXSID5048265	1
aspartate_aminotransferase_increased	quazepam	DTXSID60190193	1
aspartate_aminotransferase_increased	rabeprazole	DTXSID3044122	1
aspartate_aminotransferase_increased	reboxetine	DTXSID1048257	1
aspartate_aminotransferase_increased	regorafenib	DTXSID60226441	1
aspartate_aminotransferase_increased	risedronic acid	DTXSID2023563	1
aspartate_aminotransferase_increased	roxatidine	DTXSID30228937	1
aspartate_aminotransferase_increased	sorafenib	DTXSID7041128	1
aspartate_aminotransferase_increased	sunitinib	DTXSID1041134	1
aspartate_aminotransferase_increased	telbivudine	DTXSID30187813	1
aspartate_aminotransferase_increased	tiapride	DTXSID0023664	1
aspartate_aminotransferase_increased	tolperisone	DTXSID8023686	1
aspartate_aminotransferase_increased	topotecan	DTXSID3042685	1
aspartate_aminotransferase_increased	toremifene	DTXSID3023689	1
aspartate_aminotransferase_increased	triclofos	DTXSID9023700	1
aspartate_aminotransferase_increased	trimipramine	DTXSID8023715	1
aspartate_aminotransferase_increased	vancomycin	DTXSID0042664	1
aspartate_aminotransferase_increased	vecuronium	DTXSID1044146	1
aspartate_aminotransferase_increased	vinorelbine	DTXSID8040640	1
aspartate_aminotransferase_increased	vismodegib	DTXSID40236689	1
aspartate_aminotransferase_increased	zopiclone	DTXSID4041155	1
aspartate_aminotransferase_increased	acebutolol	DTXSID2048539	0
aspartate_aminotransferase_increased	aclidinium	DTXSID00223070	0
aspartate_aminotransferase_increased	alfentanil	DTXSID9022570	0
aspartate_aminotransferase_increased	alfuzosin	DTXSID6048549	0
aspartate_aminotransferase_increased	alosetron	DTXSID6044278	0
aspartate_aminotransferase_increased	aluminum hydroxide	DTXSID2036405	0
aspartate_aminotransferase_increased	alverine	DTXSID0048557	0
aspartate_aminotransferase_increased	aminolevulinic acid	DTXSID8048490	0
aspartate_aminotransferase_increased	aminosalicylic acid	DTXSID2022591	0
aspartate_aminotransferase_increased	amitriptyline	DTXSID7022594	0
aspartate_aminotransferase_increased	amphetamine	DTXSID4022600	0
aspartate_aminotransferase_increased	amsacrine	DTXSID4022604	0
aspartate_aminotransferase_increased	anagrelide	DTXSID4048305	0
aspartate_aminotransferase_increased	azelastine	DTXSID6022638	0
aspartate_aminotransferase_increased	azilsartan	DTXSID70163712	0
aspartate_aminotransferase_increased	bamifylline	DTXSID0022642	0
aspartate_aminotransferase_increased	bazedoxifene	DTXSID70173593	0
aspartate_aminotransferase_increased	benazepril	DTXSID5022645	0
aspartate_aminotransferase_increased	benfluorex	DTXSID5048471	0
aspartate_aminotransferase_increased	benserazide	DTXSID9022651	0
aspartate_aminotransferase_increased	benzoate	DTXSID4043771	0
aspartate_aminotransferase_increased	benzydamine	DTXSID7047859	0
aspartate_aminotransferase_increased	berberine	DTXSID9043857	0
aspartate_aminotransferase_increased	betahistine	DTXSID3022665	0
aspartate_aminotransferase_increased	bisoprolol	DTXSID6022682	0
aspartate_aminotransferase_increased	bromfenac	DTXSID7040655	0
aspartate_aminotransferase_increased	brompheniramine	DTXSID5022691	0
aspartate_aminotransferase_increased	budesonide	DTXSID8020202	0
aspartate_aminotransferase_increased	bupivacaine	DTXSID2022703	0
aspartate_aminotransferase_increased	butalbital	DTXSID6022711	0
aspartate_aminotransferase_increased	cabazitaxel	DTXSID40171389	0
aspartate_aminotransferase_increased	cabozantinib	DTXSID10233968	0
aspartate_aminotransferase_increased	calamine	DTXSID80230080	0
aspartate_aminotransferase_increased	calcium acetate	DTXSID0020234	0
aspartate_aminotransferase_increased	carbinoxamine	DTXSID4022737	0
aspartate_aminotransferase_increased	carbon dioxide	DTXSID4027028	0
aspartate_aminotransferase_increased	carbon monoxide	DTXSID5027273	0
aspartate_aminotransferase_increased	carnitine	DTXSID3022744	0
aspartate_aminotransferase_increased	carteolol	DTXSID3022746	0
aspartate_aminotransferase_increased	cefamandole	DTXSID7022750	0
aspartate_aminotransferase_increased	cefmetazole	DTXSID7022756	0
aspartate_aminotransferase_increased	cefpodoxime	DTXSID6022765	0
aspartate_aminotransferase_increased	ceftaroline	DTXSID90172341	0
aspartate_aminotransferase_increased	ceftizoxime	DTXSID5022772	0
aspartate_aminotransferase_increased	celiprolol	DTXSID3020259	0
aspartate_aminotransferase_increased	cetirizine	DTXSID4022787	0
aspartate_aminotransferase_increased	cevimeline	DTXSID2023777	0
aspartate_aminotransferase_increased	chloroquine	DTXSID2040446	0
