term_name	term_short
aspartate_aminotransferase_increased	AST elevation
alanine_aminotransferase_increased	ALT elevation
blood_alkaline_phosphatase_increased	ALP elevation
hepatitis	Hepatitis
hepatitis_acute	Acute hepatitis
hepatitis_c	Hepatitis C
hepatitis_fulminant	Fulminant hepatitis
cytolytic_hepatitis	Cytolytic hepatitis
hepatitis_cholestatic	Cholestatic hepatitis
venoocclusive_liver_disease	VOD/SOS
hepatic_lesion	Hepatic lesion
hepatic_cyst	Hepatic cyst
hepatic_fibrosis	Hepatic fibrosis
hepatocellular_injury	Hepatocellular injury
hepatomegaly	Hepatomegaly
hepatic_steatosis	Hepatic steatosis
hepatic_cirrhosis	Hepatic cirrhosis
hepatic_necrosis	Hepatic necrosis
hepatic_failure	Hepatic failure
acute_hepatic_failure	Acute hepatic failure
