LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Activity
0	15.1	1	1	2	8	4	1	0	0	318.4	31	-3	161.6	502.1	1.9	0.00703	1	2.1	0.00529	287.4	2.4	0	3.12
0	10.2	0	0	0	5	3	0	0	0	271.6	0	-0.6	121.9	410.3	2.2	0.00838	0	2.7	0.00344	271.6	1.9	0	3.4
0	10.1	0	0	0	6	4	1	0	0	287.9	0	-1.1	143.1	460.7	2.6	0.00224	0	2.2	0.00503	287.9	1.8	0	3.92
0	11.6	0	0	0	5	3	1	0	0	273.8	0	-1.5	121.5	409.6	2.2	0.00838	0	2	0.0128	273.8	1.9	0	3.21
0	8.4	0	0	0	4	2	0	0	0	220.3	0	-0.7	95.9	344.9	1.7	0.046	0	2.1	0.0192	220.3	1.8	0	2.84
0.05	14.4	0	0	0	10	4	0	1	1	304.5	0	-1.6	193.4	580.4	4.6	1.85e-05	0	4.6	2.09e-05	304.5	2.4	0	5.29
0.03	13.6	0	0	0	9	3	0	1	1	290	0	-1.4	173.5	531.5	4.1	0.000101	0	3.9	0.000132	290	2.5	0	4.89
0	13.8	0	0	0	6	3	2	0	0	291.4	0	-2.1	141.3	465.5	2.6	0.00315	0	2.5	0.00385	291.4	2	0	3.41
0.01	14.4	0	0	0	10	4	0	1	1	302.9	0	-1.6	194.3	587.4	4.6	1.85e-05	0	4.6	2.09e-05	302.9	2.3	0	5.83
0.01	13.6	0	0	0	9	3	0	1	1	285.7	0	-1.4	174.4	538.7	4.1	0.000101	0	3.9	0.000132	285.7	2.3	0	4.8
0	10.3	0	0	0	9	0	0	1	1	329.6	0	0	164.4	523.4	3.3	0.00137	0	3.6	0.000656	329.6	2.7	0	4.19
0	12.1	0	0	0	4	2	1	0	0	246.8	0	-1.9	100.8	364.9	1.8	0.0334	0	1.8	0.0325	246.8	1.6	0	2.9
0	11.6	0	0	0	5	2	1	0	0	273.2	0	-0.7	118.9	409.4	2.2	0.0118	0	2.2	0.0113	273.2	2.1	1	2.93
0	10.5	0	1	1	6	1	1	0	0	297.7	42.1	-40.4	118.8	413.1	1.2	0.132	1	1.2	0.14	255.6	2.2	1	2.49
-0.13	22	1	3	4	9	3	2	1	0	350.6	72.5	-28.9	147.6	494.6	-0.5	1.9	3	-1.6	14.7	278.1	2.5	0	1.31
0	18.1	0	2	2	5	2	1	0	0	253.8	104.4	-104.3	88.9	338.5	-0.5	4.98	2	-1.2	18.5	149.4	2	1	1.81
0	10.8	2	2	4	5	2	1	0	0	249.6	74.7	-7.9	84.1	326.2	-0.5	4.99	2	-0.8	8.13	174.9	1.9	1	0.13
0	13.5	1	1	2	10	4	0	1	1	328.5	32.6	-5.9	198.7	602.4	3.8	1.49e-05	1	4.2	6.54e-06	295.8	2.4	0	4.71
0.03	13.6	0	0	0	9	3	0	1	1	288.3	0	-1.5	175.2	545.9	4.1	0.000101	0	3.9	0.000132	288.3	2.2	0	4.74
0	15.3	0	0	0	5	2	2	0	0	290.9	0	-2.2	134	455.5	2.6	0.00127	0	2.5	0.00155	290.9	2	0	5.05
0	14.4	0	0	0	5	2	2	0	0	275.5	0	-1.4	120.3	422	2.2	0.0118	0	2.3	0.00977	275.5	1.9	0	2.94
0.01	13.3	0	0	0	10	2	2	1	1	364.5	0	-1.1	193.7	600.5	3.6	0.000302	0	3.6	0.000282	364.5	2.7	0	6.65
0	12.7	0	0	0	8	2	0	1	1	295.8	0	-2	167.4	521.8	3.8	6.88e-05	0	3.8	7.19e-05	295.8	2.2	0	5.28
0	16.6	0	0	0	6	2	3	0	0	298.3	0	-1.3	139.9	479.2	2.6	0.00444	0	2.8	0.00294	298.3	2.1	0	3.39
0	13.4	2	0	2	10	2	0	1	1	330.8	22.6	-4.5	163.4	527.2	1.6	0.0276	2	2.2	0.00891	308.2	2.9	0	3.07
0	12.1	2	0	2	6	2	0	1	0	280.8	37.2	-6.2	99.2	362.8	-0.5	3.62	2	-0.3	2.68	243.6	1.9	0	0.93
-0.01	18.9	0	0	0	7	2	4	0	0	322.6	0	-1.2	159.4	536.5	3	0.00175	0	3.3	0.000885	322.6	2.4	0	3.75
0	12.8	1	0	1	11	1	0	2	0	390	2.4	2	190	580.7	2.5	0.00344	1	3.1	0.000994	387.5	2.5	0	3.18
-0.03	22.8	0	0	0	10	0	7	0	0	412.4	0	1.6	204.8	670.9	3.7	0.000462	0	5	3.44e-05	412.4	3.7	0	5.68
0	14.4	1	2	3	5	2	1	0	0	269	92.7	-50	86.4	330.8	-0.5	4.99	2	-1.2	18.3	176.3	1.9	1	1.47
0	10.9	0	1	1	8	2	0	1	1	254.5	60.9	-4.1	129.1	424.9	2	0.0208	1	1.3	0.0789	193.6	2.3	0	3.82
0	15.4	0	0	0	5	1	2	0	0	294	0	-0.2	123.4	433.1	2.4	0.00541	0	2.6	0.00344	294	2.9	0	3.57
-0.05	22.2	0	0	0	8	1	5	0	0	365.7	0	0.7	182.1	604.9	3.5	0.000351	0	4.1	9.36e-05	365.7	3.8	0	5.09
-0.04	19.9	0	0	0	7	1	4	0	0	340.9	0	0.2	162.4	547.4	3.1	0.00084	0	3.6	0.000311	340.9	3.5	0	4.68
-0.06	24.4	0	0	0	9	1	6	0	0	400.1	0	0.6	201.6	662	3.8	0.000151	0	4.6	2.82e-05	400.1	4.1	0	5.36
0	13.2	0	0	0	4	1	1	0	0	259.6	0	-0.1	104	376	2	0.0148	0	2.2	0.0114	259.6	2.6	0	3.26
0	11.4	1	1	2	5	1	2	0	0	274	62.3	-5.7	98.7	370.9	0.8	0.374	1	0.8	0.345	211.7	2.2	0	1.59
0.01	9.1	0	0	0	8	1	0	1	1	298.8	0	-0.8	151.3	485.4	3.2	0.00136	0	3.2	0.00143	298.8	2.6	0	3.84
0	9.1	0	0	0	8	1	0	1	1	295.9	0	-0.6	151.2	485.2	3.2	0.00136	0	3.2	0.00143	295.9	2.6	0	4.33
0	9.7	0	0	0	11	1	0	2	2	297.9	0	-1.4	188.5	563.5	3.9	0.000175	0	3.8	0.000227	297.9	2.7	0	4.85
0	11.6	1	1	2	10	3	1	1	1	292.7	98.1	-7.3	181.2	548.3	1.5	0.0259	2	1.8	0.0136	194.6	2.5	0	3.73
0	9.3	1	0	1	9	1	1	1	1	299.9	66.7	-4.8	167	510.8	1.8	0.0238	1	2.1	0.0145	233.2	2.4	0	3.42
