moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC.	moe2D_PEOE_PC..1	moe2D_PEOE_RPC.	moe2D_PEOE_RPC..1	moe2D_PEOE_VSA.0	moe2D_PEOE_VSA.1	moe2D_PEOE_VSA.2	moe2D_PEOE_VSA.3	moe2D_PEOE_VSA.4	moe2D_PEOE_VSA.5	moe2D_PEOE_VSA.6	moe2D_PEOE_VSA.0.1	moe2D_PEOE_VSA.1.1	moe2D_PEOE_VSA.2.1	moe2D_PEOE_VSA.3.1	moe2D_PEOE_VSA.4.1	moe2D_PEOE_VSA.5.1	moe2D_PEOE_VSA.6.1	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC.	moe2D_Q_PC..1	moe2D_Q_RPC.	moe2D_Q_RPC..1	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nN	moe2D_a_nO	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_b_triple	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_dCH2	moe2D_kS_dO	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_kS_tCH	moe2D_kS_tNH	moe2D_kS_tsC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_violation	moe2D_logP.o.w.	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb	Activity
4.226	0.527	0.375	0.452	0.712	-2.556	-0.08028	0.05082	2.615	-2.557	0.06489	0.6895	2.681	-2.334	0.1057	0.5853	2.84	-0.7825	-0.2403	-0.1342	2.056	-0.8724	-0.08735	0.3012	2.188	-0.5229	-0.0543	0.4253	2.297	8	1.75	2.222	13.39	3.154	4.267	5.278	0.6904	-0.6904	0.316	0.5575	25.59	0	0	0	10.32	0	0	37.5	88.75	0	0	0	0	7.768	0.8935	0.7886	0.04571	0.1065	0.2114	0.06076	151.8	134	7.768	18.09	35.92	10.32	1.55	-1.55	0.5613	0.4387	0.3713	0.568	0.568	0.6287	0.432	0.06076	63.09	96.51	96.51	106.8	73.41	10.32	3.655	0	25.39	0	0	0	0	0	184.1	2.547	25.39	0	0	0	0	0	0	0	0	184.1	20.23	0.7579	3.807	1.55	5.706	177.5	26.2	1.746	1	0	15	1	8	6	0	4	3	0	7	0	1	19.05	0	0	0	14	0	7	1	0.1429	14	0	4.02	8.912	7	3	6.849	3	3.25	1.25	3.174	1.25	1	1	2.5	0.25	2.39	0.25	2.25	0	2.081	0	0.5	0	0	0	0	0	0.4763	0	4.5	0	3.971	0	0	0	1.056	3	0	0	0	0	0	0	0	0	0	0	2.861	15.87	0	0	8.958	0	0	0	0	0	-2.856	0	0	0	1	1	0	1.973	-2.45	3.554	0	1	0	0	0	0.3333	0.5	2	0	0	169.9	168	0	0	147.6	0	13.57	58	9	38	3.12
2.79	0.383	0.03	0.101	0.469	-2.262	-0.08367	0.02702	2.35	-2.066	0.123	0.6895	2.596	-2.027	0.1057	0.5853	2.611	-0.6887	-0.2437	-0.133	1.559	-0.5478	-0.037	0.5295	1.871	-0.4864	-0.0543	0.4253	1.858	5	1	0	11.47	2.844	0	6.523	0.269	-0.269	0.6986	0.3111	12.8	0	0	0	0	0	0	18.75	88.75	0	0	0	0	0	1	0.8936	0	0	0.1064	0	120.3	107.5	0	0	12.8	0	0.87	-0.87	1	0.3333	0.2622	0.7378	0.7378	0.7378	0.2622	0	31.54	88.75	88.75	88.75	31.54	0	2.593	0	0	0	0	0	0	0	150.8	2.796	0	0	0	0	0	0	0	0	0	150.8	0	0.9044	3	0.971	4.25	133.4	12.49	1.561	0	0	8	0	5	4	0	2	3	0	3	0	0	12.06	0	0	0	7	0	4	0	0	7	0	3.024	4.54	4.5	1.5	4.902	1.5	2	0.5	2.201	0.5	0	0	2	0	2.658	0	0	0	0	0	0.5	0	0	0	0	0	0.7289	0	0	0	0	0	0	0	1.206	2	0	0	0	0	0	0	0	0	0	0	1.484	15.18	0	0	0	0	0	0	0	0	-1.083	0	0	0	0	0	0	2.139	-2.326	2.471	0	1	0	0	0	0.5	1	1	0	0	120.3	110.6	0	0	118.2	0	0	16	0	20	3.4
3.636	0.496	0.168	0.078	0.577	-2.235	-0.1018	0.01105	2.377	-2	0.3034	0.6895	2.639	-1.986	0.2609	0.5853	2.638	-0.6478	-0.2618	-0.1464	1.577	-0.4759	0.1298	0.5295	1.924	-0.4448	0.0971	0.4253	1.897	6	2.222	3	14.57	6.428	10.22	15.61	0.407	-0.407	0.3376	0.25	0	8.531	6.555	0	0	0	0	0	0	118.3	0	0	0	0	1	0.8869	0	0	0.1131	0	133.4	118.3	0	0	15.09	0	1.16	-1.16	0.5	0.25	0.06394	0.8869	0.8869	0.9361	0.1131	0.04913	8.531	118.3	118.3	124.9	15.09	6.555	3.091	0	0	0	10.08	0	0	0	156.6	3.434	0	0	0	0	0	0	0	0	10.08	156.6	0	0.8524	3.322	1.566	4.788	167.8	12	1.5	0	0	8	0	6	4	0	2	4	0	2	0	0	13.57	1	0.2	0	7	0	5	1	0.2	7	0	2.993	3.866	5.155	1.155	5.69	1.155	2.643	0.3333	2.952	0.3333	0	0	0.6667	0	0.8571	0	1.333	0	1.714	0	0	0	0	0	0	0	0	0	1.333	0	1.944	0	0	0	1.326	3	0	0	0	0	0	0	0	0	0	0	0	20.46	0	0	0	0	0	0	-1.346	0	0	0	0	0	0	0	0	2.495	-2.413	2.928	0	1	0	1	0	0.3333	0.5	2	0	0	133.4	126.6	0	0	118.3	13.66	0	29	4	22	3.92
3.078	0.401	0.099	0.081	0.509	-2.26	-0.09102	0.03334	2.35	-2.193	0.1842	0.622	2.501	-2.014	0.1584	0.5318	2.612	-0.6792	-0.2505	-0.1261	1.559	-0.7475	0.0162	0.451	1.805	-0.4622	-0.004184	0.3709	1.858	5	2.25	4	11.47	6.4	15.22	14.68	0.3294	-0.3294	0.3677	0.3725	8.531	15.28	3.277	0	0	0	0	0	0	88.75	0	0	0	0	1	0.7662	0	0	0.2338	0	115.8	88.75	0	0	27.09	0	0.87	-0.87	0.6667	0.3333	0.1105	0.7662	0.7662	0.8895	0.2338	0.1234	12.8	88.75	88.75	103	27.09	14.29	2.618	0	0	0	5.041	0	0	19.18	117.4	2.449	0	0	0	19.18	0	0	0	0	5.041	117.4	0	0.9044	3	1.522	4.197	133.4	12.49	1.561	0	0	8	0	5	4	0	2	3	0	3	0	0	12.06	1	0.25	0	7	0	4	1	0.25	7	0	2.54	4.54	4.284	1.284	4.686	1.284	2.27	0.4082	2.519	0.4082	0	0	0.4082	0	0.5249	0	0.8165	0	1.05	0	0	0	0	0	0	0	0	0	0.4082	0	0.5952	0	0	0	1.206	3	0	0	0	0	0	0	0	0	0	0	0	15.26	0	0	0	0.3086	0	0	-0.4059	0	0	0	0	0	0	0	0	1.946	-1.767	2.527	0	1	0	1	0	0.3333	0.5	2	1	0	115.8	110.6	0	0	106.9	6.831	0	18	2	16	3.21
2.225	0.412	0.03	0.076	0.407	-1.806	-0.4158	0.4063	1.82	-1.563	-0.1697	0.9288	2.142	-1.465	-0.1707	0.8738	2.211	-0.6715	-0.3176	0.01823	1.234	-0.4774	-0.07778	0.5574	1.575	-0.3591	-0.06568	0.4898	1.622	4	1.333	0	6.893	2.853	0	4.916	0.2111	-0.2111	0.4714	0.3368	0	15.36	0	0	0	0	0	0	81.47	0	0	0	0	0	1	0.8413	0	0	0.1587	0	96.83	81.47	0	0	15.36	0	0.58	-0.58	0.4828	0.5172	0.6991	0.8413	0.2303	0.3009	0.1587	0.07055	67.69	81.47	22.3	29.13	15.36	6.831	2.164	0	0	0	0	3.816	0	0	110.4	2.044	0	0	0	0	0	0	0	3.816	0	110.4	0	0.9544	2.585	1	3.503	96.94	9.51	1.585	0	0	6	0	4	3	0	2	2	0	2	0	0	9.214	0	0	0	5	1	3	0	0	4	0	2.591	3.026	3.577	1.577	3.475	1.207	1.732	0.5774	1.487	0.3536	0	0	0.5774	0	0.4546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.092	2	0	0	0	0	3.086	0	0	0	0.1111	0	0	9.691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.172	-1.739	2.02	1	1	0	0	0	0.5	1	1	0	0	96.83	88.76	0	0	88.57	6.831	0	9	0	12	2.84
5.945	1.196	0.03	0.093	0.904	-2.089	-0.6863	0.6595	2.13	-1.857	-0.2803	1.165	2.397	-1.752	-0.281	1.124	2.478	-0.7036	-0.4145	0.02298	1.844	-0.5164	-0.0806	0.6141	2.138	-0.3839	-0.05107	0.5486	2.203	8.1	2.939	1.55	11.14	4.191	2.276	4.669	0.4059	-0.4059	0.1944	0.202	0	26.61	0	0	0	0	0	24.51	118.3	0	0	0	0	0	1	0.843	0	0	0.157	0	169.4	142.8	0	0	26.61	0	1.008	-1.008	0.1756	0.1756	1	0.843	0	0	0.157	0	169.4	142.8	0	0	26.61	0	4.648	0	0	0	14	0	35.29	0	156.6	4.3	0	0	0	0	0	0	14	35.29	0	156.6	0	0.7219	4.322	2.04	6.354	215.9	17.51	1.459	0	6	12	0	10	10	0	6	4	0	2	0	0	20.61	0	0	6	12	0	10	0	0	6	0	2.573	3.866	7.724	3.724	7.69	3.155	4.626	2.316	3.928	1.661	1.434	0.872	0.8563	0	0.6108	0	3.702	0.8833	2.693	0.4568	0	0	2.088	0.542	1.244	0.2388	0	0	2.341	0	1.672	0	0	0	1.12	5	3.191	0	1.429	0	0	0	0	0	0	0	0	22.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.268	-4.322	4.507	6	1	1	0	0	0.4	0.6667	3	0	1	169.4	192.7	0	0	168	0	0	109	14	48	5.29
5.228	1.061	0.03	0.131	0.852	-2.104	-0.6803	0.6732	2.116	-1.885	-0.3758	1.061	2.37	-1.771	-0.3626	1.054	2.462	-0.7243	-0.4126	0.04755	1.832	-0.5324	-0.1535	0.4866	2.102	-0.3934	-0.1172	0.4607	2.181	7.111	2.722	1.469	8.729	3.433	1.901	3.33	0.3872	-0.3872	0.2002	0.2118	0	26.36	0	0	0	0	0	24.51	101	0	0	0	0	0	1	0.8265	0	0	0.1735	0	151.9	125.5	0	0	26.36	0	0.981	-0.981	0.1804	0.1804	1	0.8265	0	0	0.1735	0	151.9	125.5	0	0	26.36	0	4.147	0	0	0	10.5	0	52.93	0	117.4	3.647	0	0	0	0	0	0	10.5	52.93	0	117.4	0	0.7642	4.17	1.903	6.037	181.4	18	1.5	0	6	12	0	9	9	0	6	3	0	3	0	0	19.1	0	0	6	12	0	9	0	0	6	0	2.48	4.54	6.853	3.853	6.634	3.232	4.215	2.483	3.445	1.744	1.595	0.9395	0.6639	0	0.4691	0	3.114	1.014	2.135	0.5035	0	0	1.848	0.6422	1.001	0.2693	0	0	1.734	0	1.209	0	0	0	1.027	4	5.127	0	1.397	0	0	0	0	0	0	0	0	16.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.678	-3.588	4.096	6	1	1	0	0	0.25	0.3333	3	0	1	151.9	176.7	0	0	149.7	0	0	82	11	42	4.89
3.742	0.43	0.049	0.108	0.559	-2.422	-0.06781	0.04442	2.479	-2.388	0.123	0.4947	2.567	-2.177	0.1057	0.429	2.735	-0.7137	-0.2278	-0.1156	1.793	-0.7626	-0.037	0.3129	1.962	-0.4837	-0.0543	0.2736	2.069	6	3.2	3	11.95	7.338	7.865	14.62	0.3671	-0.3671	0.1653	0.3375	43.35	0.9662	0	0	0	0	0	0	0	88.75	0	0	0	0	1	0.6669	0	0	0.3331	0	133.1	88.75	0	0	44.32	0	0.87	-0.87	0.3333	0.3333	0.1603	0.6669	0.6669	0.8397	0.3331	0.1728	21.33	88.75	88.75	111.7	44.32	22.99	3.104	0	0	0	4.726	0	0	38.37	117.4	2.491	0	0	0	38.37	0	0	0	0	4.726	117.4	0	0.8524	3.322	1.826	4.76	147.4	16.93	1.539	0	0	11	0	6	6	0	3	3	0	5	0	0	15.15	2	0.4	0	10	0	5	2	0.4	10	0	2.754	6.726	4.992	1.992	5.393	1.992	2.808	0.8165	3.075	0.8165	0.2887	0.2887	0.2887	0	0.3273	0	1.394	0	1.704	0	0	0	0.2887	0	0.3712	0	0	0	0.5774	0	0.7423	0	0	0	1.092	4	0	0	0	0	0	0	0	0	0	0	0	15.86	0	0	0	0.8711	0	0	-0.06173	0	0	0	0	0	0	0	0	2.073	-1.886	3.019	0	1	0	2	0	0.5	1	2	1	0	133.1	135.1	0	0	129.5	0	0	31	4	20	3.41
6.026	1.196	0.03	0.039	0.947	-2.087	-0.6789	0.6534	2.129	-1.852	-0.2343	1.061	2.392	-1.75	-0.2422	1.052	2.477	-0.6843	-0.4089	0.007847	1.843	-0.4882	-0.05791	0.5281	2.136	-0.3686	-0.03641	0.4872	2.202	8.1	2.939	1.75	11.14	4.191	2.57	4.669	0.3723	-0.3723	0.1739	0.2202	0	26.61	0	0	0	0	0	24.51	118.3	0	0	0	0	0	1	0.843	0	0	0.157	0	169.4	142.8	0	0	26.61	0	1.008	-1.008	0.1756	0.1756	1	0.843	0	0	0.157	0	169.4	142.8	0	0	26.61	0	4.648	0	0	0	14	0	35.29	0	156.6	4.3	0	0	0	0	0	0	14	35.29	0	156.6	0	0.7219	4.322	2.111	6.344	215.9	17.51	1.459	0	6	12	0	10	10	0	6	4	0	2	0	0	20.61	0	0	6	12	0	10	0	0	6	0	2.516	3.866	7.724	3.724	7.69	3.155	4.609	2.3	3.922	1.655	1.414	0.866	0.9428	0	0.6547	0	3.43	0.8777	2.408	0.4553	0	0	2.102	0.542	1.265	0.2388	0	0	2.154	0	1.448	0	0	0	1.12	5	3.015	0	1.652	0	0	0	0	0	0	0	0	22.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.344	-4.322	4.503	6	1	1	0	0	0.4	0.6667	3	0	1	169.4	192.7	0	0	168	0	0	111	13	48	5.83
5.309	1.061	0.03	0.077	0.895	-2.103	-0.6715	0.6646	2.114	-1.881	-0.3349	1.025	2.364	-1.769	-0.327	1.018	2.46	-0.7097	-0.405	0.03679	1.832	-0.5179	-0.1317	0.4957	2.1	-0.3853	-0.1016	0.4603	2.18	7.111	2.722	1.704	8.729	3.433	2.205	3.33	0.3536	-0.3536	0.183	0.2361	4.52	21.84	0	0	0	0	0	36.76	88.75	0	0	0	0	0	1	0.8265	0	0	0.1735	0	151.9	125.5	0	0	26.36	0	0.981	-0.981	0.1804	0.1804	1	0.8265	0	0	0.1735	0	151.9	125.5	0	0	26.36	0	4.147	0	0	0	10.5	0	52.93	0	117.4	3.647	0	0	0	0	0	0	10.5	52.93	0	117.4	0	0.7642	4.17	2.037	6.021	181.4	18	1.5	0	6	12	0	9	9	0	6	3	0	3	0	0	19.1	0	0	6	12	0	9	0	0	6	0	2.409	4.54	6.853	3.853	6.634	3.232	4.198	2.466	3.439	1.738	1.573	0.933	0.7601	0	0.5163	0	2.86	1.007	1.856	0.5017	0	0	1.817	0.6422	0.9965	0.2693	0	0	1.478	0	0.9401	0	0	0	1.027	5	4.952	0	1.62	0	0	0	0	0	0	0	0	16.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.717	-3.588	4.092	6	1	1	0	0	0.4	0.6667	3	0	1	151.9	176.7	0	0	149.7	0	0	84	10	42	4.8
