moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA.	moei3D_ASA..1	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA.	moei3D_CASA..1	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA.	moei3D_FASA..1	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA.	moei3D_FCASA..1	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol	Activity
-47300	-178800	-77.8	-11.6	11.6	-0.1964	2.984	302.5	21.02	169.5	111.9	190.5	32.58	262.7	148.5	230.2	36.08	0.3838	14.57	33.8	0	0	0	-4.384	-0.1262	1.082	7.108	0.9359	19.24	0.06949	0.5604	0.3701	0.6299	0.1077	0.8687	-46060	-175700	-67.17	-11.88	11.88	-0.4547	3.459	-42120	-174000	-80.62	-10.5	10.5	0.04239	2.528	161.2	1.312	0.8661	0.1801	0.779	-0.3331	0.6151	666.8	206.1	255.9	204.8	1.938	1.268	1.234	0.9943	135.2	3.12
-32730	-86390	-31.92	-11.99	11.99	-0.2656	1.746	257.4	0	186	71.42	186	0	161.8	186	161.8	3.633	0.1642	0	2.594	0	0	0	-2.852	-0.166	0.6994	0.5449	0.342	2.594	0	0.7226	0.2774	0.7226	0	0.6287	-31430	-84530	-31.46	-12.79	12.79	-0.5674	2.079	-28460	-82330	-31.91	-10.75	10.75	-0.07252	1.376	121.5	1.419	0.5226	0.00696	-0.5226	-0.00348	0.5621	376.1	155.3	65.51	155.3	1.679	1.147	0.8602	0.8601	94	3.4
-41030	-113300	-39.29	-11.66	11.66	-0.07392	1.709	274.7	2.359	234.7	37.69	237	2.736	272.2	232.3	269.5	14.5	0.2364	6.96	14.01	0	0	0	-7.675	0.09994	0.8663	3.267	-0.7118	7.051	0.008587	0.8542	0.1372	0.8628	0.009961	0.9909	-39280	-110300	-37.21	-12.74	12.74	-0.8457	1.997	-35400	-108200	-29.54	-10.74	10.74	0.01246	1.521	136.8	1.551	0.8532	0.00783	-0.00435	0.8532	0.4997	630.5	254.4	283.5	92.58	1.938	1.201	0.9622	0.8491	108.2	3.92
-32730	-85650	-36.35	-11.51	11.51	0.3241	2.447	253	8.674	183.6	60.69	192.3	7.547	159.8	174.9	152.2	8.669	0.3523	3.922	8.939	0	0	0	-7.521	0.1913	0.6937	2.492	-1.507	5.017	0.03429	0.7258	0.2399	0.7601	0.02983	0.6315	-31430	-83470	-36.41	-12.52	12.52	-0.2963	2.937	-28450	-81820	-27.04	-10.56	10.56	0.3294	2.17	120.5	1.401	1.001	-0.4826	-0.1853	0.8569	0.5411	405.2	130.5	198.8	76	1.743	1.155	0.8567	0.8492	95.25	3.21
-23770	-54160	-0.0458	-10.19	10.19	0.3791	1.219	225.6	44.58	181	180.4	45.15	25.85	105	136.4	79.13	0.01124	0.04274	-2.064	-0.4991	5.605e-05	0	0	-0.8158	0.05446	0.4125	0.7572	0.0005313	1.565	0.1976	0.8024	0.7998	0.2002	0.1146	0.4654	-22900	-52930	0.00231	-10.56	10.56	0.03065	1.85	-20770	-51230	3.105	-9.744	9.744	0.3267	0.783	99.7	1.263	0.406	0.00547	-0.4059	-0.00132	1.479e-06	225	162.1	62.9	0.00893	1.523	1.178	1.024	0.001432	76.75	2.84
-52820	-193200	-0.6097	-9.735	9.735	-0.6518	1.61	332.8	64.29	268.5	332.8	0	64.81	270.6	204.2	205.8	26.68	0.3931	2.859	25.55	0.0002113	0	0	-3.56	0.302	0.4407	1.885	0.0008776	22.69	0.1932	0.8068	1	0	0.1948	0.8132	-51040	-189600	0.8016	-10.22	10.22	-1.176	2.358	-46310	-186600	0.3967	-9.281	9.281	-0.556	0.995	174.9	1.417	0.8135	0.8134	0.01118	-0.006417	1.151e-06	1368	433.8	934.6	0.0538	2.518	1.661	1.565	0.001782	152.4	5.29
-44520	-160300	4.177	-9.784	9.784	-0.3646	2.061	312.1	78.56	233.6	312.1	0	77.07	229.1	155	152.1	23.41	0.3117	2.667	22.52	0.000211	0	0	-2.533	0.2122	0.3685	1.67	0.00092	19.85	0.2517	0.7483	1	0	0.2469	0.7341	-43190	-157600	4.423	-10.11	10.11	-0.8168	2.992	-39360	-154800	5.721	-9.379	9.379	-0.3327	1.349	158.6	1.32	0.9394	0.8196	-0.459	-0.00891	1.182e-06	934	399.6	534.4	0.0302	2.269	1.567	1.563	0.001704	137.5	4.89
-36330	-109200	-44.24	-11.44	11.44	0.7595	2.43	285	13.8	185.9	85.28	199.7	12.01	161.7	172.1	149.7	9.806	0.5539	2.422	9.484	0	0	0	-8.398	0.3445	0.8396	2.603	-1.415	7.061	0.04843	0.6523	0.2993	0.7007	0.04213	0.5675	-35040	-106700	-43.03	-12.4	12.4	0.01754	2.961	-31900	-105000	-32.99	-10.58	10.58	0.6028	2.289	140.4	1.324	1.001	0.7505	-0.515	0.4167	0.2309	697.5	227.8	407.9	61.88	2.175	1.482	0.9447	0.7123	111.4	3.41
-52820	-191500	-1.903	-9.655	9.655	-0.7308	0	336.7	55.25	281.4	336.7	0	55.69	283.7	226.2	228	21.69	0.3946	0.1043	20.58	0.0002174	0	0	-3.334	0.2932	0.4255	2.207	0.0009019	20.47	0.1641	0.8359	1	0	0.1654	0.8426	-51040	-187900	-1.473	-10.21	10.21	-1.267	0	-46310	-184800	-0.4272	-9.19	9.19	-0.6356	0	175.6	1.41	0.001438	0.000177	-0.000177	0.001416	1.158e-06	1530	1103	426.6	0.09728	2.662	1.706	1.519	0.001836	153.1	5.83
-44520	-158600	2.924	-9.622	9.622	-0.4692	1.027	317.1	70.9	246.2	317.1	0	69.55	241.5	175.3	171.9	18.41	0.3071	-0.08386	17.51	0.0002159	0	0	-2.112	0.214	0.3759	1.386	0.0009034	17.59	0.2236	0.7764	1	0	0.2194	0.7616	-43190	-156000	2.23	-10.04	10.04	-0.9289	1.492	-39360	-153100	4.801	-9.241	9.241	-0.4347	0.666	159.7	1.324	0.4698	0.41	-0.2294	-0.003747	1.211e-06	1127	796.6	330.4	0.05163	2.492	1.648	1.481	0.001814	137	4.8
