QikProp_.stars	QikProp_.amine	QikProp_.acid	QikProp_.amide	QikProp_.rotor	QikProp_.rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip.2.V	QikProp_ACxDN..5.SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo.w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP.eV.	QikProp_EA.eV.	QikProp_.metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_.NandO	QikProp_RuleOfFive	QikProp_.ringatoms	QikProp_.in56	QikProp_.noncon	QikProp_.nonHatm	QikProp_RuleOfThree	QikProp_ACxDN..5.SAxSASA.MW	Activity
6	0	0	0	1	0	2	177.458	3.953	317.365	125.815	35.716	0	155.835	492.235	1	0.75	0.0317504	0.0023632	0.9499933	12.903	4.698	6.204	2.763	2.124	-1.962	-2.391	-2.341	4541.561	0.622	10000	-2.082	10.596	0.26	1	-0.278	3	100	0	0	20.088	1	0	0	0	0	8	0	0.00422634	3.12
12	0	0	0	0	0	1	133.405	2.475	270.544	80.294	0	0	190.25	386.517	0	0	0.015848	0	0.9485059	9.314	3.242	2.902	0.437	2.489	-1.956	-1.84	-2.365	9906.038	0.353	10000	-1.52	10.829	0.343	0	-0.26	3	100	0	0	0	0	0	0	0	0	5	0	0	3.4
11	0	0	0	0	0	1	167.85	3.058	289.85	46.317	0	0	243.533	425.001	0	0	0.0220041	0	0.9431595	10.855	4.001	3.777	0.502	2.578	-2.07	-2.24	-2.452	9906.038	0.285	10000	-1.52	10.787	0.191	0	-0.148	3	100	0	0	0	0	0	0	0	0	6	0	0	3.92
12	0	0	0	0	0	1	133.405	3.978	269.934	79.935	0	0	189.999	385.101	0	0	0.041087	0	0.948327	9.258	3.221	3.227	0.435	2.49	-1.955	-1.825	-2.368	9906.038	0.352	10000	-1.52	10.598	-0.107	0	-0.264	3	100	0	0	0	0	0	0	0	0	5	0	0	3.21
12	0	0	0	0	0	1	96.944	1.923	239.95	48.402	0	44.69	146.858	325.865	0	0	0.0113442	0	0.9544128	7.314	2.593	2.017	0.652	1.859	-1.297	-1.208	-2.483	9906.038	0.289	10000	-1.362	9.902	-0.357	0	-0.436	3	100	0	0	0	0	0	0	0	0	4	0	0	2.84
7	0	0	0	0	0	1	215.894	3.04	348.424	0	0	105.399	243.026	540.507	0	0	0.0170976	0	0.920995	16.484	5.784	5.807	1.36	4.689	-4.867	-4.495	-3.313	9906.038	0.192	10000	-1.148	9.527	0.571	0	0.187	3	100	0	0	0	0	0	6	6	0	10	0	0	5.29
7	0	0	0	0	0	1	181.449	3.76	328.416	0	0	142.472	185.943	500.746	0	0	0.0282388	0	0.9285808	15.246	5.287	5.317	1.544	2.856	-3.058	-3.813	-3.367	9906.038	0.192	10000	-1.018	9.592	0.341	0	0.072	3	100	0	0	0	0	0	6	6	0	9	0	0	4.89
11	0	0	0	0	1	1	147.431	4.141	300.462	110.142	0	0	190.32	443.563	0	0	0.0386626	0	0.9361507	11.597	3.755	3.989	0.509	2.66	-2.194	-2.433	-2.565	9906.038	0.412	10000	-1.52	10.57	-0.428	0	-0.094	3	100	0	0	0	0	0	0	0	0	6	0	0	3.41
8	0	0	0	0	0	1	215.894	0.003	352.57	0	0	94.96	257.61	545.084	0	0	0	0	0.9152976	16.567	5.804	5.647	1.304	4.754	-4.949	-4.589	-3.355	9906.038	0.192	10000	-1.185	9.448	0.641	0	0.2	3	100	0	0	0	0	0	6	6	0	10	0	0	5.83
7	0	0	0	0	0	1	181.449	1.87	332.572	0	0	132.037	200.535	505.336	0	0	0.0069231	0	0.9225703	15.33	5.301	5.099	1.488	2.914	-3.133	-3.907	-3.415	9906.038	0.192	10000	-1.054	9.465	0.435	0	0.085	3	100	0	0	0	0	0	6	6	0	9	0	0	4.8
7	0	0	0	0	0	2	120.194	0.479	351.237	239.291	0	111.946	0	543.037	0	0	0.0004221	0	0.9164704	16.647	4.097	4.432	0.526	3.285	-3.19	-3.469	-3.417	9906.038	0.671	5899.293	-1.125	9.207	-0.464	3	0.194	3	100	0	0	0	0	0	6	6	0	9	0	0	4.19
13	0	0	0	0	0	1	98.96	0	252.982	105.128	0	0	147.853	348.358	0	0	0	0	0.9464405	7.787	2.456	1.944	0.38	1.49	-1.305	-1.442	-2.399	9906.038	0.402	10000	-1.52	10.704	-0.375	0	-0.371	3	100	0	0	0	0	0	0	0	0	4	0	0	2.9
11	0	0	0	0	1	2	112.986	3.986	277.957	149.865	0	0	128.092	400.827	0	0	0.0396394	0	0.9458568	9.887	2.939	3.114	0.433	2.446	-1.968	-1.989	-2.408	9906.038	0.492	10000	-1.52	10.468	-0.786	0	-0.218	3	100	0	0	0	0	0	0	0	0	5	0	0	2.93
10	1	0	0	2	0	2	87.164	1.37	295.777	248.721	47.056	0	0	444.34	2	1	0.0042245	0.0047814	0.9520889	10.344	3.4	5.772	4.224	0.443	0.841	0.602	-3.033	884.244	0.495	479.16	-4.257	9.35	-3.047	2	-0.607	3	82.279	0	0	24.145	1	0	0	0	0	6	0	0.0162249	2.49
2	2	0	0	3	0	2	130.189	3.385	341.454	261.123	80.332	0	0	530.686	2	5.2	0.0215934	0.021537	0.9283773	13.158	4.319	9.354	8.477	-1.029	1.613	1.596	-4.143	106.639	0.558	53.877	-6.837	9.109	-2.503	2	-0.795	2	57.213	0	0	42.731	3	0	6	6	4	9	0	0.0564863	1.31
8	2	0	0	3	0	0	74.125	1.03	262.914	152.594	110.32	0	0	372.856	4	2	0.0028455	0.0152141	0.9528948	6.841	3.482	8.264	8.269	-1.589	2	1.877	-3.747	55.403	0.37	26.547	-7.39	9.463	-2.648	4	-1.041	2	48.85	0	0	51.124	2	0	0	0	0	5	0	0.0539629	1.81
9	0	0	0	3	0	-1	76.095	2.645	254.535	160.607	93.927	0	0	356.593	2	3.4	0.0196168	0.0188907	0.9554326	6.191	2.75	6.039	6.587	-1.138	0.456	-0.251	-2.253	1274.053	-0.303	642.755	-2.963	10.969	-3.038	2	-0.934	3	75.861	0	0	43.182	2	0	0	0	0	5	0	0.0631887	0.13
7	0	0	0	1	0	2	330.801	0.916	357.286	0	40.007	94.715	222.564	551.021	1	0.75	0.001523	0.0020992	0.9097623	16.16	6.073	7.364	3.556	3.204	-3.089	-5.959	-3.444	4135.383	0.727	10000	-1.827	6.034	5.291	2	-0.119	3	100	0	0	20.445	1	0	6	6	0	10	0	0.00226727	4.71
8	0	0	0	0	0	1	181.449	0.002	336.742	0	0	121.595	215.148	509.941	0	0	0	0	0.9166724	15.415	5.318	5.079	1.432	2.977	-3.212	-4.001	-3.46	9906.038	0.192	10000	-1.091	9.756	0.384	0	0.098	3	100	0	0	0	0	0	6	6	0	9	0	0	4.74
11	0	0	0	2	2	2	201.888	2.06	295.043	136.348	0	0	158.695	425.093	0	0	0.0099828	0	0.9266914	9.574	3.204	2.65	0.043	2.555	-2.097	-2.241	-2.718	9906.038	0.465	10000	-1.327	11.089	0.658	0	-0.233	3	100	0	0	0	0	0	0	0	0	5	0	0	5.05
12	0	0	0	0	0	2	112.986	2.511	285.393	137.538	0	0	147.855	408.16	0	0	0.0154523	0	0.9324137	10.181	2.998	2.962	0.458	2.49	-2.004	-2.065	-2.626	9906.038	0.467	10000	-1.52	10.578	-0.672	0	-0.197	3	100	0	0	0	0	0	0	0	0	5	0	0	2.94
6	0	0	0	0	0	1	175.057	0.011	375.545	98.388	0	135.724	141.432	585.012	0	0	2e-07	0	0.9007687	18.554	5.564	5.804	1.596	3.656	-3.383	-3.906	-3.785	9906.038	0.389	10000	-1.041	9.871	0.346	2	0.316	3	100	0	0	0	0	0	6	6	0	10	0	0	6.65
8	0	0	0	0	0	1	235.906	0.002	321.703	0	0	167.541	154.163	481.857	0	0	0	0	0.923964	14.73	4.976	4.625	1.687	3.123	-2.957	-3.48	-3.561	9906.038	0.192	10000	-0.929	9.877	0.444	0	0.017	3	100	0	0	0	0	0	6	6	0	8	0	0	5.28
