LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Class
0.29	34.7	4	3	7	24	6	7	1	1	666.6	75	-12	378.5	1144.8	1.3	0.00163	6	1.2	0.0021	591.6	5.8	1	DoesNot
0	6.9	1	1	2	3	1	0	0	0	219.9	54.1	-5.6	59.5	256.3	-0.2	4.05	1	-0.1	3.81	165.8	1.6	0	Crosses
0.27	26.9	5	2	7	26	5	3	4	0	545.5	163.6	-14.6	367.3	993.5	1.5	0.000736	5	0.5	0.00558	381.9	3.8	7	DoesNot
1.21	20.8	1	0	1	14	3	0	2	2	396.1	33.9	-3.1	223	666.1	2	0.00485	3	0.6	0.0832	362.2	3.2	0	Crosses
0	30.3	6	4	10	12	6	2	1	0	335.6	219.8	-21.6	146.2	495.8	-2.3	31.8	6	-1.9	13.2	115.8	2.7	2	DoesNot
0.01	30.4	3	3	6	19	5	7	1	1	569.7	140.2	-19.6	301.8	929.2	0.9	0.0115	5	0	0.0744	429.5	5.1	1	DoesNot
1.62	24.6	3	2	5	21	4	4	3	1	580.9	47.7	-9.2	324.6	942.8	2.2	0.000627	4	1.9	0.00113	533.3	4.2	3	DoesNot
0.92	17.9	2	1	3	14	4	4	1	1	409.1	123.1	-110.9	221.2	671.5	2.1	0.00275	3	-1.3	2.35	286	2.9	1	DoesNot
1.44	35.3	6	1	7	27	7	1	6	2	574	119.1	-12	359	993.3	3	3.39e-05	7	2.3	0.000139	455	3.8	2	Crosses
0.1	31.8	2	2	4	26	5	5	3	2	665.1	46.6	-9.4	418	1184.8	3.8	2.79e-06	3	4.4	8.56e-07	618.5	5.3	0	Crosses
0	21.4	1	1	2	16	3	3	1	1	480.4	28.3	-5.8	274.6	808.6	2.9	0.000334	2	3.9	5.64e-05	452.1	3.7	1	Crosses
0	21.7	3	0	3	14	6	0	2	2	364.5	49.6	-6.7	197.8	611.8	0.7	0.0567	6	0.2	0.177	314.9	3	0	Crosses
0.05	25.3	1	1	2	18	3	0	3	2	457.8	86.8	-10.6	266.2	757.8	3.1	0.000249	3	2.2	0.00143	370.9	3.2	0	Crosses
-0.01	38.8	3	2	5	26	5	11	1	1	773.5	21	-1.5	439.7	1303.6	4.6	1.64e-06	5	5.9	1.31e-07	752.4	5.9	1	Crosses
1.14	32.9	4	1	5	37	5	10	4	3	855.2	100.1	-66.1	582.2	1605.2	4.6	1.87e-07	5	2.8	5.49e-06	755	6.9	0	DoesNot
1.12	34.6	3	2	5	27	6	8	3	2	717.8	99.6	-83.1	426.9	1209.2	3.1	1.98e-05	5	-0.6	0.0301	618.3	4.3	1	DoesNot
