moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC.	moe2D_PEOE_PC..1	moe2D_PEOE_RPC.	moe2D_PEOE_RPC..1	moe2D_PEOE_VSA.0	moe2D_PEOE_VSA.1	moe2D_PEOE_VSA.2	moe2D_PEOE_VSA.3	moe2D_PEOE_VSA.4	moe2D_PEOE_VSA.5	moe2D_PEOE_VSA.6	moe2D_PEOE_VSA.0.1	moe2D_PEOE_VSA.1.1	moe2D_PEOE_VSA.2.1	moe2D_PEOE_VSA.3.1	moe2D_PEOE_VSA.4.1	moe2D_PEOE_VSA.5.1	moe2D_PEOE_VSA.6.1	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC.	moe2D_Q_PC..1	moe2D_Q_RPC.	moe2D_Q_RPC..1	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dO	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_ssS	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP.o.w.	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb	Class
12	1.481	0.232	2.062	2.031	-2.656	-0.5183	0.5123	2.599	-2.816	-0.4984	0.4762	2.599	-2.394	-0.3437	0.6286	2.846	0	-0.8458	-0.3689	0.06239	2.579	-1.153	-0.3425	0.04292	2.623	-0.5228	-0.2052	0.1483	2.834	22.04	11.58	8.792	18.36	9.566	7.216	7.316	2.236	-2.236	0.1007	0.1736	115	53.91	8.619	17.08	23.27	0	0	101.7	18.75	0	0	0	27.13	10.55	0.8379	0.4206	0.1002	0.1621	0.5794	0.0619	315.1	158.1	37.68	60.95	217.9	23.27	4.079	-4.079	0.1395	0.2206	0.6733	0.198	0.1002	0.3267	0.802	0.2265	253.2	74.44	37.68	122.8	301.6	85.16	9.462	47.72	36.39	18.01	18.88	20.77	90.67	50.31	133.3	2.366	54.4	28.96	34.31	39.37	27.05	0	0	52.93	37.74	141.3	87.66	0.4138	5.585	3.627	8.853	336.4	76.76	1.476	5	6	0	52	3	24	16	0	18	0	0	28	0	2	4	0	55.76	10	0.4167	6	52	2	24	11	0.4583	44	2.43	35.76	18.11	12.99	14.89	12.22	11.33	6.964	8.321	6.02	3.989	3.068	1.826	0.1361	0.8064	0.07217	6.797	1.996	3.313	1.165	0	0	5.189	1.107	2.076	0.497	0	0	2.869	0.3109	0.9979	0.1499	1	1	0.7066	15	4.93	0	0	0	0	1.348	0	23.48	0	0	0	0	-0.2479	0	0	7.355	0	0	0	0	9.892	1.692	5.874	5.576	0	-0.3939	0	0	6	3	1	0	1.797	-2.893	9.44	6	1	1	10	0	0.4667	0.875	8	0	1	376	476.1	29.64	0	5.683	271.6	21.41	54.57	1568	31	110	DoesNot
1.622	0.205	0.375	0.385	0.449	-2.361	-0.2303	0.2964	2.32	-2.378	-0.2044	0.2772	2.338	-2.135	-0.1342	0.3604	2.538	0	-0.803	-0.2362	0.004186	1.584	-0.8735	-0.1779	-0.02475	1.605	-0.5197	-0.1307	0.05112	1.774	3	2	0	3	2	0	2	0.4371	-0.4371	0.479	0.9043	27.75	8.531	0	0	10.32	0	0	18.75	0	0	0	0	0	7.768	0.7526	0.3626	0.1062	0.2474	0.6374	0.1412	55.03	26.52	7.768	18.09	46.6	10.32	0.68	-0.68	0.5882	1	0.5481	0.1062	0.1062	0.4519	0.8938	0.3457	40.07	7.768	7.768	33.04	65.35	25.28	1.276	0	25.39	0	0	0	0	20.93	33.33	-0.0014	25.39	0	0	20.93	0	0	0	0	0	33.33	20.23	0.9911	2	0.9183	2.5	46.07	11.02	1.224	1	0	0	9	1	3	2	0	2	0	0	6	0	0	1	0	8.323	0	0	0	8	0	2	0	0	8	1.633	6.559	2.707	1.707	2.154	1.707	1.414	0.7071	1.023	0.7071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6463	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.681	0	0	0	0	7.569	0.25	0	0	0	0	0	0	1	1	1	0	-0.063	0.2848	1.331	0	1	0	0	0	0.5	1	1	0	0	73.12	71.28	0	0	0	51.47	0	13.57	4	0	6	Crosses
13.13	1.638	0.559	1.777	2.436	-2.927	-0.5354	0.4708	2.969	-2.898	-0.5089	0.4785	3.009	-2.68	-0.3492	0.642	3.212	0	-0.8003	-0.4054	0.01772	3.316	-0.9207	-0.3532	-0.004623	3.36	-0.537	-0.2364	0.1531	3.54	19.32	6.805	2.704	16.79	5.877	2.325	3.795	2.082	-2.082	0.1008	0.188	98.27	21.97	37.72	16.92	20.65	0	0	64.46	20.96	0	0	0	27.13	29.1	0.772	0.4201	0.1668	0.228	0.5799	0.06124	260.3	141.7	56.24	76.88	195.5	20.65	3.482	-3.482	0.142	0.1953	0.6015	0.2097	0.1733	0.3985	0.7903	0.2252	202.8	70.7	58.44	134.4	266.5	75.93	9.407	71.59	50.77	17.64	9.654	0	149.7	32.3	53.47	1.846	50.77	11.38	98.2	20.93	17.64	3.186	0	17.64	132.1	33.33	91.67	0.4223	5.858	3.169	9.137	360.4	72.31	1.339	5	0	0	54	2	26	18	0	21	0	0	28	0	0	5	0	59.64	3	0.1034	0	57	4	29	3	0.1034	53	1.668	33.48	18.69	13.69	15.32	13.2	12.37	9.223	9.89	8.671	8.732	8.012	2.59	1.829	1.903	1.631	10.95	8.161	8.267	7.337	0.2012	0.2012	9.456	6.567	6.842	5.79	0.1701	0.1701	6.926	5.043	5.017	4.392	7	7	0.7417	12	0	0	0	0	0	0	0	36.39	0	0	2.71	0	1.072	0	0	2.171	0	0	0	0	20.49	4.158	0	0	0	-0.8092	0	-1.021	5	2	1	0	0.323	-2.593	9.628	20	1	4	3	0	0.5	1	6	1	4	337.2	486	40.7	0	0	197.4	38.98	67.83	1436	56	150	DoesNot
6.536	1.008	0.03	0.254	1	-2.446	-0.5285	0.6536	2.453	-2.525	-0.4669	0.6666	2.459	-2.136	-0.3651	0.8088	2.772	0	-0.846	-0.3808	0.04881	2.328	-1.024	-0.31	0.1014	2.396	-0.4945	-0.2044	0.1813	2.625	10.52	4.245	2.02	7.65	3.005	1.4	1.642	0.9717	-0.9717	0.2754	0.274	67.79	32.29	0	0	0	12.95	0	43.26	36.76	0	0	0	13.57	0	0.8717	0.453	0.06566	0.1283	0.547	0.06267	180.1	93.59	13.57	26.52	113	12.95	2.14	-2.14	0.2877	0.2664	0.7592	0.454	0.06566	0.2408	0.546	0.1751	156.9	93.8	13.57	49.76	112.8	36.19	5.545	23.86	3.002	3.002	2.757	2.757	105.9	5.259	66.22	1.784	3.002	8.261	23.86	0	0	35.65	0	105.9	0	36.08	23.55	0.6174	4.907	2.554	7.329	188.2	39.14	1.505	1	6	0	26	0	14	10	0	11	0	0	12	0	2	1	0	30.36	1	0.06667	6	27	2	15	1	0.06667	19	2.024	16.72	10.13	7.975	8.267	6.964	6.698	4.21	4.51	2.988	2.571	1.51	0.9416	0	0.4063	0	5.099	1.552	2.352	0.7515	0	0	3.955	0.8985	1.393	0.3419	0	0	2.417	0	0.9241	0	0	0	0.704	7	9.611	0	0	0	0	0.8964	0	11.6	0	0	1.632	0	0.9676	0	0	3.796	0	0	0	0	0	0	0	0	0	0	3.493	0	3	0	1	0	1.351	-1.981	5.519	11	1	2	1	0	0.4286	0.75	4	0	2	206.6	267.4	13.57	0	0	171.6	12.95	13.57	284	20	72	Crosses
6.922	1.255	0.893	1.704	2.244	-2.501	-0.6956	0.7437	2.623	-2.68	-0.8293	0.5568	2.45	-2.301	-0.5712	0.8293	2.814	0	-0.7908	-0.4599	0.2042	2.236	-0.9398	-0.5821	0.06113	2.119	-0.5216	-0.2755	0.2474	2.432	10.08	3.806	1.86	8.659	3.219	1.554	2.323	2.045	-2.045	0.1564	0.1919	0	32.01	18.27	8.459	41.3	0	14.71	0	0	0	0	0	16.07	31.07	0.3628	0.2912	0.2912	0.6372	0.7088	0.346	58.74	47.14	47.14	103.1	114.7	56.01	3.475	-3.475	0.2031	0.1957	0.2099	0.3434	0.2912	0.7901	0.6566	0.4989	33.98	55.6	47.14	127.9	106.3	80.77	3.526	34.86	50.77	50.77	23.42	0	0	28.67	0	-1.407	50.77	7.745	47.8	71.7	0	10.49	0	0	0	0	107.2	0.65	4.585	2.382	6.878	176.1	31.42	1.571	5	0	0	20	4	12	5	0	6	0	0	8	0	0	6	0	20.71	2	0.1667	0	20	2	12	2	0.1667	18	2.596	11.62	9.301	3.594	5.967	3.362	5.575	1.742	3.196	1.53	0.8131	0.6717	0.9924	0	0.3356	0	4.421	0.3583	1.476	0.2734	0	0	2.506	0.1427	0.7049	0.1006	0	0	2.755	0	0.6111	0	2	2	0.9438	6	0	0	0	0	0	0	0	10.53	0	0	0	0	-2.779	0	0	0	0	0	0	0	35.05	-0.6713	0	4.316	0	-2.777	0	0	6	4	1	0	-1.253	0.4036	3.538	5	1	1	2	0	0.5	1	3	0	1	161.9	186.6	13.57	0	0	55.89	17.21	67.83	188	17	58	DoesNot
9.449	1.331	0.581	1.814	1.523	-2.656	-0.5498	0.5337	2.598	-2.816	-0.5249	0.5364	2.524	-2.394	-0.3779	0.6672	2.845	0	-0.8458	-0.3775	0.07862	2.467	-1.37	-0.3575	0.08869	2.484	-0.5216	-0.2118	0.1595	2.71	17.05	9.031	8	13.79	7.214	6.327	5.237	1.997	-1.997	0.1116	0.1945	63.26	66.87	8.619	17.24	23.27	0	0	64.21	24.51	0	0	0	13.57	17.06	0.8195	0.3997	0.1026	0.1805	0.6003	0.07794	244.7	119.3	30.63	53.9	179.3	23.27	4.056	-4.056	0.1403	0.2219	0.5826	0.2741	0.1026	0.4174	0.7259	0.3149	174	81.85	30.63	124.7	216.8	94.03	7.398	23.86	36.39	18.01	18.88	32.9	89.44	44.62	66.65	0.4521	87.29	5.259	34.31	39.37	3.186	18.87	0	70.57	0	71.9	84.58	0.4855	5.248	3.508	8.138	266.3	61.49	1.5	4	6	0	41	3	19	13	0	14	0	0	22	0	2	3	0	43.92	8	0.4211	6	41	1	19	8	0.4211	34	2.092	26.92	14.25	9.836	11.43	9.085	8.969	5.421	6.386	4.5	3.411	2.451	1.513	0.2041	0.687	0.1179	5.076	1.891	2.506	0.9914	0	0	3.705	1.231	1.528	0.5393	0	0	1.772	0.4065	0.6847	0.195	1	1	0.7091	13	7.111	0	0	0	0	1.513	0	10.75	0	0	0	0	-0.3575	0	0	4.038	0	0	0	5.108	9.684	0.9519	3.131	5.454	0	-0.2126	0	0	5	3	1	0	0.732	-1.968	7.471	6	1	1	8	0	0.4615	0.8571	7	0	1	298.6	375.6	16.07	0	17.74	206	12.95	53.06	890	21	86	DoesNot
10.07	1.567	0.375	1.476	1.698	-2.753	-0.628	0.6382	2.849	-2.805	-0.5523	0.6552	2.851	-2.495	-0.4769	0.762	3.105	0	-0.8598	-0.398	0.0756	2.817	-0.9596	-0.3316	0.1151	2.833	-0.53	-0.2344	0.1814	3.046	15.88	7.051	3.505	13.48	5.933	2.929	3.808	1.706	-1.706	0.1595	0.2309	66.01	53.98	0	0	10.32	14.71	0	60.25	61.27	0	0	0	13.57	10.27	0.8317	0.5006	0.08209	0.1683	0.4994	0.08621	241.5	145.4	23.84	48.87	145	25.03	3.383	-3.383	0.1948	0.2394	0.6616	0.3007	0.08209	0.3384	0.6993	0.2563	192.1	87.32	23.84	98.26	203.1	74.42	7.996	34.86	28.51	0	22.03	0	163.7	28.67	32.9	1.931	25.39	10.87	49.29	20.93	3.186	32.9	4.411	88.22	75.47	0	49.77	0.4825	5.524	3.228	8.482	289.4	61.93	1.408	3	6	0	44	1	21	16	0	17	0	0	23	0	1	3	0	48.76	4	0.1739	6	46	1	23	5	0.2174	39	1.537	30	14.82	11.54	12.44	10.73	10.19	6.841	7.77	5.846	4.977	3.878	1.268	0.3027	0.7715	0.1983	7.83	3.497	5.007	2.444	0	0	6.227	2.366	3.407	1.489	0	0	3.301	0.6422	1.916	0.3451	3	3	0.7091	11	9.376	0	0	0	0	0.8203	0	12.36	0	0	0	0	-0.2938	0	0	2.168	0	0	0	0	9.529	4.05	0	5.702	0	0.5316	2.422	0	4	1	1	0	2.402	-2.503	8.182	15	1	3	7	0	0.4545	0.8333	6	0	3	290.4	408.1	13.57	0	0	224.5	17.21	27.13	959	32	110	DoesNot
7.623	1.085	0.795	0.94	1.278	-2.569	-0.6106	0.648	2.569	-2.685	-0.5151	0.7946	2.597	-2.314	-0.4342	0.8379	2.818	0	-0.8377	-0.4087	0.07979	2.363	-1.363	-0.2986	0.1835	2.445	-0.5093	-0.2258	0.2235	2.627	12.07	5.778	3.96	10.45	4.943	3.357	3.691	1.252	-1.252	0.2079	0.2646	47.74	17.06	17.24	0	10.32	14.71	0	26.72	54.09	0	0	0	13.57	14.42	0.7544	0.504	0.1296	0.2456	0.496	0.116	162.8	108.8	27.99	53.02	107.1	25.03	3.131	-3.131	0.2105	0.3162	0.6134	0.504	0.1296	0.3866	0.496	0.2569	132.4	108.8	27.99	83.45	107.1	55.46	5.55	23.86	0	25.39	11.1	32.9	89.44	26.19	39.15	1.857	32.9	7.745	23.86	43.82	3.186	0	7.911	70.57	18.87	39.15	63.32	0.5917	4.807	2.787	7.305	213.7	43.97	1.691	3	6	0	26	3	14	10	0	10	1	0	12	0	1	2	0	30.49	4	0.2857	6	26	1	14	4	0.2857	19	2.383	13.84	10.55	6.552	8.368	5.801	6.63	4.191	4.683	3.28	3.199	2.234	1.03	0.3333	0.4941	0.2406	4.026	2.453	2.299	1.462	0	0	3.055	1.616	1.409	0.7898	0	0	1.614	0.8033	0.8248	0.486	1	1	0.8005	8	7.092	0	0	0	0.6387	0.916	0	10.53	0	0	0	0	-0.8376	0	0	0	5.718	0	0	5.495	8.649	0.381	0	0	0	-0.1345	0	0	3	2	1	0	1.292	-1.598	5.662	6	1	1	4	0	0.5	1	4	0	1	215.9	266.9	0	0	0	137.9	14.71	44.88	318	17	64	DoesNot
14.03	2.458	0.03	2.572	3.361	-2.695	-0.4245	0.459	2.671	-2.698	-0.3946	0.5632	2.743	-2.419	-0.2267	0.7342	2.937	0	-0.8461	-0.3949	-0.04553	2.844	-0.9439	-0.373	0.09575	2.939	-0.5131	-0.1767	0.1317	3.105	17.82	6.768	2.735	14.31	5.384	2.161	2.853	2.334	-2.334	0.1274	0.135	43.05	48.01	38.74	42.4	0	14.71	0	75.33	12.25	0	0	0	13.57	12.52	0.8643	0.3782	0.08678	0.1357	0.6218	0.04893	259.8	113.7	26.09	40.79	186.9	14.71	4.29	-4.29	0.1477	0.1888	0.5752	0.2719	0.08678	0.4248	0.7281	0.338	172.9	81.73	26.09	127.7	218.8	101.6	9.258	34.86	47.12	0	44.17	0	89.44	72.15	32.9	2.776	44	10.87	11	64.41	36.6	51.77	0	70.57	10.45	20.97	66.46	0.4291	6	3.241	9.244	367.4	68.78	1.563	6	12	0	44	0	27	17	0	20	0	0	17	0	1	6	0	52.45	1	0.03125	12	49	1	32	1	0.03125	36	1.277	31.1	18.12	13.01	14.69	11.79	13.2	6.858	8.966	5.33	5.287	3.574	1.905	0.5499	0.9259	0.3312	11.67	4.115	5.765	2.472	0	0	9.612	2.846	4.113	1.515	0	0	5.287	1.317	2.232	0.7208	2	2	0.8055	11	7.832	0	0	0	0	6.233	0	12.66	0	0	0	0	-0.3624	0	0	2.053	0	0	0	0	0	2.141	0	27.9	0	-0.5137	2.224	0	7	0	1	0	2.886	-3.649	9.366	29	1	6	2	1	0.4545	0.8333	6	0	6	300.6	456.1	23.58	0	0	191.1	73.83	23.58	1642	50	162	Crosses
13.31	2.085	0.375	1.61	2.354	-2.792	-0.6406	0.6951	2.74	-2.802	-0.5381	0.8059	2.788	-2.53	-0.4999	0.8543	2.994	0	-0.8574	-0.3857	0.08095	2.78	-0.9525	-0.2639	0.1852	2.847	-0.5227	-0.2161	0.1931	3.027	20.73	9.467	5.75	18.05	8.198	4.959	5.693	1.651	-1.651	0.1276	0.2325	99.26	34.12	9.021	8.459	10.32	0	0	115	68.13	0	0	11.91	13.57	7.768	0.8846	0.5731	0.08804	0.1154	0.4269	0.02734	334	216.4	33.24	43.57	161.2	10.32	3.704	-3.705	0.1143	0.2187	0.7889	0.4691	0.0565	0.2111	0.5309	0.1546	297.9	177.1	21.33	79.69	200.5	58.36	10.38	23.86	43.47	12.18	6.371	0	216.6	61.01	45.95	4.846	25.39	8.812	9.121	55.32	30.23	3.055	0	141.1	75.47	60.91	40.54	0.4121	5.807	3.802	9.048	420.3	76.84	1.568	3	12	0	49	1	26	22	1	21	0	1	23	0	1	2	0	58.61	6	0.2143	12	51	1	28	6	0.2143	38	1.327	30.57	18.57	13.99	16.21	12.57	12.46	9.003	9.751	7.203	6.38	4.461	2.131	0.4553	1.182	0.2917	9.386	4.845	5.638	2.954	0.1443	0	6.81	3.41	3.703	1.774	0.0559	0	4.45	1.17	2.135	0.6903	0	0	0.8249	17	13.58	0	0	0	0.6817	1.529	0	12.13	0	0	0	0	0.04942	0	3.421	0	0	12.91	0	0	10.91	5.088	0	0	0	0	2.297	-0.7628	3	1	1	0	4.804	-5.174	10.62	18	1	3	8	1	0.4706	0.8889	9	0	3	377.6	509.5	13.57	0	0	321.8	8.459	27.13	2035	39	134	Crosses
