moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA.	moei3D_ASA..1	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA.	moei3D_CASA..1	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA.	moei3D_FASA..1	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA.	moei3D_FCASA..1	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol	Class
-101200	-719400	-161.8	-8.691	8.691	-0.3011	6.738	663.8	147.5	94.2	537	126.8	601.7	384.3	53.3	217.4	81.72	11.23	6.605	71.61	0.0002267	1.421e-14	1.421e-14	-26.28	0.38	2.887	29.66	-4.387	65.01	0.2222	0.1419	0.809	0.191	0.9065	0.579	-101500	-709400	-149.6	-9.038	9.038	-0.2256	6.058	-93730	-706000	-162.3	-8.848	8.848	-0.4954	6.149	393	0.9801	2.025	1.776	0.8887	-0.3974	0.02412	8405	3611	4626	167.8	4.998	5.504	1.615	0.8547	343.2	DoesNot
-15220	-41250	-62.66	-10.88	10.88	3.565	1.551	195.7	41.88	22.24	131.6	64.12	28.48	15.13	19.63	13.35	-0.996	0.3087	-5.329e-15	0.5981	0	0	0	-5.39	0.02365	0.2416	0.5123	-2.168	0.5981	0.214	0.1137	0.6724	0.3276	0.1455	0.07728	-15310	-41380	-62.99	-11.3	11.3	3.517	1.4	-14380	-40470	-56.85	-10.9	10.9	3.334	1.449	77.67	0.8208	0.4622	-0.3907	0.2469	0.0052	0.2172	66.36	22.16	41.05	3.147	1.2	1.264	0.705	0.5889	56.12	Crosses
-107900	-897700	-217	-10.09	10.09	-0.02816	3.144	538.8	107.6	130.8	357.2	181.5	374.6	455.3	23.17	80.68	194.7	11.66	8.267	168.5	0.001781	5.684e-14	5.684e-14	-25.19	-0.1069	4.939	118.6	9.715	160.2	0.1997	0.2427	0.663	0.337	0.6953	0.845	-108200	-879400	-162.3	-10.26	10.26	-0.2859	2.185	-101200	-886400	-195.2	-10.4	10.4	-0.3395	2.175	345.9	1.067	0.6697	0.5278	-0.3775	0.1656	0.1116	4999	2562	1578	858.7	3.724	3.156	1.756	1.054	337.9	DoesNot
-53150	-302800	66.83	-8.796	8.796	-0.1657	4.79	390.2	167.2	130.5	330.1	60.08	357.8	279.2	36.73	78.6	73.12	25.1	4.52	31.01	0.0009518	0	0	-9.377	0.4372	2.117	12.11	14.45	26.49	0.4285	0.3344	0.846	0.154	0.917	0.7156	-53300	-302000	28.99	-9.215	9.215	-0.2141	3.698	-48540	-293800	28.36	-8.857	8.857	-0.2549	4.552	216.3	0.9881	1.099	1.044	0.2221	0.2629	0.06619	1331	303.9	976.1	51.41	2.66	2.725	1.453	0.701	190.5	Crosses
-64590	-296200	-238.3	-9.486	9.486	-0.2966	2.625	328.6	135.7	126.5	85.88	242.7	471.5	439.7	9.158	31.82	44.26	11.85	23.64	31.5	5.544e-05	0	0	-25.63	-0.7446	1.369	6.871	0.2949	7.857	0.413	0.3851	0.2614	0.7386	1.435	1.338	-64900	-294000	-249.2	-9.481	9.481	-0.4038	5.167	-59870	-289800	-235	-9.428	9.428	-0.2325	2.467	172.1	1.276	1.291	-1.245	-0.09444	0.3308	0.1319	1044	365.4	513.4	165.4	2.435	2.242	1.155	0.8142	138	DoesNot
-80060	-499700	-122.9	-9.2	9.2	0.08285	2.062	558.4	181.4	126.2	384.1	174.3	735.7	511.7	55.24	224.1	53.98	8.877	7.296	50.18	0.0003576	0	0	-18.68	-0.1274	1.937	11.53	-6.886	42.88	0.3249	0.2259	0.6879	0.3121	1.318	0.9164	-80330	-493500	-105.8	-8.928	8.928	0.05651	3.568	-73890	-488700	-113.8	-9.113	9.113	0.1986	3.4	317.4	0.9787	1.161	0.9493	0.2989	0.5974	0.0361	5600	2647	2709	244.1	4.585	4.8	1.179	0.912	272.1	DoesNot
-84450	-608800	-111.3	-9.587	9.587	0.2411	1.595	532	161.6	106.5	434.8	97.18	546.7	360.3	55.08	186.4	66.9	8.661	0.2526	58.83	0.0001304	-1.421e-14	-1.421e-14	-10.69	-0.2861	4.307	20.84	-4.613	58.58	0.3037	0.2002	0.8173	0.1827	1.028	0.6772	-84710	-599300	-97.81	-9.428	9.428	0.1098	1.706	-78700	-596500	-110.5	-9.409	9.409	0.1308	1.678	322.2	1.001	0.2301	0.02687	0.1968	-0.1163	0.1065	4032	1334	1792	906.2	3.733	3.682	1.469	1.202	289.1	DoesNot
-61530	-320100	-90.05	-9.596	9.596	-0.2102	1.486	401.2	161.7	183.6	250.5	150.7	506.4	574.7	21.83	68.35	25.99	4.049	-12.77	22.26	0.0002985	0	0	-12.05	0.291	1.353	11.24	-1.964	35.03	0.4031	0.4576	0.6243	0.3757	1.262	1.432	-61230	-316200	-76.1	-9.809	9.809	-0.5453	0.9517	-56190	-312600	-83.1	-9.471	9.471	-0.2969	1.527	222.8	1.093	0.6744	-0.004696	-0.3465	0.5786	0.1921	2235	121.7	1858	254.8	3.234	2.442	1.288	1.07	195.5	DoesNot
-113500	-853300	-122.7	-9.027	9.027	-0.624	4.806	547	180.2	153.9	363	184	773.2	660.5	26.27	112.7	154.1	43.54	11.97	105.2	0.0001267	-1.421e-14	-1.421e-14	-12.13	-0.03824	3.668	64.38	1.669	93.25	0.3295	0.2815	0.6637	0.3363	1.414	1.208	-113800	-848900	-155.1	-9.145	9.145	-0.8097	4.844	-105000	-840800	-146.2	-9.097	9.097	-0.6374	4.529	326.4	1.157	1.178	0.5962	1.014	0.05966	0.2021	4872	1650	2465	757.2	3.642	3.014	1.94	1.355	317.4	Crosses
-108200	-744800	-79.7	-9.391	9.391	-0.7361	3.896	654.9	185.1	286.7	584.7	70.21	685.6	1062	101.6	376.3	72.94	4.534	-0.3957	75.21	0.000409	-7.105e-14	-7.105e-14	-14.6	0.9628	2.586	14.1	-10.36	75.61	0.2826	0.4377	0.8928	0.1072	1.047	1.621	-108100	-735800	-65.04	-9.474	9.474	-0.5437	2.854	-101100	-732500	-79.59	-9.45	9.45	-0.7192	3.473	392.4	1.151	1.309	0.0259	-1.177	0.5715	0.04112	16150	624.1	13600	1931	6.199	4.945	1.291	1.003	365.1	Crosses
