QikProp_.stars	QikProp_.amine	QikProp_.amidine	QikProp_.acid	QikProp_.amide	QikProp_.rotor	QikProp_.rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip.2.V	QikProp_ACxDN..5.SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo.w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP.eV.	QikProp_EA.eV.	QikProp_.metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_.NandO	QikProp_RuleOfFive	QikProp_.ringatoms	QikProp_.in56	QikProp_.noncon	QikProp_.nonHatm	QikProp_RuleOfThree	QikProp_ACxDN..5.SAxSASA.MW	Class
0	1	0	0	0	11	0	-2	336.43	7.304	705.569	489.928	126.298	89.342	0	1206.495	3	8.45	0.0442143	0.0207433	0.7768002	35.92	11.707	20.598	13.174	1.713	-2.216	-2.059	-6.296	156.716	-1.096	73.832	-4.539	8.684	0.3	4	-0.262	3	76.267	0	0	101.199	6	0	6	6	0	24	0	0.0435033	DoesNot
11	0	0	0	0	1	0	1	46.069	2.012	215.17	158.104	57.066	0	0	280.205	1	1.7	0.0144422	0.0079007	0.9624253	4.418	1.403	2.89	3.543	-0.31	1.043	0.038	-2.14	2849.348	0.092	1534.179	-2.475	10.95	-3.214	1	-0.908	3	86.964	0	0	23.242	1	0	0	0	0	3	0	0.036901	Crosses
0	0	0	0	0	5	1	-2	360.449	2.338	554.366	335.25	191.567	27.548	0	1053.59	2	9.4	0.005188	0.0239798	0.9032674	33.063	10.202	18.967	13.629	1.065	-3.729	-2.972	-3.229	151.101	-1.303	64.156	-4.473	10.465	0.283	5	-0.38	3	72.187	0	0	110.04	5	0	17	17	14	26	0	0.0368806	DoesNot
0	0	0	0	0	0	1	1	188.229	7.345	410.238	135.166	51.695	223.377	0	673.258	0	4	0.0801369	0	0.9055601	22.923	6.527	10.306	6.517	0.418	-1.067	-1.874	-4.125	3203.88	0.143	1741.511	-1.685	8.343	0.183	1	-0.498	3	92.137	0	0	34.393	3	0	11	11	0	14	0	0	Crosses
1	0	0	0	0	6	0	-2	176.126	6.546	345.565	81.914	254.182	9.469	0	539.72	4	7.9	0.0794026	0.0457223	0.9277152	11.683	6.157	14.773	14.66	-1.852	-0.639	-0.761	-2.747	38.503	-1.767	14.637	-5.595	9.53	0.276	5	-0.939	2	44.482	0	0	127.76	6	0	5	5	1	12	0	0.0897087	DoesNot
0	1	0	0	1	9	0	-2	266.339	4.606	580.981	287.458	157.829	135.694	0	964.889	4	6.45	0.0219875	0.0222038	0.8128083	27.978	10.041	18.282	15.722	0.157	-1.295	-0.772	-4.56	43.642	-1.173	35.079	-5.149	8.851	-0.561	5	-0.786	2	57.217	0	32.187	94.925	5	0	6	6	0	19	0	0.0484345	DoesNot
0	1	0	0	0	5	1	1	289.374	2.263	561.413	317.274	65.117	179.022	0	980.028	0	4.7	0.0052269	0	0.849913	31.566	9.032	12.422	6.257	1.833	-2.178	-2.376	-5.54	596.073	0.06	312.864	-3.672	9.356	-0.27	4	-0.007	3	87.349	0	0	55.321	4	0	14	14	7	21	0	0	DoesNot
0	1	0	1	0	5	0	-1	213.663	2.108	423.058	70.039	151.062	130.232	71.724	687.092	3	3	0.0064696	0.0122824	0.8901061	19.377	7.773	12.374	8.922	-0.543	-1.63	-1.509	-2.85	23.114	-0.434	29.317	-5.427	9.307	0.211	4	-0.585	2	48.178	0	0	73.363	3	0	6	6	0	14	0	0.0243195	DoesNot
0	1	0	0	0	0	2	2	367.357	5.982	580.134	392.371	52.718	135.045	0	1031.735	0	8	0.0346821	0	0.8511682	36.426	9.136	16.362	10.272	1.396	-1.802	-3.225	-5.31	781.4	0.477	419.217	-4.078	9.161	0.614	4	-0.527	3	86.899	0	0	77.946	7	0	25	25	6	27	0	0	Crosses
0	1	0	0	0	6	0	1	420.321	4.726	680.374	207.322	65.684	283.515	123.854	1188.708	1	4.75	0.0187854	0.0069815	0.7976286	40.273	12.213	17.751	8.595	4.344	-4.621	-5.574	-6.885	588.738	0.216	1472.364	-3.218	9.478	0.844	3	0.661	3	100	46.766	0	47.768	3	0	18	18	5	26	0	0.011301	Crosses
