QikProp_.stars	QikProp_.amine	QikProp_.amidine	QikProp_.acid	QikProp_.amide	QikProp_.rotor	QikProp_.rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip.2.V	QikProp_ACxDN..5.SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo.w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP.eV.	QikProp_EA.eV.	QikProp_.metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_.NandO	QikProp_RuleOfFive	QikProp_.ringatoms	QikProp_.in34	QikProp_.in56	QikProp_.noncon	QikProp_.nonHatm	QikProp_RuleOfThree	QikProp_ACxDN..5.SAxSASA.MW	Class
5	0	0	1	0	1	0	-1	123.111	1.743	299.684	0	131.988	167.695	0	445.435	1	3.5	0.0068205	0.011679	0.9412202	12.632	4.835	7.214	7.17	0.671	-0.695	-0.915	-1.475	140.558	-0.49	75.461	-3.265	10.348	0.771	2	-0.907	2	69.318	0	0	62.041	3	0	6	0	6	0	9	0	0.0284297	M
0	0	0	0	0	5	0	-2	290.272	3.565	505.448	67.927	231.218	206.303	0	856.194	5	5.45	0.0148428	0.0241104	0.86272	26.871	10.367	19.464	15.5	0.438	-2.53	-3.474	-4.737	63.571	-1.809	25.166	-4.574	8.949	-0.114	7	-0.445	2	61.786	0	0	111.738	6	0	16	0	16	3	21	1	0.0419832	L
0	2	0	1	0	5	0	-1	518.611	6.952	851.806	438.61	176.337	236.858	0	1575.897	1	10.25	0.0306719	0.0120333	0.7688528	55.965	16.201	26.254	15.038	1.463	-5.205	-4.5	-6.047	3.32	-0.93	1.611	-7.58	9.169	0.217	5	0.415	2	31.879	0	0	120.746	9	1	27	0	24	7	38	1	0.0197644	M
0	2	0	1	0	5	0	-1	532.638	2.772	857.817	453.46	167.687	236.67	0	1606.209	1	10.25	0.004784	0.0119489	0.7732233	57.176	16.379	26.315	14.992	1.717	-5.31	-4.361	-5.975	4.01	-0.811	1.976	-7.421	9.029	0.121	5	0.499	2	34.833	0	0	113.431	9	1	28	0	18	8	39	1	0.0192438	M
0	2	0	1	0	4	0	-1	504.585	7.074	821.898	397.111	182.716	242.07	0	1516.863	1	10.25	0.0329881	0.0124711	0.776804	54.294	15.683	25.795	15.265	1.059	-4.845	-4.216	-5.943	2.888	-0.899	1.386	-7.775	9.302	0.664	4	0.305	1	28.433	0	0	120.305	9	1	27	0	24	7	37	1	0.0203137	M
0	2	0	1	0	4	0	-1	518.611	4.81	827.872	411.906	174.063	241.903	0	1547.172	1	10.25	0.0149515	0.0123811	0.7814377	55.506	15.865	25.964	15.219	1.313	-4.949	-4.076	-5.867	3.489	-0.781	1.7	-7.616	9.132	0.616	4	0.389	2	31.385	0	0	112.989	9	1	28	0	18	8	38	1	0.0197643	M
0	2	0	1	0	5	0	-1	516.639	6.004	862.996	460.934	176.374	225.689	0	1600.321	1	9.5	0.0225283	0.0110082	0.7667035	56.836	16.364	26.021	14.25	1.929	-5.707	-4.707	-6.028	3.317	-0.941	1.61	-7.62	9.134	0.119	6	0.642	2	34.601	0	0	113.296	8	1	27	0	24	8	38	2	0.0183881	M
0	2	0	1	0	5	0	-1	530.666	3.279	869.181	475.805	167.717	225.659	0	1630.827	1	9.5	0.0065912	0.0109298	0.770892	58.056	16.544	26.222	14.206	2.184	-5.817	-4.569	-5.96	4.007	-0.822	1.975	-7.461	9.005	0.02	6	0.727	2	37.565	0	0	105.977	8	1	28	0	18	9	39	2	0.017902	M
0	2	0	1	0	4	0	-1	516.639	6.223	839.358	434.02	174.128	231.21	0	1572.057	1	9.5	0.0246321	0.0113182	0.7789864	56.399	16.033	25.985	14.436	1.78	-5.453	-4.283	-5.856	3.484	-0.794	1.697	-7.655	9.116	0.477	5	0.616	2	34.111	0	0	105.584	8	1	28	0	18	9	38	1	0.0183881	M
6	1	0	1	4	18	0	-2	587.69	7.53	976.074	339.697	309.036	286.673	40.668	1798.829	5	11.25	0.0315225	0.0257724	0.7328394	57.015	21.117	33.359	27.228	-0.84	-3.105	-3.463	-0.643	0.141	-3.859	0.476	-6.54	8.97	0.209	10	-1.188	1	0	0	89.998	220.741	12	3	12	0	12	0	41	2	0.0428045	L
7	1	0	0	5	18	0	-2	586.705	9.813	979.514	338.091	314.083	286.672	40.669	1805.881	6	11.75	0.0533259	0.0293835	0.7321733	57.297	21.454	35.504	31.285	-0.479	-1.283	-2.517	-1.087	0.3	-3.929	1.466	-6.633	8.955	0.228	11	-1.49	1	0	0	117.795	223.514	12	3	12	0	12	0	41	2	0.0490563	L
0	0	0	0	1	7	2	-2	477.516	2.127	790.45	328.28	149.54	312.63	0	1432.866	2	8.95	0.0031567	0.0160127	0.7776089	49.68	15.391	24.347	16.739	3.101	-5.375	-5.705	-5.247	243.856	-1.507	172.989	-2.502	9.22	0.804	4	0.09	3	87.825	0	23.955	127.381	9	0	25	0	25	7	35	0	0.0265064	M
2	0	0	0	0	5	0	0	360.338	6.287	716.534	57.021	83.14	429.03	147.343	1166.595	1	5	0.0338788	0.006978	0.7479547	41.42	12.087	18.74	10.266	4.97	-7.302	-5.56	-7.656	1612.441	-0.367	5318.12	-1.06	9.513	0.773	3	0.573	1	100	147.343	0	57.142	5	0	17	0	17	0	26	1	0.0138758	M
2	0	0	0	0	1	0	1	144.173	1.247	341.84	0	46.027	295.813	0	532.296	1	0.75	0.0029209	0.002194	0.9292024	17.331	5.962	7.081	4.85	2.699	-2.234	-2.308	-4.088	3625.977	0.148	1990.775	-1.23	8.541	0.377	1	-0.17	3	100	0	0	20.903	1	0	10	0	10	0	11	0	0.00520206	H
0	1	0	0	2	8	0	1	503.058	7.782	791.942	387.092	67.362	240.917	96.571	1517.918	2	8	0.0398924	0.014286	0.8065608	51.757	15.269	25.163	15.554	3.742	-4.328	-4.675	-3.788	286.974	0.027	1003.12	-3.207	9.33	0.489	6	0.152	3	79.888	24.847	37.206	72.652	6	1	18	0	18	4	35	0	0.0224898	M
0	0	0	0	0	2	0	0	151.165	6.298	366.971	95.023	110.65	161.297	0	560.084	2	3.25	0.0708098	0.0125247	0.8954385	16.517	5.657	10.534	8.141	0.514	-1.06	-1.469	-3.993	884.304	-0.477	433.144	-2.799	8.619	-0.255	1	-0.537	3	82.692	0	0	59.566	3	0	6	0	6	0	11	0	0.0304052	H
0	1	0	0	2	11	0	1	536.688	5.284	891.316	416.891	82.013	359.946	32.466	1653.507	1.5	9.7	0.0168862	0.0133286	0.7587009	56.394	17.546	26.308	16.329	3.7	-4.941	-4.875	-5.13	243.685	-0.571	316.244	-2.769	9.052	0.945	5	0.014	3	78.369	0	28.674	104.894	8	1	21	0	21	4	38	0	0.0221358	M
