LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Class
0.82	15	2	2	4	22	2	1	4	1	532.8	87.9	-9.6	338	923.4	4	1.65e-05	2	4.1	1.33e-05	444.9	3.7	5	noninducer
0.04	31	0	1	1	22	2	3	3	2	576.7	5.1	-8.6	365.7	1023.9	5.2	1.3e-06	1	5.4	8.71e-07	571.6	4.2	0	inducer
0.03	29.5	0	1	1	22	2	3	3	2	589.1	6	-9.3	367.7	1012.8	5.3	1.08e-06	1	5.6	5.52e-07	583.1	4.1	0	inducer
0.03	19	0	1	1	12	2	0	2	1	384.7	26.6	-29.1	198.2	602.6	1.5	0.0196	2	1.5	0.0194	358.1	3	0	noninducer
-0.02	15.6	0	0	0	21	0	0	5	4	597.6	0	-10.2	323.9	892.6	5.8	7.06e-07	0	7.1	6.63e-08	597.6	4	0	noninducer
0	4.8	2	4	6	16	7	1	1	1	385.7	214	-77.4	250.6	741.5	2	0.0023	6	1.8	0.00342	171.7	3.7	0	inducer
0.01	17.8	3	4	7	12	4	2	1	1	362.3	182.8	-84.5	169.9	541.5	0.7	0.0883	4	-0.1	0.441	179.6	3.1	0	inducer
1.13	30.3	4	3	7	21	7	3	4	2	560.8	159.4	-15.5	302.9	916.3	3.3	7.11e-05	7	1.6	0.00212	401.4	4.5	2	noninducer
0.21	22.5	7	1	8	33	12	6	3	2	782.9	107.9	-10.4	469.5	1333.9	1.9	4.32e-05	8	3	5.07e-06	675	5.8	2	noninducer
0.21	26.3	8	0	8	34	13	6	3	2	775.9	119.9	-10	476.8	1347.7	1.9	2.91e-05	9	2.6	8.31e-06	656	5.7	2	noninducer
1.12	27.9	5	2	7	33	11	6	3	2	735.1	100.7	-10.2	460.6	1298.9	2	5.5e-05	8	2.9	8.16e-06	634.4	6.3	1	noninducer
1.09	31.7	6	1	7	34	12	6	3	2	738.9	120	-9.4	468	1316.8	2	3.7e-05	9	2.5	1.34e-05	618.9	6.2	1	noninducer
0	12.4	2	2	4	11	3	0	1	1	330.7	73.4	-7.4	166.5	534.7	1.1	0.0617	3	0.3	0.293	257.2	3	0	noninducer
