QikProp_.stars	QikProp_.amine	QikProp_.amidine	QikProp_.acid	QikProp_.amide	QikProp_.rotor	QikProp_.rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip.2.V	QikProp_ACxDN..5.SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo.w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP.eV.	QikProp_EA.eV.	QikProp_.metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_.NandO	QikProp_RuleOfFive	QikProp_.ringatoms	QikProp_.in34	QikProp_.in56	QikProp_.noncon	QikProp_.nonHatm	QikProp_RuleOfThree	QikProp_ACxDN..5.SAxSASA.MW	Class
1	0	0	0	0	3	0	-1	296.408	1.784	526.847	292.567	88.962	145.318	0	943.529	2.5	1.5	0.003372	0.0045017	0.883047	31.068	9.318	14.353	7.058	3.674	-3.977	-4.659	-4.117	1419.948	-0.378	722.667	-2.359	8.935	-0.358	4	0.562	3	100	0	0	41.509	2	0	17	0	17	11	22	0	0.0080015	noninducer
2	1	0	0	0	3	0	2	309.838	2.635	587.759	240.487	4.539	280.731	62.002	1031.219	0	2	0.0067346	0	0.8398467	35.87	10.226	12.711	4.404	4.966	-4.794	-4.396	-6.188	2237.465	0.89	2857.073	-2.389	8.852	0.404	2	0.949	3	100	0	0	5.804	1	0	15	0	12	0	22	0	0	inducer
2	1	0	0	0	3	0	2	311.853	2.038	573.481	260.789	6.037	248.424	58.232	1023.494	0	2	0.004059	0	0.8564513	35.252	9.953	12.448	4.159	5.012	-4.49	-4.31	-5.766	2165.485	0.869	2629.774	-2.53	9.154	0.198	4	0.927	3	100	0	0	5.803	1	1	15	0	12	2	22	0	0	inducer
1	1	0	0	0	0	0	2	162.234	1.585	386.948	170.278	34.177	182.493	0	621.097	1	2.5	0.0040465	0.0064608	0.9098121	20.445	5.836	8.89	6.051	1.567	-1.266	-0.943	-4.588	1171.394	0.687	649.366	-3.569	8.809	-0.277	0	-0.152	3	91.042	0	0	20.721	2	0	12	0	12	4	12	0	0.0154098	noninducer
5	0	0	0	0	0	0	2	268.357	1.098	518.556	165.713	0	352.843	0	901.036	0	0	0.0013382	0	0.8700225	33.275	9.114	10.598	3.516	6.259	-7.161	-7.195	-5.318	9906.038	0.524	5899.293	-0.277	8.131	0.886	3	1.234	1	100	0	0	0	0	1	20	0	20	2	21	1	0	noninducer
0	0	1	0	1	3	0	-2	237.648	6.661	463.086	0	269.374	129.731	63.98	728.763	3	2.5	0.0608863	0.0093506	0.845723	22.324	8.675	14.388	10.732	0.253	-3.772	-3.508	-3.273	21.75	-1.971	22.919	-7.802	8.831	0.958	1	-0.533	2	52.366	0	13.062	128.167	6	0	6	0	6	0	16	1	0.0182208	inducer
1	1	0	0	0	6	0	-2	169.18	4.858	372.186	76.962	204.444	90.78	0	584.14	5	3.25	0.0404009	0.0195258	0.9079941	14.238	6.887	13.925	11.824	-0.946	0.684	-0.493	-4.18	28.448	-1.053	11.675	-6.454	8.727	-0.135	6	-0.888	2	47.433	0	0	90.992	4	0	6	0	6	0	12	0	0.0429556	inducer
0	0	0	0	0	5	0	-2	286.336	1.902	571.639	271.505	170.997	129.137	0	957.758	4	6.2	0.0037787	0.021692	0.8220166	30.198	10.035	18.895	13.999	1.255	-3.551	-2.967	-5.028	236.776	-1.425	104.252	-3.736	7.93	-0.224	4	-0.271	3	76.787	0	0	96.475	7	0	17	3	14	6	21	0	0.0433057	noninducer
0	0	0	0	1	8	1	0	489.463	7.938	733.45	262.108	100.088	248.247	123.007	1328.86	0	7.5	0.047414	0	0.7969801	44.261	12.281	19.651	11.607	3.754	-4.489	-6.172	-4.627	664.101	-0.667	2622.601	-1.722	9.733	0.625	1	-0.192	3	100	122.734	28.207	107.391	8	0	17	0	17	3	33	0	0	noninducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
0	0	0	0	1	8	0	-2	465.428	9.084	734.106	229.945	128.948	252.496	122.717	1306.597	2	6.75	0.0631563	0.0130035	0.7873493	43.411	12.79	22.17	13.349	3.755	-5.573	-6.231	-4.803	418.012	-1.004	1322.303	-2.238	8.707	0.473	2	0.138	3	95.846	122.717	19.083	115.136	8	0	17	0	17	1	33	0	0.02051	noninducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
0	0	0	0	0	2	0	0	151.165	6.298	366.971	95.023	110.65	161.297	0	560.084	2	3.25	0.0708098	0.0125247	0.8954385	16.517	5.657	10.534	8.141	0.514	-1.06	-1.469	-3.993	884.304	-0.477	433.144	-2.799	8.619	-0.255	1	-0.537	3	82.692	0	0	59.566	3	0	6	0	6	0	11	0	0.0304052	noninducer
1	0	0	1	1	4	1	-1	163.191	4.303	356.379	151.87	144.534	0	59.975	544.679	1.25	3.25	0.0339862	0.0101959	0.905066	13.076	4.935	7.891	7.389	0.462	-0.655	-0.679	0.114	70.878	-0.707	119.584	-3.799	9.183	-0.136	2	-1.112	2	62.77	0	22.409	82.19	4	0	0	0	0	0	10	0	0.022266	noninducer
1	0	0	1	0	2	1	-1	180.16	2.386	372.262	92.049	119.352	160.861	0	593.487	1	4.5	0.0095913	0.0120883	0.9174671	17.849	6.065	9.471	7.977	1.189	-1.71	-1.578	-1.827	185.219	-0.502	101.682	-2.96	9.99	0.601	0	-0.769	3	74.496	0	0	78.513	4	0	6	0	6	0	13	0	0.0249779	noninducer
0	0	0	1	0	10	1	-2	326.435	3.493	662.62	463.064	97.948	101.607	0	1151.671	1	2.75	0.0105954	0.0041502	0.801899	34.485	10.552	13.657	4.639	5.31	-5.719	-5.09	-3.415	295.568	-1.055	168.512	-2.007	8.221	1.421	6	0.635	3	89.3	0	0	53.419	3	1	6	0	6	0	24	1	0.00842436	noninducer
0	0	0	0	0	6	0	-2	225.207	10.674	450.025	143.05	242.967	64.009	0	720.649	4	8.9	0.158085	0.0395533	0.8637947	19.445	7.833	19.013	16.191	-1.554	-2.304	-1.382	-4.041	49.187	-1.969	19.072	-5.196	8.274	0.078	2	-0.949	2	48.13	0	0	126.347	8	0	9	0	9	0	16	0	0.0790383	noninducer
0	0	0	2	0	8	0	-2	273.188	5.875	485.949	107.885	259.995	116.569	1.499	799	4	10.7	0.0432042	0.0440376	0.8569181	21.798	9.109	19.335	18.083	-0.575	-1.323	-1.549	-0.788	2.176	-2.276	1.081	-5.132	8.289	-0.025	2	-1.415	1	29.62	0	0	136.345	9	0	9	0	9	0	18	1	0.0783344	noninducer
0	0	0	0	1	9	0	-2	389.453	4.973	699.744	507.792	114.074	77.879	0	1229.207	3	8.7	0.0201171	0.0215348	0.7930663	38.004	11.719	21.197	15.958	1.809	-3.389	-3.639	-3.877	467.5	-1.188	399.527	-2.483	7.974	0.526	5	-0.465	3	85.323	0	30.698	106.437	9	0	15	0	15	4	28	0	0.0386923	noninducer
6	1	0	0	2	21	0	-2	551.765	13.072	990.249	764.674	169.755	55.82	0	1832.686	5	9.9	0.0932457	0.0223551	0.7313847	54.239	18.552	31.139	20.241	3.035	-3.525	-4.183	-4.122	21.642	-2.419	26.473	-4.498	8.594	-0.242	9	-0.2	1	42.696	0	56.247	136.195	9	2	6	0	6	0	39	2	0.0401206	noninducer
3	0	0	0	0	0	0	-1	136.113	5.904	296.797	0	183.156	113.641	0	442.302	2	4.5	0.0788131	0.0214421	0.9459136	12.632	5.063	10.403	9.814	-0.551	-2.266	-1.151	-2.949	181.564	-0.801	78.244	-4.495	9.33	0.751	1	-0.741	3	64.149	0	0	86.438	5	0	9	0	9	0	10	0	0.0467549	inducer
0	0	0	0	0	2	0	0	294.355	4.653	531.437	244.409	57.5	229.527	0	942.658	1	4.5	0.0229708	0.0084676	0.874882	32.479	9.301	14.544	8.406	3.2	-4.051	-4.355	-4.651	2822.437	-0.058	1518.523	-1.579	8.265	0.035	3	0.248	3	100	0	0	52.856	5	0	18	0	18	2	22	0	0.0152876	noninducer
0	0	0	1	0	15	1	-2	354.486	3.657	748.876	523.684	221.926	3.265	0	1300.246	3	7.4	0.0102869	0.0171152	0.7693174	36.282	12.724	19.881	11.427	2.948	-3.672	-3.478	-3.473	19.723	-2.84	9.034	-4.158	10.444	-0.702	6	-0.197	2	67.383	0	0	115.192	5	0	5	0	5	4	25	1	0.036157	noninducer
5	1	0	0	0	1	0	2	151.251	1.159	351.163	303.183	47.98	0	0	575.987	2	1	0.002331	0.0040272	0.9533769	16.255	4.839	7.863	4.584	1.44	-0.565	-0.542	-3.013	866.572	0.55	468.818	-4.37	9.338	-2.937	0	-0.215	3	87.956	0	0	24.868	1	0	10	0	10	10	11	0	0.00935004	inducer
0	1	0	0	0	5	0	1	378.106	4.95	531.229	218.824	79.874	83.916	148.614	901.936	3.5	4.2	0.027165	0.0147911	0.8498339	27.532	9.54	16.768	10.324	2.326	-2.772	-4.226	-5.088	431.872	0.288	1439.464	-4.279	8.461	0.363	4	-0.105	3	87.732	0	0	54.306	3	0	12	0	12	6	18	0	0.0207811	inducer
15	4	0	0	1	22	2	-2	585.607	15.195	826.231	367.016	459.215	0	0	1600.985	17	26.9	0.1442125	0.1342379	0.8010412	43.791	20.156	56.432	53.29	-8.416	-0.438	4.614	-6.282	0.004	-4.737	0.002	-11.996	8.943	-1.108	14	-2.505	1	0	0	25.905	308.113	18	3	18	0	18	16	40	2	0.189396	inducer
0	1	0	0	0	8	0	0	437.418	8.2	721.551	218.194	126.438	254.203	122.717	1264.719	3	5.25	0.0531676	0.0126024	0.7838395	41.751	12.622	22.059	11.888	4.012	-5.21	-5.725	-6.968	156.24	-0.591	345.984	-4.249	8.688	0.465	4	0.538	3	89.704	122.717	0	103.559	7	0	17	0	17	1	31	0	0.0207885	inducer
0	1	0	1	0	8	0	0	337.461	2.015	659.099	261.244	113.905	283.951	0	1161.773	2	3.5	0.0034939	0.0075099	0.8108898	37.915	12.268	17.101	8.624	2.562	-4.965	-4.041	-4.865	52.028	-0.675	28.515	-3.913	9.319	-0.129	7	0.51	2	72.665	0	0	60.274	3	0	15	0	12	3	25	1	0.0146677	noninducer
0	1	0	0	0	11	0	1	645.318	2.825	800.749	435.207	27.947	223.617	113.978	1458.684	0	5.25	0.0054721	0	0.7768005	47.295	14.5	18.327	6.142	7.281	-6.129	-10.193	-6.936	1342.087	0.27	3167.49	-2.253	9.08	1.266	4	0.981	1	100	0	0	42.708	4	2	15	0	15	0	31	1	0	inducer
2	1	0	0	0	3	0	2	277.408	1.028	562.774	268.887	5.95	287.937	0	995.895	0	2	0.0010607	0	0.8569848	34.525	9.559	11.921	4.381	5.025	-4.415	-3.578	-5.945	2169.571	0.727	1264.183	-2.389	9.063	0.049	4	0.847	3	100	0	0	5.803	1	1	15	0	12	2	21	0	0	inducer
0	1	0	0	0	8	2	1	408.881	5.738	695.441	394.688	125.418	135.04	40.294	1261.068	2	6.2	0.0261123	0.012608	0.8117033	40.467	12.523	19.811	10.45	3.003	-4.26	-4.601	-5.949	159.756	-0.69	125.312	-4.65	8.575	0.467	8	0.458	2	83.967	0	0	103.29	7	0	12	0	12	1	28	1	0.0214442	noninducer
0	1	0	0	0	7	0	1	355.866	6.916	640.541	232.911	61.599	274.593	71.438	1124.507	2	4.25	0.0425385	0.0093833	0.8164437	36.976	11.977	17.837	9.144	4.019	-4.217	-4.572	-6.538	643.667	0.099	837.049	-3.078	8.115	0.758	5	0.486	3	100	0	0	46.854	4	0	16	0	16	0	25	0	0.0168895	inducer
1	1	0	1	2	6	1	-2	365.403	5.847	563.402	165.332	238.797	131.47	27.803	1027.004	4.25	8	0.0332916	0.0292729	0.8737654	32.35	11.612	22.023	19.998	-2.355	-0.981	-1.304	-0.371	1.39	-1.417	2.124	-6.944	9.261	0.794	5	-1.116	1	15.721	0	48.834	141.66	8	0	13	4	9	4	25	1	0.0451349	noninducer
0	1	0	1	2	5	1	-1	349.404	7.313	551.158	165.347	184.372	173.631	27.807	1004.429	3.25	7.25	0.0532477	0.0237139	0.8800387	32.491	11.113	20.331	17.903	-1.973	-1.508	-1.329	-0.471	4.563	-0.858	7.676	-5.888	9.502	0.803	5	-0.994	2	27.193	0	48.838	119.2	7	0	13	4	9	4	24	1	0.0374069	noninducer
0	0	0	0	0	0	0	0	256.091	1.638	433.213	86.829	114.493	113.739	118.151	707.223	1	4	0.0037916	0.0092333	0.8861382	23.235	7.451	11.503	7.76	1.869	-3.109	-3.483	-3.917	813.139	-0.119	1755.822	-3.229	8.436	0.801	2	-0.183	3	89.975	0	0	60.917	4	0	13	0	13	2	16	0	0.0156194	noninducer
1	0	0	0	0	2	0	2	185.243	2.942	395.467	0	16.196	293.393	85.878	629.355	0	2.5	0.0137539	0	0.8980869	20.55	6.85	8.031	4.828	2.828	-2.451	-2.447	-4.58	6955.24	0.52	10000	-0.592	8.384	1.459	0	-0.309	3	100	0	0	11.545	1	0	10	0	10	0	13	0	0	noninducer
3	0	2	0	0	13	0	-2	256.393	2.749	619.908	333.319	286.59	0	0	1022.99	8	4	0.0073859	0.0182506	0.7920486	26.439	11.473	22.254	15.95	0.448	-2.365	-2.096	-4.897	18.974	-3.266	6.812	-9.678	8.383	-1.28	2	-0.722	2	39.487	0	0	142.428	6	1	0	0	0	0	18	1	0.0441264	noninducer
0	1	0	0	0	6	0	1	448.391	5.985	782.41	352.993	83.614	230.174	115.629	1371.46	1	6.25	0.0261198	0.0079881	0.7629911	47.077	14.435	20.893	10.074	4.858	-6.476	-5.714	-7.191	398.005	-0.073	869.301	-3.736	8.89	0.266	5	0.834	1	100	0	0	58.965	5	0	22	0	22	6	30	1	0.0139387	inducer
8	0	0	0	1	17	1	-2	704.865	4.056	1068.735	517.541	162.808	388.386	0	2105.302	3.5	12.7	0.0078127	0.0222314	0.7433121	70.894	22.74	35.967	21.296	5.484	-7.256	-8.695	-6.163	201.668	-2.426	126.479	-1.52	9.339	0.697	6	0.606	1	61.43	0	18.512	157.813	13	3	18	0	18	0	51	1	0.0337078	noninducer
0	1	0	0	1	9	0	-2	266.339	5.62	581.08	287.424	157.83	135.826	0	964.358	4	6.45	0.0327548	0.0222	0.8123719	27.958	10.036	18.422	15.724	0.156	-1.294	-0.772	-4.568	43.635	-1.175	35.079	-5.148	9.045	-0.404	5	-0.788	2	57.211	0	32.194	94.924	5	0	6	0	6	0	19	0	0.0484344	noninducer
1	1	0	0	0	6	0	1	255.359	0.48	556.754	223.929	24.27	308.556	0	953.626	1	2.25	0.0002415	0.0040413	0.8415638	31.104	9.599	12.263	5.68	3.679	-3.396	-3.134	-6.293	1454.289	0.372	820.419	-2.366	9.032	-0.209	5	0.52	3	100	0	0	19.135	2	0	12	0	12	0	19	0	0.00881116	noninducer
0	0	0	0	0	1	0	0	366.843	5.929	625.542	141.125	110.657	302.036	71.725	1104.94	1	4.75	0.0318189	0.0075934	0.8262933	40.308	12.108	18.195	9.98	4.089	-6.091	-5.702	-5.783	884.179	-0.401	1070.227	-2.399	9.303	1.641	3	0.657	3	100	0	0	68.619	3	0	22	0	22	6	26	1	0.0129483	noninducer
0	1	0	0	0	5	1	1	289.374	3.503	538.947	290.804	72.019	176.124	0	956.707	0	4.7	0.0128286	0	0.8712409	30.605	8.918	12.281	6.23	1.869	-2.087	-2.376	-5.182	512.676	0.028	265.83	-3.809	9.383	-0.407	4	-0.074	3	86.387	0	0	50.016	4	0	14	0	14	7	21	0	0	inducer
