VolSurfPlus_V	VolSurfPlus_S	VolSurfPlus_R	VolSurfPlus_G	VolSurfPlus_W1	VolSurfPlus_W2	VolSurfPlus_W3	VolSurfPlus_W4	VolSurfPlus_W5	VolSurfPlus_W6	VolSurfPlus_W7	VolSurfPlus_W8	VolSurfPlus_D1	VolSurfPlus_D2	VolSurfPlus_D3	VolSurfPlus_D4	VolSurfPlus_D5	VolSurfPlus_D6	VolSurfPlus_D7	VolSurfPlus_D8	VolSurfPlus_WO1	VolSurfPlus_WO2	VolSurfPlus_WO3	VolSurfPlus_WO4	VolSurfPlus_WO5	VolSurfPlus_WO6	VolSurfPlus_WN1	VolSurfPlus_WN2	VolSurfPlus_WN3	VolSurfPlus_WN4	VolSurfPlus_WN5	VolSurfPlus_WN6	VolSurfPlus_Iw1	VolSurfPlus_Iw2	VolSurfPlus_Iw3	VolSurfPlus_Iw4	VolSurfPlus_Cw1	VolSurfPlus_Cw2	VolSurfPlus_Cw3	VolSurfPlus_Cw4	VolSurfPlus_Cw5	VolSurfPlus_Cw6	VolSurfPlus_Cw7	VolSurfPlus_Cw8	VolSurfPlus_ID1	VolSurfPlus_ID2	VolSurfPlus_ID3	VolSurfPlus_ID4	VolSurfPlus_CD1	VolSurfPlus_CD2	VolSurfPlus_CD3	VolSurfPlus_CD4	VolSurfPlus_CD5	VolSurfPlus_CD6	VolSurfPlus_CD7	VolSurfPlus_CD8	VolSurfPlus_HL1	VolSurfPlus_HL2	VolSurfPlus_A	VolSurfPlus_CP	VolSurfPlus_POL	VolSurfPlus_MW	VolSurfPlus_FLEX	VolSurfPlus_FLEX_RB	VolSurfPlus_NCC	VolSurfPlus_DIFF	VolSurfPlus_LOGP_N.oct	VolSurfPlus_LOGP_c.Hex	VolSurfPlus_PSA	VolSurfPlus_HSA	VolSurfPlus_PSAR	VolSurfPlus_PHSAR	VolSurfPlus_LgD5	VolSurfPlus_LgD6	VolSurfPlus_LgD7	VolSurfPlus_LgD75	VolSurfPlus_LgD8	VolSurfPlus_LgD9	VolSurfPlus_LgD10	VolSurfPlus_AUS74	VolSurfPlus_pctFU4	VolSurfPlus_pctFU5	VolSurfPlus_pctFU6	VolSurfPlus_pctFU7	VolSurfPlus_pctFU8	VolSurfPlus_pctFU9	VolSurfPlus_pctFU10	VolSurfPlus_DRDRDR	VolSurfPlus_DRDRAC	VolSurfPlus_DRDRDO	VolSurfPlus_DRACAC	VolSurfPlus_DRACDO	VolSurfPlus_DRDODO	VolSurfPlus_ACACAC	VolSurfPlus_ACACDO	VolSurfPlus_ACDODO	VolSurfPlus_DODODO	VolSurfPlus_SOLY	VolSurfPlus_LgS3	VolSurfPlus_LgS4	VolSurfPlus_LgS5	VolSurfPlus_LgS6	VolSurfPlus_LgS7	VolSurfPlus_LgS75	VolSurfPlus_LgS8	VolSurfPlus_LgS9	VolSurfPlus_LgS10	VolSurfPlus_LgS11	VolSurfPlus_PB	VolSurfPlus_VD	VolSurfPlus_CACO2	VolSurfPlus_SKIN	VolSurfPlus_LgBB	VolSurfPlus_MetStab	VolSurfPlus_HTSflag	VolSurfPlus_L0LgS	VolSurfPlus_L1LgS	VolSurfPlus_L2LgS	VolSurfPlus_L3LgS	VolSurfPlus_L4LgS	VolSurfPlus_DD1	VolSurfPlus_DD2	VolSurfPlus_DD3	VolSurfPlus_DD4	VolSurfPlus_DD5	VolSurfPlus_DD6	VolSurfPlus_DD7	VolSurfPlus_DD8	Class
676	415.741	1.62601	1.17913	1090	650	291	103	53	23	8	0	246	124	52	26	16	9	6	4	194	66	28	7	0	0	338	120	64	31	10	0	0.0245759	0.113491	0.428267	0.421224	2.62182	1.56347	0.699954	0.24775	0.127483	0.0553228	0.0192427	0	0.0160233	0.0869179	0.197906	0.367088	0.591714	0.298262	0.125078	0.0625389	0.0384855	0.0216481	0.014432	0.00962136	1.01923	0.884615	3.71225	1.59255	33.972	296.403	0.00187587	0.000468969	0	0.624695	3.512	-0.188	40.46	375.281	0.0973201	0.107812	3.512	3.51199	3.51193	3.51179	3.51134	3.50539	3.44747	2	100	99.9998	99.9985	99.9846	99.8465	98.4789	86.1077	18.3286	21.5279	21.5279	18.2306	18.2306	18.2306	0	0	0	0	-4.37582	-4.37582	-4.37582	-4.37582	-4.37581	-4.37575	-4.37561	-4.37515	-4.36916	-4.31088	-3.85739	78.6614	0.440805	1.13643	-2.77268	0.0983304	50.3438	0	-4.34395	0.0845516	0.110262	0.106893	0.0841066	9	3	5	3	4	1	0	0	noninducer
740	464.822	1.59201	1.27342	1071	437	138	41	19	12	6	1	409	220	107	57	31	23	18	12	0	0	0	0	0	0	199	55	26	16	8	1	0.026008	0.280431	0.944758	1.17187	2.30411	0.940145	0.296888	0.0882058	0.0408759	0.0258163	0.0129082	0.00215136	0.0347677	0.0808719	0.136414	0.165149	0.879907	0.473299	0.230196	0.122628	0.0666922	0.0494813	0.0387245	0.0258163	0.17757	0.210526	6.5185	6.69065	36.895	309.832	0.863846	0.172769	0	0.532553	5.743	3.252	3.24	461.582	0.00697041	0.00701934	2.35533	2.83953	3.7237	4.20526	4.67597	5.427	5.69883	0.475955	0.000933839	0.0093376	0.0932976	0.925207	8.54088	48.2896	90.3274	17.0529	15.1583	0	0	0	0	0	0	0	0	-4.82993	-1.33121	-1.34256	-1.44226	-1.92646	-2.81063	-3.29219	-3.7629	-4.51393	-4.78576	-4.8253	100	1.24103	1.65182	-0.864977	1.27271	45.4783	1	-2.9578	-2.34399	-0.211146	0.781179	0.11945	3	20	12	1	4	0	3	3	inducer
747	448.24	1.66652	1.19459	1092	452	136	34	18	11	2	0	392	201	95	51	34	22	18	13	0	0	0	0	0	0	197	48	23	13	8	1	0.0334223	0.351295	1.14096	1.49277	2.4362	1.00839	0.303409	0.0758523	0.0401571	0.0245404	0.0044619	0	0.0339826	0.0593647	0.100735	0.135679	0.874532	0.448421	0.21194	0.113778	0.0758523	0.0490809	0.0401571	0.0290023	0.189474	0.215686	7.32708	8.45707	37.087	311.848	0.850946	0.170189	0	0.516165	5.265	3.644	3.24	445	0.00722828	0.0072809	1.49035	2.26827	3.2347	3.72373	4.19685	4.94889	5.22082	0.475955	0.000933839	0.0093376	0.0932976	0.925207	8.54088	48.2896	90.3274	17.0065	15.6059	0	0	0	0	0	0	0	0	-4.49788	-0.999157	-1.01051	-1.11021	-1.59441	-2.47858	-2.96014	-3.43085	-4.18188	-4.45371	-4.49325	100	1.26011	1.60362	-0.978575	1.25932	48.8034	1	-2.62575	-2.34399	-0.211146	0.781179	0.119451	8	11	10	12	8	1	3	4	inducer
437	282.223	1.54842	1.02019	712	348	148	55	25	7	1	0	199	121	37	27	15	9	3	0	51	22	10	1	0	0	138	44	21	11	2	0	0.144863	0.712601	1.51962	2.50894	2.52282	1.23307	0.524407	0.194881	0.0885823	0.024803	0.00354329	0	0.0719301	0.109335	0.115883	0.210151	0.705115	0.428738	0.131102	0.0956689	0.0531494	0.0318896	0.0106299	0	0.675676	0.259259	6.70554	2.43911	19.828	162.231	0.163812	0.163812	0	0.833457	1.509	-0.393	15.04	267.183	0.0532911	0.0562909	-1.7842	-1.31284	-0.434897	0.0445088	0.510418	1.23033	1.47158	0.5333	0.00111017	0.0111055	0.110949	1.09852	9.99687	52.6229	91.7405	7.61384	7.74892	7.74892	0	0	0	0	0	0	0	-1.24705	2.25356	2.23818	2.12229	1.59903	0.69995	0.218444	-0.248148	-0.968348	-1.20962	-1.24316	76.8392	0.340575	1.175	-1.94599	0.72925	100	0	0.592299	-2.35027	-0.154315	0.791417	0.0882702	0	0	0	0	0	0	0	0	noninducer
617	395.186	1.56129	1.19727	992	370	47	0	0	0	0	0	391	179	87	54	42	34	26	23	0	0	0	0	0	0	0	0	0	0	0	0	0.00840629	0.140015	0	0	2.51021	0.936267	0.118931	0	0	0	0	0	0.0232491	0.108179	0.189277	0.257755	0.989407	0.452951	0.220149	0.136644	0.106279	0.0860354	0.0657918	0.0582004	0	0	1.91516	87	33.711	268.352	2.21956e-07	2.21956e-07	0	0.699662	6.36	3.137	0	395.186	0	0	6.36	6.36	6.36	6.36	6.36	6.36	6.36	2	100	100	100	100	100	100	100	18.369	0	0	0	0	0	0	0	0	0	-5.88775	-5.88775	-5.88775	-5.88775	-5.88775	-5.88775	-5.88775	-5.88775	-5.88775	-5.88775	-5.88775	100	1.32347	1.76851	-0.817349	0.785077	39.2135	0	-5.88775	0	0	0	0	0	0	0	0	0	0	0	0	noninducer
481	310.414	1.54954	1.06916	1116	848	463	187	86	39	8	2	215	101	69	54	45	31	22	12	246	80	28	18	4	0	468	178	77	29	6	0	0.0484596	0.0987282	0.205554	0.450416	3.5952	2.73184	1.49156	0.602421	0.277049	0.125639	0.025772	0.00644301	0.0646603	0.105583	0.117345	0.129525	0.692623	0.325372	0.222284	0.173961	0.144968	0.0998666	0.0708731	0.038658	1.24638	0.722222	1.95579	2.28594	23.104	237.645	1.16866	0.194776	0	0.832439	0.72	0.023	114.79	195.624	0.369796	0.586789	-1.36323	-0.408322	0.368168	0.575476	0.668874	0.714311	0.716435	1.82922	0.0799956	0.794238	7.41252	44.4627	88.8907	98.6982	99.1823	7.39629	8.57419	8.81217	8.61041	10.0283	8.74103	0.535819	10.0624	10.0546	2.8081	-2.65554	0.74648	0.296818	-0.57232	-1.52722	-2.30371	-2.51102	-2.60442	-2.64986	-2.65198	-2.62614	71.4431	0.718316	0.142017	-5.30801	-1.03784	100	0	-1.62156	-1.92171	0.986778	0.197863	-0.373795	3	3	1	0	1	0	2	1	inducer
380	256.195	1.48325	1.01472	939	756	435	185	88	31	8	1	59	40	23	15	4	2	2	0	375	147	72	21	3	1	442	195	91	30	2	0	0.0554806	0.145827	0.372677	0.305415	3.66518	2.95088	1.69793	0.722108	0.343489	0.121002	0.0312263	0.00390328	0.0507478	0.0762103	0.088707	0.446527	0.230294	0.156131	0.0897755	0.0585493	0.0156131	0.00780657	0.00780657	0	3.82609	2.06667	2.07359	0.989846	17.366	169.178	0.400769	0.0667948	0	0.982858	0.236	-3.127	86.71	169.485	0.338454	0.51161	-2.64078	-2.61291	-2.40829	-2.14833	-1.82596	-1.42325	-1.62177	0	0	0	0	0	0	0	0	5.18839	7.54954	7.54954	8.46417	8.46417	8.46417	8.06258	8.06258	8.06258	8.06258	-1.08979	2.41019	2.41	2.40808	2.38944	2.24122	2.02887	1.74005	1.359	1.5695	2.14766	33.6152	0.175983	-0.470557	-6.20857	-1.65926	100	0	2.04407	-0.557562	0.0302322	0.518835	0.346635	3	2	2	2	1	1	1	0	inducer
631	403.311	1.56455	1.20699	1212	821	504	214	111	58	16	4	163	92	44	31	21	17	11	7	270	95	40	12	1	0	570	246	129	56	18	1	0.104633	0.221666	0.470656	0.344245	3.00512	2.03565	1.24965	0.530607	0.275222	0.143809	0.0396716	0.0099179	0.0449889	0.0570445	0.0805632	0.174918	0.404154	0.228112	0.109097	0.0768637	0.052069	0.0421511	0.0272742	0.0173563	2.52273	1.87097	3.02706	1.59635	30.854	286.332	1.01498	0.169164	0	0.656608	0.993	-2.329	99.18	304.131	0.245914	0.326109	0.460839	0.899334	0.98267	0.989706	0.991955	0.992889	0.992928	1.99891	3.98732	29.3433	80.5936	97.6487	99.7596	99.9745	99.9834	14.8849	15.1383	18.2537	13.704	15.1931	14.3996	9.55735	10.0504	10.0504	7.67328	-3.04521	-0.693636	-1.64919	-2.51305	-2.95154	-3.03488	-3.04192	-3.04416	-3.0451	-3.04514	-3.04459	56.091	0.329834	0.168908	-5.00691	-0.97301	92.461	0	-2.65375	-0.89432	0.825907	-0.390368	0	1	0	0	0	0	0	0	1	noninducer
954	586.645	1.6262	1.40052	1772	1340	848	378	152	42	14	3	135	62	30	19	12	9	5	3	107	20	7	1	1	0	981	451	170	49	7	0	0.0440841	0.0776425	0.413554	1.11417	3.02057	2.28418	1.44551	0.644342	0.2591	0.0715936	0.0238645	0.00511383	0.0238442	0.103375	0.184441	0.201989	0.230122	0.105686	0.0511383	0.0323876	0.0204553	0.0153415	0.00852304	0.00511383	5.06667	2.21053	5.37526	0.295441	43.656	489.462	2.95837	0.246531	0	0.30123	3.355	3.206	123.182	463.462	0.209978	0.265787	3.355	3.355	3.355	3.35499	3.35498	3.35476	3.35263	2	100	100	99.9999	99.9995	99.9945	99.9452	99.4547	28.951	30.1053	17.6832	26.8072	16.7997	0	21.2789	14.8386	0	0	-4.9556	-4.9556	-4.9556	-4.9556	-4.9556	-4.95559	-4.95559	-4.95557	-4.95536	-4.95322	-4.93242	77.6815	-0.0574488	0.288107	-3.68793	-0.242304	28.52	0	-4.95432	0	0	0	0	8	3	6	5	4	3	4	2	noninducer
966	604.342	1.59843	1.44617	1855	1423	894	402	164	59	19	3	132	62	30	18	8	6	4	2	163	42	20	6	0	0	1070	481	189	67	16	0	0.045122	0.0845778	0.353285	1.16147	3.06946	2.35463	1.4793	0.665187	0.27137	0.0976269	0.0314392	0.00496408	0.0295702	0.0722804	0.112741	0.11737	0.218419	0.102591	0.0496408	0.0297845	0.0132375	0.00992816	0.00661877	0.00330939	5.46667	3.27778	4.74893	0.372247	44.293	505.461	2.91916	0.22455	0	0.300922	2.333	1.583	134.392	469.949	0.222378	0.285972	2.33298	2.33284	2.33139	2.32792	2.31715	2.19574	1.6597	1.99902	99.9996	99.9963	99.9628	99.6295	96.4147	72.8938	21.1928	30.6333	36.8859	18.2962	34.1167	20.2488	0	27.8022	17.6306	0	0	-4.70232	-4.70232	-4.70231	-4.7023	-4.70215	-4.7007	-4.69724	-4.68646	-4.56506	-4.02901	-3.12549	71.9991	-0.223728	-0.0960322	-4.28353	-0.607208	38.7566	0	-4.51028	0.469772	0.510787	0.352332	0.137643	12	2	1	3	2	1	0	0	noninducer
