organ_type	drug_name	toxicity_label
Hepatic	nitroglycerin	1
Hepatic	telbivudine	1
Hepatic	nateglinide	1
Hepatic	oxymetholone	1
Hepatic	brotizolam	1
Hepatic	valproate	1
Hepatic	cefditoren	1
Hepatic	nilotinib	1
Hepatic	fingolimod	1
Hepatic	saw palmetto extract	1
Hepatic	tigecycline	1
Hepatic	ethyl loflazepate	1
Hepatic	anti-inhibitor coagulant complex	1
Hepatic	basiliximab	1
Hepatic	canrenoate	1
Hepatic	propranolol	1
Hepatic	atorvastatin	1
Hepatic	aztreonam	1
Hepatic	cyclizine	1
Hepatic	mercaptopurine	1
Hepatic	cephalexin	1
Hepatic	methotrimeprazine	1
Hepatic	acyclovir	1
Hepatic	roxithromycin	1
Hepatic	aprotinin	1
Hepatic	ribavirin	1
Hepatic	ado-trastuzumab emtansine	1
Hepatic	levocarnitine	1
Hepatic	nefazodone	1
Hepatic	entecavir	1
Hepatic	clarithromycin	1
Hepatic	budesonide	1
Hepatic	bromazepam	1
Hepatic	cetuximab	1
Hepatic	norethindrone	1
Hepatic	magnesium sulfate	1
Hepatic	polyethylene glycol 3350	1
Hepatic	nimesulide	1
Hepatic	pravastatin	1
Hepatic	tamoxifen	1
Hepatic	thiopental	1
Hepatic	amlodipine	1
Hepatic	teriflunomide	1
Hepatic	infliximab	1
Hepatic	indinavir	1
Hepatic	eculizumab	1
Hepatic	amoxicillin	1
Hepatic	candesartan	1
Hepatic	metolazone	1
Hepatic	lamotrigine	1
Hepatic	benfluorex	1
Hepatic	dantrolene	1
Hepatic	cyamemazine	1
Hepatic	everolimus	1
Hepatic	methimazole	1
Hepatic	melatonin	1
Hepatic	desogestrel	1
Hepatic	prednisone	1
Hepatic	rifaximin	1
Hepatic	ciprofloxacin	1
Hepatic	thiotepa	1
Hepatic	colistin	1
Hepatic	amezinium	1
Hepatic	prednisolone	1
Hepatic	propofol	1
Hepatic	dexpanthenol	1
Hepatic	ketamine	1
Hepatic	zuclopenthixol	1
Hepatic	abiraterone	1
Hepatic	rifampin	1
Hepatic	chlormadinone	1
Hepatic	anakinra	1
Hepatic	proguanil	1
Hepatic	phenprocoumon	1
Hepatic	vancomycin	1
Hepatic	exemestane	1
Hepatic	nevirapine	1
Hepatic	lactate	1
Hepatic	calcium gluconate	1
Hepatic	clopidogrel	1
Hepatic	clindamycin	1
Hepatic	glycerin	1
Hepatic	interferon alfa-2a	1
Hepatic	warfarin	1
Hepatic	benzoyl peroxide	1
Hepatic	didanosine	1
Hepatic	spironolactone	1
Hepatic	ketoconazole	1
Hepatic	tacrolimus	1
Hepatic	gemtuzumab ozogamicin	1
Hepatic	deferasirox	1
Hepatic	letrozole	1
Hepatic	methyldopa	1
Hepatic	eltrombopag	1
Hepatic	nadolol	1
Hepatic	ferric carboxymaltose	1
Hepatic	dihydrocodeine	1
Hepatic	lactobacillus acidophilus	1
Hepatic	diphenhydramine	1
Hepatic	vincristine	1
Hepatic	anidulafungin	1
Hepatic	cefotaxime	1
Hepatic	sevoflurane	1
Hepatic	hydroxyzine	1
Hepatic	cholecalciferol	1
Hepatic	valsartan	1
Hepatic	quinine	1
Hepatic	fluorouracil	1
Hepatic	thiocolchicoside	1
Hepatic	oxazepam	1
Hepatic	levodopa	1
Hepatic	dasatinib	1
Hepatic	interferon beta-1a	1
Hepatic	idarubicin	1
Hepatic	thioguanine	1
Hepatic	prochlorperazine	1
Hepatic	acarbose	1
Hepatic	albuterol	1
Hepatic	acitretin	1
Hepatic	fluvastatin	1
Hepatic	chlorocresol	1
Hepatic	dipyrone	1
Hepatic	vismodegib	1
Hepatic	belatacept	1
Hepatic	lymphocyte immune globulin, anti-thymocyte globulin	1
Hepatic	voriconazole	1
Hepatic	orphenadrine	1
Hepatic	clozapine	1
Hepatic	pantoprazole	1
Hepatic	irbesartan	1
Hepatic	zafirlukast	1
Hepatic	loperamide	1
Hepatic	nicardipine	1
Hepatic	cefpodoxime	1
Hepatic	penicillin g	1
Hepatic	gefitinib	1
Hepatic	penicillin	1
Hepatic	cefadroxil	1
Hepatic	magnesium chloride	1
Hepatic	phloroglucinol	1
Hepatic	epoetin alfa	1
Hepatic	carbimazole	1
Hepatic	clobazam	1
Hepatic	selenium	1
Hepatic	treosulfan	1
Hepatic	cyclosporine	1
Hepatic	vitamin e	1
Hepatic	ruxolitinib	1
Hepatic	peginterferon alfa-2b	1
Hepatic	pamidronate	1
Hepatic	potassium citrate	1
Hepatic	tea leaf oil	1
Hepatic	loxoprofen	1
Hepatic	sulfamethoxazole	1
Hepatic	danazol	1
Hepatic	fosinopril	1
Hepatic	hydrocortisone	1
Hepatic	darunavir	1
Hepatic	chlorpheniramine	1
Hepatic	ceftriaxone	1
Hepatic	levofloxacin	1
Hepatic	azosemide	1
Hepatic	rosuvastatin	1
Hepatic	meperidine	1
Hepatic	rituximab	1
Hepatic	somatropin	1
Hepatic	estradiol	1
Hepatic	tocilizumab	1
Hepatic	levothyroxine	1
Hepatic	interferon alfa-2b	1
Hepatic	pegaspargase	1
Hepatic	caspofungin	1
Hepatic	iopamidol	1
Hepatic	cyproterone	1
Hepatic	etodolac	1
Hepatic	metaxalone	1
Hepatic	mesna	1
Hepatic	phenazopyridine	1
Hepatic	heparin	1
Hepatic	erlotinib	1
Hepatic	simvastatin	1
Hepatic	posaconazole	1
Hepatic	emtricitabine	1
Hepatic	brentuximab vedotin	1
Hepatic	chlorhexidine	1
Hepatic	pemoline	1
Hepatic	simeprevir	1
Hepatic	doxazosin	1
Hepatic	neostigmine	1
Hepatic	guaifenesin	1
Hepatic	mefenamate	1
Hepatic	molsidomine	1
Hepatic	mycophenolate mofetil	1
Hepatic	epoetin beta	1
Hepatic	insulin glargine	1
Hepatic	regorafenib	1
Hepatic	febuxostat	1
Hepatic	acebutolol	1
Hepatic	atomoxetine	1
Hepatic	acetylcysteine	1
Hepatic	imiglucerase	1
Hepatic	daclizumab	1
Hepatic	arsenic trioxide	1
Hepatic	pentazocine	1
Hepatic	terbinafine	1
Hepatic	cifenline	1
Hepatic	fulvestrant	1
Hepatic	cisplatin	1
Hepatic	desflurane	1
Hepatic	daunorubicin	1
Hepatic	gemcitabine	1
Hepatic	verapamil	1
Hepatic	esomeprazole	1
Hepatic	fluvoxamine	1
Hepatic	zonisamide	1
Hepatic	ketorolac	1
Hepatic	granisetron	1
Hepatic	nizatidine	1
Hepatic	mexiletine	1
Hepatic	alfentanil	1
Hepatic	docusate	1
Hepatic	itraconazole	1
Hepatic	tenofovir	1
Hepatic	phenytoin	1
Hepatic	pitavastatin	1
Hepatic	oxaliplatin	1
Hepatic	trimethoprim	1
Hepatic	asparaginase	1
Hepatic	trichlormethiazide	1
Hepatic	lecithin	1
Hepatic	cidofovir	1
Hepatic	micafungin	1
Hepatic	bcg, live, tice strain	1
Hepatic	cetirizine	1
Hepatic	rivaroxaban	1
Hepatic	sunitinib	1
Hepatic	metaraminol	1
Hepatic	tranexamic acid	1
Hepatic	ferrous fumarate	1
Hepatic	temozolomide	1
Hepatic	filgrastim	1
Hepatic	azithromycin	1
Hepatic	metopimazine	1
Hepatic	nelfinavir	1
Hepatic	tenofovir disoproxil	1
Hepatic	stavudine	1
Hepatic	niflumic acid	1
Hepatic	efavirenz	1
Hepatic	imatinib	1
Hepatic	chlordiazepoxide	1
Hepatic	doxepin	1
Hepatic	clofarabine	1
Hepatic	azathioprine	1
Hepatic	sulfasalazine	1
Hepatic	alginic acid	1
Hepatic	dextromethorphan	1
Hepatic	streptomycin	1
Hepatic	pyridoxal	1
Hepatic	terbutaline	1
Hepatic	penicillin v	1
Hepatic	nitrofurantoin	1
Hepatic	metaproterenol	1
Hepatic	isotretinoin	1
Hepatic	boceprevir	1
Hepatic	morphine	1
Hepatic	dapsone	1
Hepatic	thiamine	1
Hepatic	adefovir	1
Hepatic	ticagrelor	1
Hepatic	isoniazid	1
Hepatic	soybean oil	1
Hepatic	dalteparin	1
Hepatic	methamphetamine	1
Hepatic	carvedilol	1
Hepatic	norepinephrine	1
Hepatic	ethosuximide	1
Hepatic	opipramol	1
Hepatic	peginterferon alfa-2a	1
Hepatic	deferoxamine	1
Hepatic	imipenem	1
Hepatic	ceftazidime	1
Hepatic	biperiden	1
Hepatic	albendazole	1
Hepatic	digitoxin	1
Hepatic	caffeine	1
Hepatic	zoledronic acid	1
Hepatic	danaparoid	1
Hepatic	disulfiram	1
Hepatic	famotidine	1
Hepatic	sevelamer	1
Hepatic	hydromorphone	1
Hepatic	ganciclovir	1
Hepatic	metoprolol	1
Hepatic	ephedrine	1
Hepatic	propylthiouracil	1
Hepatic	loxapine	1
Hepatic	vildagliptin	1
Hepatic	omeprazole	1
Hepatic	insulin lispro	1
Hepatic	raltegravir	1
Hepatic	epoprostenol	1
Hepatic	fosfomycin	1
Hepatic	lercanidipine	1
Hepatic	aprepitant	1
Hepatic	nystatin	1
Hepatic	bumetanide	1
Hepatic	minocycline	1
Hepatic	dronedarone	1
Hepatic	amphotericin b liposomal	1
Hepatic	lactulose	1
Hepatic	sucralfate	1
Hepatic	clavulanate	1
Hepatic	sorafenib	1
Hepatic	octreotide	1
Hepatic	tropisetron	1
Hepatic	penicillamine	1
Hepatic	pemetrexed	1
Hepatic	chlorprothixene	1
Hepatic	perazine	1
Hepatic	sufentanil	1
Hepatic	atenolol	1
Hepatic	melphalan	1
Hepatic	rabbit anti-human t-lymphocyte globulin	1
Hepatic	glyburide	1
Hepatic	bisacodyl	1
Hepatic	cloxazolam	1
Hepatic	erythromycin	1
Hepatic	benazepril	1
Hepatic	goserelin	1
Hepatic	benserazide	1
Hepatic	pazopanib	1
Hepatic	zidovudine	1
Hepatic	dimethicone	1
Hepatic	ertapenem	1
Hepatic	capecitabine	1
Hepatic	vitamin k	1
Hepatic	dihydroergotamine	1
Hepatic	triamcinolone	1
Hepatic	oxygen	1
Hepatic	epirubicin	1
Hepatic	doxorubicin	1
Hepatic	sulfadiazine	1
Hepatic	cholestyramine resin	1
Hepatic	flunitrazepam	1
Hepatic	bosentan	1
Hepatic	dactinomycin	1
Hepatic	argatroban	1
Hepatic	temazepam	1
Hepatic	alprazolam	1
Hepatic	mecobalamin	1
Hepatic	duloxetine	1
Hepatic	interferon beta-1b	1
Hepatic	ticlopidine	1
Hepatic	sitagliptin	1
Hepatic	ferrous sulfate	1
Hepatic	phenobarbital	1
Hepatic	acenocoumarol	1
Hepatic	lansoprazole	1
Hepatic	benzonatate	1
Hepatic	tiotropium	1
Hepatic	rabeprazole	1
Hepatic	bicalutamide	1
Hepatic	celecoxib	1
Hepatic	lapatinib	1
Hepatic	ethambutol	1
Hepatic	amoxapine	1
Hepatic	amiodarone	1
Hepatic	metronidazole	1
Hepatic	fenoterol	1
Hepatic	ustekinumab	1
Hepatic	mannitol	1
Hepatic	linezolid	1
Hepatic	tolvaptan	1
Hepatic	digoxin	1
Hepatic	ofloxacin	1
Hepatic	cefpirome	1
Hepatic	docetaxel	1
Hepatic	glipizide	1
Hepatic	leflunomide	1
Hepatic	glimepiride	1
Hepatic	chloroquine	1
Hepatic	risperidone	1
Hepatic	indomethacin	1
Hepatic	bendroflumethiazide	1
Hepatic	cytarabine	1
Hepatic	pregabalin	1
Hepatic	thioridazine	1
