assay_name	compound_pubchem_cid	assay_outcome
tox21-ahr-p1	CID_3899	1
tox21-ahr-p1	CID_3883	1
tox21-ahr-p1	CID_4122	1
tox21-ahr-p1	CID_4810	1
tox21-ahr-p1	CID_122820	1
tox21-ahr-p1	CID_65758	1
tox21-ahr-p1	CID_4497	1
tox21-ahr-p1	CID_4418	1
tox21-ahr-p1	CID_4477	1
tox21-ahr-p1	CID_4485	1
tox21-ahr-p1	CID_1967	1
tox21-ahr-p1	CID_1935	1
tox21-ahr-p1	CID_2812	1
tox21-ahr-p1	CID_16043	1
tox21-ahr-p1	CID_2724411	1
tox21-ahr-p1	CID_79472	1
tox21-ahr-p1	CID_8969	1
tox21-ahr-p1	CID_5280961	1
tox21-ahr-p1	CID_4904	1
tox21-ahr-p1	CID_8546	1
tox21-ahr-p1	CID_5920	1
tox21-ahr-p1	CID_55918	1
tox21-ahr-p1	CID_5430	1
tox21-ahr-p1	CID_2082	1
tox21-ahr-p1	CID_6420040	1
tox21-ahr-p1	CID_441383	1
tox21-ahr-p1	CID_3767	1
tox21-ahr-p1	CID_4594	1
tox21-ahr-p1	CID_4055	1
tox21-ahr-p1	CID_26596	1
tox21-ahr-p1	CID_3784	1
tox21-ahr-p1	CID_12456	1
tox21-ahr-p1	CID_61100	1
tox21-ahr-p1	CID_4189	1
tox21-ahr-p1	CID_5281032	1
tox21-ahr-p1	CID_5070	1
tox21-ahr-p1	CID_3828	1
tox21-ahr-p1	CID_4030	1
tox21-ahr-p1	CID_5154	1
tox21-ahr-p1	CID_1548887	1
tox21-ahr-p1	CID_16363	1
tox21-ahr-p1	CID_3117	1
tox21-ahr-p1	CID_3634	1
tox21-ahr-p1	CID_3334	1
tox21-ahr-p1	CID_2788	1
tox21-ahr-p1	CID_68601	1
tox21-ahr-p1	CID_6005	1
tox21-ahr-p1	CID_10466908	1
tox21-ahr-p1	CID_71827	1
tox21-ahr-p1	CID_9681	1
tox21-ahr-p1	CID_3747	1
tox21-ahr-p1	CID_7619	1
tox21-ahr-p1	CID_65768	1
tox21-ahr-p1	CID_41368	1
tox21-ahr-p1	CID_57469	1
tox21-ahr-p1	CID_68713	1
tox21-ahr-p1	CID_68928	1
tox21-ahr-p1	CID_15139	1
tox21-ahr-p1	CID_6129	1
tox21-ahr-p1	CID_11818	1
tox21-ahr-p1	CID_3712	1
tox21-ahr-p1	CID_17818	1
tox21-ahr-p1	CID_41684	1
tox21-ahr-p1	CID_5770	1
tox21-ahr-p1	CID_10316	1
tox21-ahr-p1	CID_4338370	1
tox21-ahr-p1	CID_9651	1
tox21-ahr-p1	CID_34040	1
tox21-ahr-p1	CID_643606	1
tox21-ahr-p1	CID_656743	1
tox21-ahr-p1	CID_403	1
tox21-ahr-p1	CID_3728	1
tox21-ahr-p1	CID_2723601	1
tox21-ahr-p1	CID_55397	1
tox21-ahr-p1	CID_74989	1
tox21-ahr-p1	CID_8691	1
tox21-ahr-p1	CID_7243	1
tox21-ahr-p1	CID_2829432	1
tox21-ahr-p1	CID_171660	1
tox21-ahr-p1	CID_10680	1
tox21-ahr-p1	CID_517321	1
tox21-ahr-p1	CID_3295	1
tox21-ahr-p1	CID_2378	1
tox21-ahr-p1	CID_54680693	1
tox21-ahr-p1	CID_16682730	1
tox21-ahr-p1	CID_439280	1
tox21-ahr-p1	CID_5284452	1
tox21-ahr-p1	CID_2725002	1
tox21-ahr-p1	CID_23668198	1
tox21-ahr-p1	CID_3120	1
tox21-ahr-p1	CID_3316	1
tox21-ahr-p1	CID_15106	1
tox21-ahr-p1	CID_14710	1
tox21-ahr-p1	CID_32798	1
tox21-ahr-p1	CID_2723598	1
tox21-ahr-p1	CID_6436135	1
tox21-ahr-p1	CID_65399	1
tox21-ahr-p1	CID_16667700	1
tox21-ahr-p1	CID_162834	1
tox21-ahr-p1	CID_9060	1
tox21-ahr-p1	CID_8765	1
tox21-ahr-p1	CID_443101	1
tox21-ahr-p1	CID_2453	1
tox21-ahr-p1	CID_37274	1
tox21-ahr-p1	CID_3362	1
tox21-ahr-p1	CID_40854	1
tox21-ahr-p1	CID_9556529	1
tox21-ahr-p1	CID_7381	1
tox21-ahr-p1	CID_10314472	1
tox21-ahr-p1	CID_4679	1
tox21-ahr-p1	CID_60662	1
tox21-ahr-p1	CID_23663974	1
tox21-ahr-p1	CID_23725082	1
tox21-ahr-p1	CID_10212	1
tox21-ahr-p1	CID_6293	1
tox21-ahr-p1	CID_22704	1
tox21-ahr-p1	CID_3346	1
tox21-ahr-p1	CID_667490	1
tox21-ahr-p1	CID_697993	1
tox21-ahr-p1	CID_2722	1
tox21-ahr-p1	CID_4984721	1
tox21-ahr-p1	CID_7263	1
tox21-ahr-p1	CID_56801	1
tox21-ahr-p1	CID_123015	1
tox21-ahr-p1	CID_5281613	1
tox21-ahr-p1	CID_2817	1
tox21-ahr-p1	CID_11957707	1
tox21-ahr-p1	CID_443951	1
tox21-ahr-p1	CID_31070	1
tox21-ahr-p1	CID_11957725	1
tox21-ahr-p1	CID_2871	1
tox21-ahr-p1	CID_443375	1
tox21-ahr-p1	CID_72098	1
tox21-ahr-p1	CID_23665888	1
tox21-ahr-p1	CID_72157	1
tox21-ahr-p1	CID_8708	1
tox21-ahr-p1	CID_71116	1
tox21-ahr-p1	CID_119583	1
tox21-ahr-p1	CID_71986	1
tox21-ahr-p1	CID_46861540	1
tox21-ahr-p1	CID_47898	1
tox21-ahr-p1	CID_68363	1
tox21-ahr-p1	CID_5352624	1
tox21-ahr-p1	CID_5284607	1
tox21-ahr-p1	CID_71890	1
tox21-ahr-p1	CID_16837	1
tox21-ahr-p1	CID_6719	1
tox21-ahr-p1	CID_9570327	1
tox21-ahr-p1	CID_122797	1
tox21-ahr-p1	CID_5282138	1
tox21-ahr-p1	CID_170327	1
tox21-ahr-p1	CID_16720	1
tox21-ahr-p1	CID_54704052	1
tox21-ahr-p1	CID_65620	1
tox21-ahr-p1	CID_11310	1
tox21-ahr-p1	CID_24188465	1
tox21-ahr-p1	CID_15568	1
tox21-ahr-p1	CID_676166	1
tox21-ahr-p1	CID_10382	1
tox21-ahr-p1	CID_6764	1
tox21-ahr-p1	CID_5360232	1
tox21-ahr-p1	CID_42725	1
tox21-ahr-p1	CID_71645	1
tox21-ahr-p1	CID_4602	1
tox21-ahr-p1	CID_10374	1
tox21-ahr-p1	CID_5480	1
tox21-ahr-p1	CID_123631	1
tox21-ahr-p1	CID_123596	1
tox21-ahr-p1	CID_28718	1
tox21-ahr-p1	CID_14369	1
tox21-ahr-p1	CID_24107	1
tox21-ahr-p1	CID_21798	1
tox21-ahr-p1	CID_72068	1
tox21-ahr-p1	CID_101576	1
tox21-ahr-p1	CID_14868	1
tox21-ahr-p1	CID_11043	1
tox21-ahr-p1	CID_65776	1
tox21-ahr-p1	CID_5507	1
tox21-ahr-p1	CID_11313	1
tox21-ahr-p1	CID_54339	1
tox21-ahr-p1	CID_159977	1
tox21-ahr-p1	CID_17693	1
tox21-ahr-p1	CID_5371318	1
tox21-ahr-p1	CID_165457	1
tox21-ahr-p1	CID_7232	1
tox21-ahr-p1	CID_27448	1
tox21-ahr-p1	CID_19646	1
tox21-ahr-p1	CID_9574235	1
tox21-ahr-p1	CID_33334	1
tox21-ahr-p1	CID_7814	1
tox21-ahr-p1	CID_60962	1
tox21-ahr-p1	CID_32343	1
tox21-ahr-p1	CID_36663	1
tox21-ahr-p1	CID_19910	1
tox21-ahr-p1	CID_14720269	1
tox21-ahr-p1	CID_7547	1
tox21-ahr-p1	CID_5742631	1
tox21-ahr-p1	CID_6051	1
tox21-ahr-p1	CID_115367	1
tox21-ahr-p1	CID_23663996	1
tox21-ahr-p1	CID_176870	1
tox21-ahr-p1	CID_5876571	1
tox21-ahr-p1	CID_69779	1
tox21-ahr-p1	CID_4947	1
tox21-ahr-p1	CID_5311051	1
tox21-ahr-p1	CID_5819	1
tox21-ahr-p1	CID_12449	1
tox21-ahr-p1	CID_2040	1
tox21-ahr-p1	CID_23663976	1
tox21-ahr-p1	CID_32731	1
tox21-ahr-p1	CID_37907	1
tox21-ahr-p1	CID_9570290	1
tox21-ahr-p1	CID_6321253	1
tox21-ahr-p1	CID_4499	1
tox21-ahr-p1	CID_18637	1
tox21-ahr-p1	CID_17113	1
tox21-ahr-p1	CID_10209	1
tox21-ahr-p1	CID_1549158	1
tox21-ahr-p1	CID_33630	1
tox21-ahr-p1	CID_9849425	1
tox21-ahr-p1	CID_3259	1
tox21-ahr-p1	CID_6713324	1
tox21-ahr-p1	CID_60196293	1
tox21-ahr-p1	CID_16760569	1
tox21-ahr-p1	CID_8549	1
tox21-ahr-p1	CID_9927058	1
tox21-ahr-p1	CID_5311217	1
tox21-ahr-p1	CID_5717	1
tox21-ahr-p1	CID_10693	1
tox21-ahr-p1	CID_8550	1
tox21-ahr-p1	CID_5281082	1
tox21-ahr-p1	CID_6433356	1
tox21-ahr-p1	CID_15008962	1
tox21-ahr-p1	CID_22549	1
tox21-ahr-p1	CID_134018	1
tox21-ahr-p1	CID_5918	1
tox21-ahr-p1	CID_23663985	1
tox21-ahr-p1	CID_51045	1
tox21-ahr-p1	CID_54889	1
tox21-ahr-p1	CID_10126299	1
tox21-ahr-p1	CID_151194	1
tox21-ahr-p1	CID_22386467	1
tox21-ahr-p1	CID_1013376	1
tox21-ahr-p1	CID_108188	1
tox21-ahr-p1	CID_2161	1
tox21-ahr-p1	CID_60196301	1
tox21-ahr-p1	CID_71454	1
tox21-ahr-p1	CID_6437380	1
tox21-ahr-p1	CID_16078	1
tox21-ahr-p1	CID_10288	1
tox21-ahr-p1	CID_7083	1
tox21-ahr-p1	CID_6099	1
tox21-ahr-p1	CID_2543	1
tox21-ahr-p1	CID_5761	1
tox21-ahr-p1	CID_16211610	1
tox21-ahr-p1	CID_86233	1
tox21-ahr-p1	CID_443942	1
tox21-ahr-p1	CID_636411	1
tox21-ahr-p1	CID_11219835	1
tox21-ahr-p1	CID_33309	1
tox21-ahr-p1	CID_9909677	1
tox21-ahr-p1	CID_289	1
tox21-ahr-p1	CID_132916	1
tox21-ahr-p1	CID_33176	1
tox21-ahr-p1	CID_7579	1
tox21-ahr-p1	CID_8413	1
tox21-ahr-p1	CID_9570475	1
tox21-ahr-p1	CID_28871	1
tox21-ahr-p1	CID_8366	1
tox21-ahr-p1	CID_46781343	1
tox21-ahr-p1	CID_11443	1
tox21-ahr-p1	CID_456201	1
tox21-ahr-p1	CID_9831581	1
tox21-ahr-p1	CID_8341	1
tox21-ahr-p1	CID_4921	1
tox21-ahr-p1	CID_92942	1
tox21-ahr-p1	CID_2730	1
tox21-ahr-p1	CID_7567	1
tox21-ahr-p1	CID_992	1
tox21-ahr-p1	CID_3048355	1
tox21-ahr-p1	CID_7340	1
tox21-ahr-p1	CID_26041	1
tox21-ahr-p1	CID_3033151	1
tox21-ahr-p1	CID_5282367	1
tox21-ahr-p1	CID_5311454	1
