condition_concept_name	organ_type
Anaemia	
Aplasia pure red cell	
Disseminated intravascular coagulation	
Jaundice	
Febrile neutropenia	
Arrhythmia	Cardiac
Bradycardia	Cardiac
Tachycardia	Cardiac
Atrial fibrillation	Cardiac
Cardiac arrest	Cardiac
Cardio-respiratory arrest	
Sudden death	
Ventricular fibrillation	Cardiac
Dizziness	
Dizziness postural	
Presyncope	
Syncope	
Dyspnoea	
Dyspnoea at rest	
Dyspnoea exertional	
Mitral valve incompetence	
Coronary artery disease	
Acute myocardial infarction	Cardiac
Angina pectoris	
Angina unstable	
Chest pain	
Myocardial infarction	Cardiac
Oedema peripheral	
Cardiac failure	Cardiac
Cardiomyopathy	Cardiac
Deafness	
Hearing impaired	
Tinnitus	
Vertigo	
Diabetes mellitus	
Hypoglycaemia	
Diabetes mellitus non-insulin-dependent	
Eye disorder	
Glaucoma	
Eye irritation	
Eye movement disorder	
Miosis	
Photophobia	
Macular degeneration	
Retinal haemorrhage	
Vision blurred	
Visual impairment	
Haematemesis	
Melaena	
Dysentery	
Gastritis	
Diarrhoea	
Constipation	
Abdominal pain	
Abdominal pain upper	
Dysphagia	
Faecal incontinence	
Nausea	
Retching	
Vomiting	
Gastric ulcer haemorrhage	
Gastrointestinal carcinoma	
Pancreatic carcinoma	
Hypoaesthesia oral	
Tongue biting	
Stomach discomfort	
Hyperthermia	
Hyperpyrexia	
Pyrexia	
Death	
Asthenia	
Fatigue	
Lethargy	
Malaise	
Feeling abnormal	
Feeling drunk	
Peripheral coldness	
Abasia	
Gait disturbance	
Developmental delay	
General physical health deterioration	
Irritability	
Local swelling	
Mobility decreased	
Multi-organ failure	
Pallor	
Swelling	
Terminal state	
Unevaluable event	
Inflammation	
Polyp	
Face oedema	
Pain	
Procedural pain	
Product quality issue	
Drug interaction	
Drug ineffective	
Prostration	
Hepatic function abnormal	Hepatic
Acute hepatic failure	Hepatic
Hepatitis fulminant	
Bronchospasm	
Dermatitis allergic	
Hypersensitivity	
Stevens-Johnson syndrome	
Dermatitis exfoliative	
Drug hypersensitivity	
Toxic epidermal necrolysis	
Anaphylactic shock	
Cellulitis	
Escherichia sepsis	
Staphylococcal infection	
Candidiasis	
Bronchitis	
Pneumonia	
Septic shock	
Rash pustular	
Urinary tract infection	
Influenza	
Limb injury	
Upper limb fracture	
Acute generalised exanthematous pustulosis	
Drug exposure during pregnancy	
Fall	
Injury	
Laceration	
Head injury	
Blister	
Drug dose omission	
Incorrect dose administered	
Wrong drug administered	
Wrong technique in drug usage process	
Overdose	
Iatrogenic injury	
Heart rate decreased	
Heart rate irregular	Cardiac
Blood pressure decreased	
Blood pressure increased	
Blood alkaline phosphatase increased	
Platelet count decreased	
Haemoglobin decreased	
Red blood cell count decreased	
Neutrophil count decreased	
White blood cell count increased	
Gamma-glutamyltransferase increased	
Blood glucose decreased	
Blood glucose increased	
Electroencephalogram abnormal	
Intraocular pressure increased	
Apgar score low	
Weight increased	
Blood creatinine increased	
Blood urea increased	
Urine output decreased	
Blood calcium decreased	
Blood potassium decreased	
Blood sodium decreased	
Metabolic acidosis	
Respiratory failure	
Anorexia	
Eating disorder	
Osteoporosis	
Hyperkalaemia	
Hyponatraemia	
Fluid retention	
Spinal disorder	
Arthropathy	
Arthralgia	
Joint swelling	
Osteoarthritis	
Muscle spasms	
Hypertonia	
Hypotonia	
Muscular weakness	
Intervertebral disc protrusion	
Sciatica	
Scoliosis	
Back pain	
Musculoskeletal discomfort	
Neck pain	
Pain in extremity	
Musculoskeletal stiffness	
Sensation of heaviness	
Metastases to bone	
Cerebral haemorrhage	
Cerebral infarction	
Cerebral ischaemia	
Cerebral thrombosis	
Cerebrovascular accident	
Embolic stroke	
Haemorrhage intracranial	
Lacunar infarction	
Transient ischaemic attack	
Multiple sclerosis	
Headache	
Dementia Alzheimer's type	
Amnesia	
Memory impairment	
Cognitive disorder	
Disturbance in attention	
Hypokinesia	
Movement disorder	
Hemiparesis	
Hemiplegia	
Monoplegia	
Parkinson's disease	
Tremor	
Reflexes abnormal	
Balance disorder	
Coordination abnormal	
Coma	
Aphasia	
Apraxia	
Confusional state	
Depressed level of consciousness	
Loss of consciousness	
Somnolence	
Nervous system disorder	
Agitation	
Disorientation	
Head discomfort	
Restlessness	
Unresponsive to stimuli	
Paraesthesia	
Hypoaesthesia	
Sensory disturbance	
Dysarthria	
Dysphonia	
Speech disorder	
Urinary incontinence	
Convulsion neonatal	
Convulsion	
Epilepsy	
Insomnia	
Hypersomnia	
Sleep apnoea syndrome	
Cerebral atrophy	
Anxiety	
Nervousness	
Stress	
Depression	
Hallucination	
Hallucination, visual	
Affect lability	
Emotional disorder	
Apathy	
Aggression	
Abnormal behaviour	
Drug dependence	
Intentional drug misuse	
Erectile dysfunction	
Renal disorder	Renal
Renal failure	Renal
Renal failure acute	Renal
Renal impairment	Renal
Dysuria	
Diffuse alveolar damage	Pulmonary
Interstitial lung disease	Pulmonary
Acute respiratory distress syndrome	
Pleural fibrosis	
Pulmonary embolism	Pulmonary
Respiratory arrest	
Rales	
Lung disorder	Pulmonary
Nasal congestion	
Skin discolouration	
Dermatitis	
Erythema	
Rash erythematous	
Skin exfoliation	
Pruritus	
Rash	
Treatment noncompliance	
Knee arthroplasty	
Surgery	
Aortic arteriosclerosis	
Venous insufficiency	
Blood pressure fluctuation	
Shock	
Hypotension	
Haemorrhage	
Hypertensive crisis	
Hypertension	
Iron deficiency anaemia	
Normochromic normocytic anaemia	
Bone marrow failure	
Pancytopenia	
Haemorrhagic diathesis	
Increased tendency to bruise	
Petechiae	
Antiphospholipid syndrome	
Coagulopathy	
Hypercoagulation	
Leukocytoclastic vasculitis	
Purpura	
Bone marrow oedema	
