ACTIVITY	SET	Min_dist	Avg_dist
"COO_23A"	7.92	1	999.90	999.90
"COO_23E"	5.60	2	0.06	0.50
"COO_23J"	6.41	1	999.90	999.90
"COO_24A"	5.60	2	0.08	0.55
"COO_24C"	9.60	1	999.90	999.90
"COO_25A"	8.46	1	999.90	999.90
"COO_25E"	7.82	1	999.90	999.90
"COO_26A"	7.92	1	999.90	999.90
"COO_26C"	7.00	1	999.90	999.90
"COO_26H"	6.66	1	999.90	999.90
"MOL_01"	6.15	2	0.21	0.80
"MOL_02"	7.42	2	0.53	0.77
"MOL_03"	7.00	2	0.53	0.74
"MOL_04"	8.43	2	0.30	0.61
"MOL_05"	8.22	2	0.46	0.66
"MOL_06"	6.34	2	0.61	0.73
"MOL_07"	6.11	1	999.90	999.90
"MOL_08"	9.00	1	999.90	999.90
"MOL_09"	7.64	1	999.90	999.90
"MOL_10"	8.05	2	0.18	0.62
"MOL_11"	7.19	2	0.09	0.66
"MOL_12"	7.31	1	999.90	999.90
"MOL_13"	8.77	2	0.22	0.62
"MOL_14"	7.30	1	999.90	999.90
"MOL_15"	8.54	1	999.90	999.90
"MOL_16"	8.52	1	999.90	999.90
"MOL_17"	9.64	2	0.23	0.50
"MOL_18"	8.92	1	999.90	999.90
"MOL_19"	8.92	1	999.90	999.90
"MOL_20"	8.96	1	999.90	999.90
"MOL_21"	8.55	1	999.90	999.90
"MOL_22"	9.22	1	999.90	999.90
"MOL_23"	8.40	2	0.18	0.56
"MOL_24"	8.00	1	999.90	999.90
"MOL_25"	8.11	1	999.90	999.90
"MOL_26"	7.92	1	999.90	999.90
"MOL_27"	8.52	2	0.02	0.46
"MOL_28"	8.54	2	0.26	0.53
"MOL_29"	8.15	1	999.90	999.90
"MOL_30"	5.55	1	999.90	999.90
"MOL_31"	6.07	1	999.90	999.90
"MOL_32"	5.80	2	0.09	0.58
"MOL_33"	6.37	1	999.90	999.90
"MOL_34"	6.70	1	999.90	999.90
"MOL_35"	6.19	2	0.18	0.60
"MOL_36"	2.70	2	0.15	0.65
"MOL_37"	2.70	1	999.90	999.90
"MOL_38"	2.87	1	999.90	999.90
"MOL_39"	4.51	2	0.10	0.56
"MOL_40"	5.52	2	0.14	0.62
"MOL_41"	4.96	1	999.90	999.90
"MOL_42"	2.74	1	999.90	999.90
"MOL_43"	2.96	1	999.90	999.90
"MOL_44"	3.21	2	0.00	0.59
"MOL_45"	2.98	1	999.90	999.90
"MOL_46"	3.26	1	999.90	999.90
"MOL_47"	3.35	1	999.90	999.90
"MOL_48"	3.64	2	0.10	0.57
"MOL_49"	3.38	1	999.90	999.90
"MOL_50"	3.89	1	999.90	999.90
"MOL_51"	3.22	1	999.90	999.90
"MOL_52"	3.72	1	999.90	999.90
"MOL_53"	4.28	1	999.90	999.90
"MOL_54"	3.03	2	0.05	0.54
"MOL_55"	3.62	2	0.23	0.65
"MOL_56"	4.77	1	999.90	999.90
"MOL_57"	2.96	1	999.90	999.90
"MOL_58"	3.62	2	0.16	0.60
"MOL_59"	3.19	1	999.90	999.90
"MOL_60"	5.62	2	0.18	0.75
"MOL_61"	4.41	2	0.06	0.58
"MOL_62"	6.15	2	0.50	0.72
"MOL_63"	3.48	1	999.90	999.90
"MOL_64"	4.99	2	0.03	0.50
"MOL_65"	5.31	1	999.90	999.90
"MOL_66"	5.62	1	999.90	999.90
"MOL_67"	5.08	2	0.18	0.58
"MOL_68"	4.32	1	999.90	999.90
"SQ29852"	7.44	1	999.90	999.90
"SQ29852_2A"	8.49	2	0.00	0.52
"SQ29852_2B"	9.31	1	999.90	999.90
"SQ29852_2E"	8.97	1	999.90	999.90
"SQ29852_2G"	9.54	2	0.24	0.64
"SQ29852_2H"	9.94	2	0.24	0.64
"SQ29852_2I"	9.53	1	999.90	999.90
"SQ29852_2K"	9.53	1	999.90	999.90
"SQ29852_2P"	6.47	2	0.00	0.52
"SQ29852_2Q"	9.88	1	999.90	999.90
"SQ29852_2R"	9.05	1	999.90	999.90
"SQ29852_2S"	9.11	2	0.00	0.52
"SQ29852_2T"	9.28	1	999.90	999.90
"SQ29852_2U"	9.28	1	999.90	999.90
"SQ29852_2V"	8.72	1	999.90	999.90
"SQ29852_2W"	8.59	1	999.90	999.90
"SQ29852_2X"	9.20	1	999.90	999.90
"SQ29852_2Y"	9.06	1	999.90	999.90
"SQ29852_2Z"	7.80	1	999.90	999.90
"THIOL_10"	4.17	1	999.90	999.90
"THIOL_12"	3.59	2	0.05	0.61
"THIOL_14"	3.64	1	999.90	999.90
"THIOL_18"	6.12	1	999.90	999.90
"THIOL_2"	2.46	1	999.90	999.90
"THIOL_20A"	7.19	1	999.90	999.90
"THIOL_20B"	6.44	1	999.90	999.90
"THIOL_22"	4.42	2	0.04	0.56
"THIOL_27"	5.34	1	999.90	999.90
"THIOL_28"	3.00	2	0.00	0.56
"THIOL_30A"	7.46	1	999.90	999.90
"THIOL_30B"	4.48	1	999.90	999.90
"THIOL_4"	4.11	1	999.90	999.90
"THIOL_5"	4.72	1	999.90	999.90
"THIOL_7A"	5.10	1	999.90	999.90
"THIOL_7B"	3.27	1	999.90	999.90
"THIOL_9"	2.14	1	999.90	999.90
