ACTIVITY	SET	Min_dist	Avg_dist
"1-1"	6.25	1	999.90	999.90
"1-10"	7.52	1	999.90	999.90
"1-11"	4.57	2	0.17	0.57
"1-12"	5.52	1	999.90	999.90
"1-13"	7.90	1	999.90	999.90
"1-14"	6.36	1	999.90	999.90
"1-15"	6.62	1	999.90	999.90
"1-16"	5.17	1	999.90	999.90
"1-17"	8.06	2	0.07	0.47
"1-18"	8.55	1	999.90	999.90
"1-19"	8.92	1	999.90	999.90
"1-2"	6.77	1	999.90	999.90
"1-20"	8.10	1	999.90	999.90
"1-21"	8.66	2	0.20	0.45
"1-22"	8.62	2	0.16	0.48
"1-23"	8.05	2	0.12	0.52
"1-24"	7.96	1	999.90	999.90
"1-25"	6.47	2	0.08	0.49
"1-26"	7.89	2	0.17	0.52
"1-29"	5.96	1	999.90	999.90
"1-31A"	6.00	1	999.90	999.90
"1-31B"	7.77	1	999.90	999.90
"1-31C"	5.80	2	0.17	0.49
"1-31D"	7.64	2	0.09	0.45
"1-34"	5.92	2	0.18	0.55
"1-35"	6.10	1	999.90	999.90
"1-37"	8.38	1	999.90	999.90
"1-38"	7.89	2	0.13	0.51
"1-39"	8.35	2	0.07	0.53
"1-3A"	7.46	1	999.90	999.90
"1-3B"	6.23	1	999.90	999.90
"1-3C"	7.74	1	999.90	999.90
"1-3D"	8.27	1	999.90	999.90
"1-3E"	7.19	2	0.09	0.41
"1-3F"	5.03	1	999.90	999.90
"1-3G"	7.28	1	999.90	999.90
"1-3H"	6.08	1	999.90	999.90
"1-3I"	7.34	1	999.90	999.90
"1-3J"	6.15	2	0.11	0.41
"1-3K"	7.19	2	0.09	0.43
"1-3L"	6.69	1	999.90	999.90
"1-3M"	4.92	1	999.90	999.90
"1-3N"	6.97	1	999.90	999.90
"1-3O"	6.18	2	0.09	0.39
"1-40"	6.57	2	0.19	0.45
"1-9"	7.01	1	999.90	999.90
"2-12"	4.34	1	999.90	999.90
"2-14"	6.89	1	999.90	999.90
"2-15"	6.03	1	999.90	999.90
"2-21"	9.22	1	999.90	999.90
"2-22"	9.52	1	999.90	999.90
"2-23"	9.22	2	0.07	0.46
"2-24"	4.59	1	999.90	999.90
"2-25"	6.11	1	999.90	999.90
"2-26"	6.84	1	999.90	999.90
"2-27"	4.39	1	999.90	999.90
"2-28"	4.85	1	999.90	999.90
"2-29"	6.43	2	0.08	0.43
"2-30"	5.48	1	999.90	999.90
"2-31"	4.89	2	0.10	0.40
"2-32"	4.27	2	0.19	0.47
"2-33"	4.28	1	999.90	999.90
"2-34"	4.42	1	999.90	999.90
"2-35"	6.39	1	999.90	999.90
"2-36"	4.62	2	0.08	0.40
"2-3B"	6.00	2	0.11	0.41
"2-3C"	6.33	1	999.90	999.90
"2-3D"	6.74	1	999.90	999.90
"2-3E"	6.06	2	0.10	0.45
"2-3F"	6.64	1	999.90	999.90
"2-3G"	7.26	1	999.90	999.90
"2-3H"	7.06	2	0.11	0.39
"2-3I"	6.92	1	999.90	999.90
"2-3J"	6.74	1	999.90	999.90
"2-3K"	7.07	1	999.90	999.90
"2-3L"	7.29	1	999.90	999.90
"2-3M"	7.54	1	999.90	999.90
"2-3N"	6.10	1	999.90	999.90
"2-3O"	7.16	2	0.09	0.41
"2-3P"	7.41	1	999.90	999.90
"2-3R"	5.80	1	999.90	999.90
"2-9"	6.28	2	0.29	0.48
"3-12A"	7.89	2	0.13	0.51
"3-13A"	4.30	2	0.12	0.48
"3-13B"	5.27	2	0.16	0.58
"3-13C"	5.68	1	999.90	999.90
"3-13D"	4.82	1	999.90	999.90
"3-13E_E2020"	8.24	1	999.90	999.90
"3-13F"	7.09	2	0.03	0.45
"3-13G"	8.19	1	999.90	999.90
"3-13H"	7.92	1	999.90	999.90
"3-13I"	7.07	1	999.90	999.90
"3-13J"	7.60	1	999.90	999.90
"3-13K"	7.44	1	999.90	999.90
"3-13L"	7.70	1	999.90	999.90
"3-13M"	7.89	2	0.02	0.50
"3-13N"	5.48	1	999.90	999.90
"3-13O"	7.52	1	999.90	999.90
"3-15A"	6.32	1	999.90	999.90
"3-15B"	7.03	2	0.15	0.55
"3-16A"	8.00	1	999.90	999.90
"3-16B"	8.70	1	999.90	999.90
"3-16C"	7.40	1	999.90	999.90
"3-16D"	6.80	1	999.90	999.90
"3-16E"	8.40	2	0.11	0.51
"3-16F"	7.00	1	999.90	999.90
"3-16G"	8.05	1	999.90	999.90
"3-16H"	6.74	2	0.13	0.48
"3-17"	6.52	2	0.16	0.52
"3-18"	5.36	2	0.28	0.55
"3-9"	6.82	1	999.90	999.90
