ACTIVITY	SET	Min_dist	Avg_dist
"ADINAZOLAM"	6.87	1	999.90	999.90
"ALPHA-HYDROXYMIDAZOLAM"	8.35	2	0.08	0.47
"ALPHA-HYDROXYTRIAZOLAM"	8.38	2	0.11	0.52
"ALPRAZOLAM"	7.70	1	999.90	999.90
"BROMAZEPAM"	7.74	2	0.10	0.44
"CHLORDIAZEPOXIDE"	6.45	2	0.44	0.59
"CLOBAZAM"	6.89	2	0.07	0.63
"CLONAZEPAM"	8.74	1	999.90	999.90
"CLORAZEPATE"	7.23	2	0.18	0.50
"DELORAZEPAM"	8.74	1	999.90	999.90
"DEMOXEPAM"	6.51	2	0.21	0.47
"DESMETHYLCLOBAZAM"	6.68	1	999.90	999.90
"DESMETHYLTETRAZEPAM"	7.47	1	999.90	999.90
"DIAZEPAM"	8.09	1	999.90	999.90
"ESTAZOLAM"	8.07	1	999.90	999.90
"ETIZOLAM"	8.51	1	999.90	999.90
"FLUNITRAZEPAM"	8.42	1	999.90	999.90
"HALAZEPAM"	7.04	1	999.90	999.90
"LORAZEPAM"	8.46	2	0.06	0.44
"MECLONAZEPAM"	8.92	1	999.90	999.90
"MEDAZEPAM"	6.06	2	0.15	0.46
"MIDAZOLAM"	8.32	1	999.90	999.90
"NITRAZEPAM"	8.00	2	0.10	0.47
"NORDAZEPAM"	8.03	1	999.90	999.90
"OXAZEPAM"	7.74	1	999.90	999.90
"PINAZEPAM"	7.03	1	999.90	999.90
"PRAZEPAM"	6.96	2	0.14	0.47
"PREMAZEPAM"	6.77	2	0.23	0.47
"RO05-2181"	5.00	3	0.23	0.50
"RO05-2750"	7.43	2	0.04	0.45
"RO05-2881"	5.00	3	0.22	0.50
"RO05-2904"	7.89	1	999.90	999.90
"RO05-2921"	6.46	1	999.90	999.90
"RO05-3061"	7.40	1	999.90	999.90
"RO05-3072"	6.41	1	999.90	999.90
"RO05-3308"	5.00	3	0.19	0.50
"RO05-3328"	7.06	2	0.07	0.45
"RO05-3343"	5.00	3	0.30	0.52
"RO05-3395"	5.00	3	0.24	0.54
"RO05-3546"	6.49	1	999.90	999.90
"RO05-3590"	8.46	1	999.90	999.90
"RO05-3636"	5.00	3	0.30	0.54
"RO05-3663"	5.00	3	0.12	0.51
"RO05-4318"	6.34	1	999.90	999.90
"RO05-4336"	7.68	1	999.90	999.90
"RO05-4435"	8.82	1	999.90	999.90
"RO05-4520"	7.85	1	999.90	999.90
"RO05-4528"	6.42	1	999.90	999.90
"RO05-4619"	7.12	1	999.90	999.90
"RO05-4865"	7.77	1	999.90	999.90
"RO05-6820"	8.13	1	999.90	999.90
"RO05-6822"	8.29	1	999.90	999.90
"RO05-7094"	5.00	3	0.25	0.52
"RO05-9090"	5.00	3	0.08	0.45
"RO06-7263"	7.31	1	999.90	999.90
"RO06-9098"	6.37	2	0.23	0.52
"RO07-1986"	8.08	1	999.90	999.90
"RO07-2750"	7.61	1	999.90	999.90
"RO07-3953"	8.80	1	999.90	999.90
"RO07-4065"	8.39	1	999.90	999.90
"RO07-4419"	7.72	1	999.90	999.90
"RO07-4532"	5.00	3	0.13	0.47
"RO07-5096"	5.00	3	0.07	0.46
"RO07-6198"	7.55	1	999.90	999.90
"RO08-6739"	7.15	1	999.90	999.90
"RO08-9212"	8.41	2	0.08	0.48
"RO10-2643"	8.03	2	0.22	0.48
"RO10-3580"	6.85	2	0.12	0.49
"RO11-1465"	8.85	2	0.05	0.55
"RO11-4878"	8.46	1	999.90	999.90
"RO11-5073"	8.48	2	0.10	0.52
"RO11-6679"	8.40	1	999.90	999.90
"RO11-6896"	8.15	2	0.10	0.49
"RO11-7800"	8.54	1	999.90	999.90
"RO11-8125"	7.43	1	999.90	999.90
"RO12-6377"	6.34	2	0.20	0.50
"RO13-0593"	7.14	1	999.90	999.90
"RO13-0699"	6.82	1	999.90	999.90
"RO13-0882"	6.52	2	0.04	0.44
"RO13-9868"	7.38	1	999.90	999.90
"RO14-0304"	8.19	1	999.90	999.90
"RO14-0609"	7.61	2	0.19	0.62
"RO14-1359"	7.15	2	0.21	0.51
"RO14-2312"	5.00	3	0.10	0.46
"RO14-2652"	8.25	2	0.11	0.59
"RO14-3074"	8.28	2	0.15	0.46
"RO14-3930"	7.82	2	0.13	0.52
"RO14-5568"	6.64	2	0.21	0.52
"RO14-5921"	7.72	1	999.90	999.90
"RO14-5974"	8.19	1	999.90	999.90
"RO14-5975"	7.21	1	999.90	999.90
"RO14-7181"	5.00	3	0.22	0.57
"RO14-7187"	6.39	2	0.10	0.65
"RO14-7437"	8.52	1	999.90	999.90
"RO15-0791"	8.60	1	999.90	999.90
"RO15-1310"	8.17	2	0.05	0.55
"RO15-1746"	5.00	3	0.04	0.55
"RO15-2200"	8.38	1	999.90	999.90
"RO15-2201"	8.82	2	0.08	0.55
"RO15-2427"	5.00	3	0.22	0.58
"RO15-3237"	5.00	3	0.09	0.56
"RO15-3505"	8.57	1	999.90	999.90
"RO15-3929"	7.80	1	999.90	999.90
"RO15-4941"	8.77	2	0.03	0.54
"RO15-8670"	7.82	1	999.90	999.90
"RO15-8852"	6.14	2	0.27	0.54
"RO15-8867"	7.60	1	999.90	999.90
"RO15-9270"	8.30	2	0.18	0.61
"RO16-0071"	8.49	1	999.90	999.90
"RO16-0529"	7.85	2	0.13	0.51
"RO16-3031"	8.60	1	999.90	999.90
"RO16-3607"	7.34	1	999.90	999.90
"RO16-3774"	8.49	1	999.90	999.90
"RO16-4019"	8.85	1	999.90	999.90
"RO16-4234"	5.52	2	0.15	0.56
"RO16-4261"	8.11	1	999.90	999.90
"RO16-5824"	8.47	1	999.90	999.90
"RO16-6048"	8.48	1	999.90	999.90
"RO16-6127"	8.51	1	999.90	999.90
"RO16-6624"	8.00	1	999.90	999.90
"RO16-6654"	8.40	1	999.90	999.90
"RO16-6950"	8.55	2	0.13	0.59
"RO16-7082"	8.20	1	999.90	999.90
"RO16-7083"	8.54	1	999.90	999.90
"RO16-8912"	8.21	1	999.90	999.90
"RO16-9906"	8.77	2	0.03	0.56
"RO16-9918"	8.64	1	999.90	999.90
"RO17-1302"	8.28	1	999.90	999.90
"RO17-2221"	6.59	1	999.90	999.90
"RO17-4582"	8.46	1	999.90	999.90
"RO17-9741"	8.62	1	999.90	999.90
"RO20-1310"	6.21	2	0.09	0.44
"RO20-1815"	7.19	1	999.90	999.90
"RO20-2533"	7.44	1	999.90	999.90
"RO20-2541"	7.52	2	0.08	0.43
"RO20-3053"	7.74	2	0.16	0.43
"RO20-5397"	7.37	1	999.90	999.90
"RO20-5747"	7.62	1	999.90	999.90
"RO20-7078"	8.28	1	999.90	999.90
"RO20-7736"	7.02	1	999.90	999.90
"RO20-8065"	8.44	1	999.90	999.90
"RO20-8552"	7.85	1	999.90	999.90
"RO20-8895"	7.72	1	999.90	999.90
"RO21-5205"	8.13	1	999.90	999.90
"RO21-8137"	8.46	1	999.90	999.90
"RO21-8482"	7.59	2	0.14	0.52
"RO22-0780"	7.96	1	999.90	999.90
"RO22-0992"	7.89	1	999.90	999.90
"RO22-1251"	7.96	1	999.90	999.90
"RO22-1274"	7.12	2	0.29	0.57
"RO22-1366"	8.40	1	999.90	999.90
"RO22-1892"	7.92	2	0.18	0.53
"RO22-2038"	8.55	2	0.06	0.53
"RO22-2466"	8.72	2	0.08	0.52
"RO22-3147"	8.28	1	999.90	999.90
"RO22-3148"	6.38	1	999.90	999.90
"RO22-3245"	8.55	1	999.90	999.90
"RO22-4683"	6.52	2	0.07	0.47
"RO22-6762"	7.40	1	999.90	999.90
"TEMAZEPAM"	7.80	1	999.90	999.90
"TETRAZEPAM"	7.47	2	0.13	0.47
"TRIAZOLAM"	8.40	1	999.90	999.90
"U-35005"	8.37	1	999.90	999.90
