ACTIVITY	SET	Min_dist	Avg_dist
"1-1"	7.22	1	999.90	999.90
"1-10"	4.00	3	0.08	0.51
"1-16"	4.00	3	0.17	0.53
"1-17"	4.00	3	0.19	0.56
"1-19"	4.00	3	0.21	0.51
"1-20"	7.85	2	0.17	0.53
"1-21"	4.00	3	0.28	0.57
"1-22"	4.00	3	0.28	0.57
"1-27"	4.00	3	0.10	0.48
"1-28"	6.92	1	999.90	999.90
"1-29"	5.79	1	999.90	999.90
"1-3"	6.29	1	999.90	999.90
"1-31"	7.22	2	0.32	0.60
"1-32"	5.49	2	0.10	0.54
"1-33"	6.12	2	0.24	0.55
"1-34"	7.70	2	0.10	0.51
"1-37"	6.33	2	0.22	0.59
"1-38"	5.41	1	999.90	999.90
"1-4"	4.99	2	0.12	0.53
"1-41"	5.84	1	999.90	999.90
"1-42"	6.85	2	0.11	0.53
"1-5"	7.22	1	999.90	999.90
"1-6"	7.10	1	999.90	999.90
"1-8"	5.54	2	0.12	0.54
"1-9"	6.60	1	999.90	999.90
"10-2"	8.30	1	999.90	999.90
"10-3"	6.74	2	0.17	0.63
"11-10"	7.64	1	999.90	999.90
"11-13"	7.64	1	999.90	999.90
"11-14"	6.96	1	999.90	999.90
"11-16"	6.46	2	0.11	0.59
"11-21"	7.30	1	999.90	999.90
"11-24"	7.68	1	999.90	999.90
"11-25"	6.37	1	999.90	999.90
"11-26"	5.80	1	999.90	999.90
"11-29"	8.00	2	0.03	0.57
"11-30"	7.80	1	999.90	999.90
"11-31"	4.00	3	0.04	0.57
"11-32"	7.68	1	999.90	999.90
"11-33"	7.24	1	999.90	999.90
"11-34"	7.10	2	0.08	0.64
"11-8"	6.92	1	999.90	999.90
"12-10B"	5.61	2	0.13	0.58
"12-10C"	7.55	2	0.14	0.57
"12-3A"	7.89	1	999.90	999.90
"12-5A"	7.42	1	999.90	999.90
"12-5B"	8.30	1	999.90	999.90
"13-10"	7.48	1	999.90	999.90
"13-4"	4.00	3	0.31	0.56
"13-5"	4.00	3	0.16	0.52
"13-6A"	4.00	3	0.22	0.56
