ACTIVITY	SET	Min_dist	Avg_dist
"1-107146"	9.44	1	999.90	999.90
"1-117356"	8.21	1	999.90	999.90
"1-122870"	9.81	1	999.90	999.90
"1-127977"	3.30	3	0.04	0.60
"1-131463"	6.96	1	999.90	999.90
"1-137545"	7.42	2	0.11	0.52
"1-144698"	8.81	1	999.90	999.90
"1-152737"	8.96	2	0.15	0.59
"1-184692"	8.44	2	0.06	0.59
"1-232965"	3.61	1	999.90	999.90
"1-233903"	3.66	1	999.90	999.90
"1-233904"	6.08	1	999.90	999.90
"1-233910"	6.77	2	0.15	0.53
"1-233912"	4.89	2	0.11	0.55
"1-235776"	3.30	3	0.03	0.49
"1-235777"	5.90	1	999.90	999.90
"1-235791"	7.12	1	999.90	999.90
"1-236642"	3.30	3	0.08	0.52
"1-241522"	6.32	2	0.13	0.55
"1-351521"	8.82	2	0.33	0.55
"1-98535"	7.77	1	999.90	999.90
"1-TRIMETREXATE"	8.52	2	0.13	0.46
"10-11A"	6.36	1	999.90	999.90
"10-12A"	7.16	2	0.09	0.47
"10-17A"	3.30	3	0.17	0.56
"10-18A"	4.39	1	999.90	999.90
"10-18B"	3.30	3	0.22	0.55
"10-18C"	5.07	2	0.28	0.57
"10-18D"	3.30	3	0.30	0.62
"10-1A"	6.38	2	0.12	0.60
"10-2B"	5.41	1	999.90	999.90
"10-2C"	6.64	2	0.10	0.58
"10-2D"	5.15	2	0.23	0.61
"10-3A"	7.59	2	0.08	0.59
"10-4A"	6.38	1	999.90	999.90
"10-5A"	6.30	1	999.90	999.90
"10-6A"	6.46	1	999.90	999.90
"11-AH2503"	5.66	2	0.11	0.63
"11-AH2504"	6.39	2	0.28	0.59
"11-GR92754"	6.49	1	999.90	999.90
"12-4A"	5.36	1	999.90	999.90
"12-4B"	5.29	1	999.90	999.90
"12-4C"	7.57	1	999.90	999.90
"12-4D"	4.89	1	999.90	999.90
"12-4E"	6.70	2	0.09	0.61
"12-4G"	5.40	2	0.06	0.51
"13-10"	7.92	1	999.90	999.90
"13-11"	7.55	2	0.09	0.50
"13-14"	8.22	1	999.90	999.90
"13-17"	7.42	1	999.90	999.90
"14-10"	7.49	1	999.90	999.90
"14-22"	7.38	1	999.90	999.90
"14-28"	7.36	1	999.90	999.90
"14-29"	8.23	1	999.90	999.90
"14-5"	6.37	1	999.90	999.90
"14-8"	7.66	1	999.90	999.90
"14-9"	7.17	1	999.90	999.90
"15-10"	6.72	1	999.90	999.90
"15-11"	7.59	1	999.90	999.90
"15-12"	8.09	2	0.08	0.47
"15-13"	7.37	1	999.90	999.90
"15-14"	7.72	1	999.90	999.90
"15-15"	7.77	1	999.90	999.90
"15-3"	5.96	1	999.90	999.90
"15-4"	6.08	1	999.90	999.90
"15-5"	5.92	1	999.90	999.90
"15-6"	6.05	1	999.90	999.90
"15-7"	5.89	1	999.90	999.90
"16-10"	4.37	1	999.90	999.90
"16-11"	6.48	1	999.90	999.90
"16-12"	5.55	1	999.90	999.90
"16-8A"	6.03	2	0.22	0.65
"16-9A"	8.01	2	0.06	0.51
"18-3"	6.72	2	0.18	0.53
"18-4"	7.28	2	0.13	0.55
"18-5"	5.82	2	0.38	0.60
"18-6"	7.72	2	0.38	0.60
"19-1"	6.54	1	999.90	999.90
"19-10"	7.47	2	0.07	0.55
"19-11"	6.62	1	999.90	999.90
"19-12"	6.96	1	999.90	999.90
"19-13"	6.89	1	999.90	999.90
"19-14"	7.17	1	999.90	999.90
"19-15"	6.64	1	999.90	999.90
"19-19"	6.86	1	999.90	999.90
"19-2"	7.42	1	999.90	999.90
"19-20"	7.33	1	999.90	999.90
"19-3"	7.13	2	0.08	0.55
"19-4"	6.25	2	0.03	0.52
"19-5"	6.59	1	999.90	999.90
"19-6"	7.15	1	999.90	999.90
"19-7"	5.83	1	999.90	999.90
"19-8"	6.94	1	999.90	999.90
"19-9"	6.82	1	999.90	999.90
"20-5A"	6.74	1	999.90	999.90
"20-5B"	6.96	2	0.10	0.62
"20-5C"	6.96	1	999.90	999.90
"20-5D"	6.92	1	999.90	999.90
"20-5E"	6.96	1	999.90	999.90
"20-5F"	7.11	1	999.90	999.90
"20-5G"	6.72	1	999.90	999.90
"20-5H"	7.10	2	0.05	0.60
"20-5I"	6.77	1	999.90	999.90
"20-5J"	7.47	1	999.90	999.90
"20-5K"	7.20	1	999.90	999.90
"20-5M"	5.14	1	999.90	999.90
"20-9A"	5.52	1	999.90	999.90
"20-9B"	7.19	1	999.90	999.90
"20-9C"	5.72	2	0.15	0.63
"21-10"	7.14	1	999.90	999.90
"21-11"	7.74	1	999.90	999.90
"21-12"	6.85	1	999.90	999.90
"21-13"	6.92	1	999.90	999.90
"21-14"	6.85	1	999.90	999.90
"21-15"	6.49	1	999.90	999.90
"21-16"	7.80	1	999.90	999.90
"21-18"	7.30	1	999.90	999.90
"21-19"	7.22	1	999.90	999.90
"21-20"	8.57	2	0.07	0.47
"21-21"	7.06	1	999.90	999.90
"21-22"	7.24	1	999.90	999.90
"21-23"	6.70	1	999.90	999.90
"21-24"	7.33	2	0.06	0.50
"21-27"	7.27	1	999.90	999.90
"21-3"	6.28	2	0.03	0.56
"21-34"	6.80	1	999.90	999.90
