ACTIVITY	SET	Min_dist	Avg_dist
"1"	2.80	1	999.90	999.90
"10"	1.70	1	999.90	999.90
"11"	1.80	1	999.90	999.90
"12"	2.30	2	0.14	0.49
"13"	2.40	1	999.90	999.90
"14"	1.50	1	999.90	999.90
"15"	1.80	2	0.00	0.39
"16"	2.30	1	999.90	999.90
"17"	2.00	2	0.12	0.47
"18"	2.10	1	999.90	999.90
"19"	1.80	2	0.13	0.46
"2"	1.30	1	999.90	999.90
"20"	3.40	1	999.90	999.90
"21"	2.70	1	999.90	999.90
"22"	3.00	2	0.09	0.42
"23"	2.10	2	0.27	0.53
"24"	2.60	1	999.90	999.90
"25"	2.50	1	999.90	999.90
"26"	1.70	1	999.90	999.90
"27"	3.40	1	999.90	999.90
"28"	1.90	1	999.90	999.90
"29"	1.40	2	0.00	0.38
"3"	1.90	1	999.90	999.90
"30"	2.30	1	999.90	999.90
"31"	1.60	1	999.90	999.90
"32"	3.70	1	999.90	999.90
"33"	2.60	2	0.00	0.40
"34"	3.70	1	999.90	999.90
"35"	3.40	1	999.90	999.90
"36"	4.40	1	999.90	999.90
"37"	4.50	1	999.90	999.90
"38"	4.40	1	999.90	999.90
"39"	4.40	1	999.90	999.90
"4"	1.60	1	999.90	999.90
"40"	4.10	2	0.15	0.47
"41"	4.00	1	999.90	999.90
"42"	3.90	2	0.15	0.47
"43"	3.40	1	999.90	999.90
"44"	2.30	1	999.90	999.90
"45"	4.80	1	999.90	999.90
"46"	3.50	2	0.16	0.52
"47"	3.00	2	0.12	0.49
"48"	2.70	2	0.14	0.46
"49"	2.60	1	999.90	999.90
"5"	1.60	1	999.90	999.90
"50"	2.40	1	999.90	999.90
"51"	2.40	1	999.90	999.90
"52"	1.70	2	0.12	0.57
"53"	2.10	1	999.90	999.90
"54"	2.90	2	0.12	0.42
"55"	2.60	2	0.00	0.56
"56"	5.50	1	999.90	999.90
"57"	6.80	2	0.14	0.59
"58"	4.20	1	999.90	999.90
"59"	2.10	1	999.90	999.90
"6"	1.60	1	999.90	999.90
"60"	2.10	1	999.90	999.90
"61"	1.80	1	999.90	999.90
"62"	1.80	2	0.00	0.43
"63"	1.60	2	0.27	0.50
"64"	4.10	1	999.90	999.90
"65"	3.30	2	0.22	0.59
"66"	4.40	2	0.12	0.59
"7"	1.80	1	999.90	999.90
"8"	2.10	2	0.14	0.49
"9"	2.80	1	999.90	999.90
