ACTIVITY	SET	Min_dist	Avg_dist
"ACE_OHLEU_AGNH2_MIN"	2.47	1	999.90	999.90
"BZSAG_MIN"	6.12	1	999.90	999.90
"C6PCLTNME_MIN"	7.28	2	0.00	0.42
"C6PLTNME_MIN"	8.82	1	999.90	999.90
"C6POLTNME_MIN"	5.84	1	999.90	999.90
"CBZPHE_MIN"	3.29	2	0.11	0.33
"CH3COCH2CO_FAGNH2_MIN"	2.51	1	999.90	999.90
"CH3O2S_FAGNH2_MIN"	0.52	2	0.24	0.48
"CHO_OHLEU_AGNH2_MIN"	2.47	1	999.90	999.90
"CLTZNCRYS_MIN"	7.47	1	999.90	999.90
"DAH50_MIN"	7.96	1	999.90	999.90
"DAH51_MIN"	6.22	1	999.90	999.90
"DAH52_MIN"	5.55	1	999.90	999.90
"DAH53_MIN"	6.66	1	999.90	999.90
"DAH54_MIN"	5.77	2	0.14	0.38
"DAH55_MIN"	2.42	2	0.02	0.33
"HOCH2CO_FAGNH2_MIN"	2.54	2	0.08	0.36
"NHOHBZMAGNA_MIN"	6.37	2	0.17	0.48
"NHOHBZMAGNH2_MIN"	6.18	1	999.90	999.90
"NHOHBZMAGOH_MIN"	6.18	1	999.90	999.90
"NHOHBZMOET_MIN"	4.70	2	0.42	0.57
"NHOHIBMAGNH2_MIN"	6.32	2	0.11	0.49
"NHOHLEU_MIN"	3.72	2	0.40	0.64
"NHOHMALAGNH2_MIN"	2.96	1	999.90	999.90
"OHBZMAGNH2_MIN"	3.38	1	999.90	999.90
"PAAOH_MIN"	4.06	1	999.90	999.90
"PHOSPHORAMIDON_MIN"	7.55	2	0.34	0.56
"PLEUNH2_MIN"	4.10	2	0.26	0.60
"PLFOH_MIN"	7.72	2	0.00	0.32
"PNHET_MIN"	0.52	2	0.89	0.93
"PO3_FAGNH2_MIN"	5.59	1	999.90	999.90
"PPHEOH_MIN"	4.14	1	999.90	999.90
"PPPHE_MIN"	2.79	1	999.90	999.90
"P_ILE_AOH_MIN"	6.44	2	0.20	0.45
"P_OPHE_OME_LEUNH2_MIN"	0.52	1	999.90	999.90
"R_THIORPHAN_MIN"	5.64	2	0.18	0.46
"S02P_FAGNH2_MIN"	5.16	2	0.06	0.39
"SO3_FAGNH2_MIN"	2.37	2	0.20	0.45
"S_THIORPHAN_MIN"	5.74	2	0.12	0.41
"ZALA_MIN"	6.07	1	999.90	999.90
"ZAPOLA_MIN"	5.74	1	999.90	999.90
"ZFGNH2_MIN"	3.46	1	999.90	999.90
"ZFPLAZNCRYS_MIN"	10.17	2	0.00	0.24
"ZFPOLA_MIN"	7.35	1	999.90	999.90
"ZGGLNHOH_MIN"	4.41	1	999.90	999.90
"ZGGNHOH_MIN"	3.03	2	0.15	0.41
"ZGG_D_LNHOH_MIN"	3.60	1	999.90	999.90
"ZGLNH2_MIN"	1.68	1	999.90	999.90
"ZGLNHOH_MIN"	4.89	1	999.90	999.90
"ZGLNMEOH_MIN"	2.65	1	999.90	999.90
"ZGLY_MIN"	6.39	1	999.90	999.90
"ZGPCLA_MIN"	7.73	1	999.90	999.90
"ZGPCLF_MIN"	7.18	1	999.90	999.90
"ZGPCLG_MIN"	6.52	1	999.90	999.90
"ZGPCLLZNCRYS_MIN"	6.74	1	999.90	999.90
"ZGPCLNH2_MIN"	5.85	2	0.08	0.37
"ZGPLA_MIN"	7.78	1	999.90	999.90
"ZGPLF_MIN"	7.12	1	999.90	999.90
"ZGPLG_MIN"	6.57	1	999.90	999.90
"ZGPLLZNCRYS_MIN"	8.04	1	999.90	999.90
"ZGPLNH2_MIN"	6.12	1	999.90	999.90
"ZGPOLA_MIN"	4.89	1	999.90	999.90
"ZGPOLF_MIN"	4.27	1	999.90	999.90
"ZGPOLG_MIN"	3.64	1	999.90	999.90
"ZGPOLLZNCRYS_MIN"	5.05	1	999.90	999.90
"ZGPOLNH2_MIN"	3.18	1	999.90	999.90
"ZG_D_LNHOH_MIN"	4.32	1	999.90	999.90
"ZLGNH2_MIN"	2.51	1	999.90	999.90
"ZLPOLA_MIN"	6.17	1	999.90	999.90
"ZYGNH2_MIN"	3.66	2	0.06	0.33
"Z_D_APOLA_MIN"	4.62	1	999.90	999.90
"Z_D_FPLA_MIN"	6.32	1	999.90	999.90
"Z_D_FPOLA_MIN"	4.52	1	999.90	999.90
"Z_D_LPOLA_MIN"	4.38	2	0.00	0.26
"Z_NH_GLNH2_MIN"	3.42	2	0.12	0.37
"Z_NH_GLNHOH_MIN"	5.57	1	999.90	999.90
