ACTIVITY	SET	Min_dist	Avg_dist
"01"	8.38	2	0.07	0.26
"02"	8.37	1	999.90	999.90
"03"	8.30	1	999.90	999.90
"04"	8.21	1	999.90	999.90
"05"	8.13	2	0.11	0.32
"06"	8.06	1	999.90	999.90
"07"	7.85	2	0.26	0.36
"08"	7.80	1	999.90	999.90
"09"	7.77	1	999.90	999.90
"10"	7.74	2	0.05	0.25
"11"	7.72	2	0.08	0.24
"12"	7.68	1	999.90	999.90
"13"	7.64	1	999.90	999.90
"14"	7.59	2	0.14	0.27
"15"	7.59	1	999.90	999.90
"16"	7.49	2	0.12	0.32
"17"	7.47	1	999.90	999.90
"18"	7.43	1	999.90	999.90
"19"	7.43	1	999.90	999.90
"20"	7.38	2	0.04	0.41
"21"	7.38	2	0.06	0.23
"22"	7.24	1	999.90	999.90
"23"	7.23	1	999.90	999.90
"24"	7.19	1	999.90	999.90
"25"	7.12	1	999.90	999.90
"26"	7.05	1	999.90	999.90
"27"	7.02	1	999.90	999.90
"28"	6.96	1	999.90	999.90
"29"	6.92	2	0.18	0.33
"30"	6.92	2	0.08	0.24
"31"	6.92	2	0.02	0.33
"32"	6.82	1	999.90	999.90
"33"	6.82	1	999.90	999.90
"34"	6.80	1	999.90	999.90
"35"	6.74	2	0.04	0.25
"36"	6.70	1	999.90	999.90
"37"	6.68	1	999.90	999.90
"38"	6.64	1	999.90	999.90
"39"	6.64	2	0.04	0.31
"40"	6.59	1	999.90	999.90
"41"	6.55	1	999.90	999.90
"42"	6.55	1	999.90	999.90
"43"	6.49	1	999.90	999.90
"44"	6.47	2	0.09	0.24
"45"	6.47	1	999.90	999.90
"46"	6.46	2	0.02	0.20
"47"	6.38	1	999.90	999.90
"48"	6.30	1	999.90	999.90
"49"	6.29	2	0.03	0.23
"50"	6.24	1	999.90	999.90
"51"	6.20	2	0.04	0.26
"52"	6.18	1	999.90	999.90
"53"	6.16	1	999.90	999.90
"54"	6.05	2	0.10	0.30
"55"	5.96	1	999.90	999.90
"56"	5.92	2	0.28	0.45
"57"	5.74	1	999.90	999.90
"58"	5.68	2	0.07	0.25
"59"	5.64	1	999.90	999.90
"60"	5.54	1	999.90	999.90
"61"	5.51	2	0.04	0.24
"62"	5.51	1	999.90	999.90
"63"	5.24	1	999.90	999.90
"64"	5.21	1	999.90	999.90
"65"	5.14	2	0.08	0.27
"66"	4.89	1	999.90	999.90
"67"	4.82	2	0.08	0.21
"68"	4.77	1	999.90	999.90
"69"	4.57	1	999.90	999.90
"70"	4.52	2	0.08	0.37
"71"	4.46	2	0.22	0.34
"72"	4.36	2	0.05	0.37
"73"	8.48	1	999.90	999.90
"74"	7.89	1	999.90	999.90
"75"	7.59	1	999.90	999.90
"76"	7.52	1	999.90	999.90
"77"	7.44	1	999.90	999.90
"78"	7.28	1	999.90	999.90
"79"	7.16	1	999.90	999.90
"80"	6.77	1	999.90	999.90
"81"	6.59	2	0.04	0.24
"82"	6.55	2	0.11	0.30
"83"	6.52	1	999.90	999.90
"84"	6.28	1	999.90	999.90
"85"	6.28	1	999.90	999.90
"86"	6.15	1	999.90	999.90
"87"	5.42	1	999.90	999.90
"88"	4.74	1	999.90	999.90
