Drug	ADE
allopurinol	1
carbamazepine	1
celecoxib	1
ciprofloxacin	1
cyclosporine	1
diltiazem	1
erythromycin	1
niacin	1
alatrofloxacin	1
imatinib	1
nifedipine	1
bortezomib	1
infliximab	1
nitrofurantoin	1
bosentan	1
interferon beta-1a	1
nortriptyline	1
busulfan	1
isoniazid	1
ofloxacin	1
captopril	1
itraconazole	1
oxaprozin	1
caspofungin	1
lamivudine	1
pioglitazone	1
clozapine	1
methimazole	1
piroxicam	1
dacarbazine	1
methyldopa	1
quinapril	1
darunavir	1
moexipril	1
ramipril	1
didanosine	1
nefazodone	1
sulindac	1
disulfiram	1
nevirapine	1
tamoxifen	1
efavirenz	1
norfloxacin	1
terbinafine	1
enalaprilat	1
orlistat	1
trandolapril	1
felbamate	1
penicillamine	1
valproate	1
flutamide	1
posaconazole	1
acetazolamide 	1
gemcitabine	1
propylthiouracil	1
abacavir	1
gemifloxacin	1
rifampin	1
etodolac	1
fluconazole	1
ibuprofen	1
indomethacin	1
ketorolac	1
lamotrigine	1
levofloxacin	1
tipranavir	1
thioguanine	1
thiabendazole	1
tenofovir	1
sulfisoxazole	1
stavudine	1
lisinopril	1
methotrexate	1
naproxen	1
zidovudine	1
zalcitabine	1
zafirlukast	1
voriconazole	1
trovafloxacin	1
tolmetin	1
tolcapone	1
adenosine	0
benzonatate	0
lactulose	0
miconazole	0
oxybutynin	0
penicillin V	0
salmeterol	0
scopolamine	0
sitagliptin	0
Sucralfate	0
benzocaine	0
dicyclomine	0
almotriptan	0
amylases	0
cosyntropin	0
droperidol	0
endopeptidases	0
ergotamine	0
ferrous gluconate 	0
flavoxate	0
fluticasone	0
gatifloxacin	0
ketotifen	0
lipase	0
lithium citrate	0
Methenamine	0
Neostigmine	0
Paromomycin	0
Phentermine	0
Phentolamine	0
griseofulvin	0
hyoscyamine	0
Primidone	0
Sodium Phosphate Monobasic	0
Tetrahydrocannabinol	0
Propantheline	0
Tinidazole	0
