Drug	ADE
acyclovir	1
hydrochlorothiazide	1
ibuprofen	1
lisinopril	1
meloxicam	1
naproxen	1
olmesartan medoxomil	1
allopurinol	1
candesartan	1
capreomycin	1
captopril	1
chlorothiazide	1
cyclosporine	1
diflunisal	1
enalaprilat	1
captopril	1
chlorothiazide	1
cyclosporine	1
diflunisal	1
enalaprilat	1
moexipril	1
oxaprozin	1
piroxicam	1
telmisartan	1
benzonatate	0
ketoconazole	0
loratadine	0
metaxalone	0
temazepam	0
acarbose	0
adenosine	0
almotriptan	0
amylases	0
benzocaine	0
bromfenac	0
chlorambucil	0
chlorazepate	0
clozapine	0
cosyntropin	0
dacarbazine	0
darbepoetin alfa	0
darifenacin	0
darunavir	0
dicyclomine	0
disulfiram	0
eletriptan	0
endopeptidases	0
entecavir	0
ergotamine	0
ferrous gluconate	0
flavoxate	0
flutamide	0
frovatriptan	0
gatifloxacin	0
griseofulvin	0
hyoscyamine	0
imipramine	0
infliximab	0
ketotifen	0
lactulose	0
lipase	0
mebendazole	0
methenamine	0
methocarbamol	0
miconazole	0
nelfinavir	0
neostigmine	0
nortriptyline	0
orlistat	0
paromomycin	0
penicillin V	0
phentermine	0
phentolamine	0
prilocaine	0
primidone	0
prochlorperazine	0
ramelteon	0
rizatriptan	0
scopolamine	0
simethicone	0
sodium phosphate monobasic	0
tetrahydrocannabinol	0
thiabendazole	0
thiothixene	0
tinidazole	0
urea	0
vitamin A	0
zafirlukast	0
