Drug	ADE
citalopram	1
clindamycin	1
clopidogrel	1
escitalopram	1
etodolac	1
fluoxetine	1
ibuprofen	1
indomethacin	1
ketorolac	1
meloxicam	1
nabumetone	1
naproxen	1
piroxicam	1
potassium Chloride 	1
sertraline	1
oxaprozin	1
diflunisal	1
fenoprofen	1
flurbiprofen	1
ketoprofen	1
mefenamate	1
sulindac	1
tolmetin	1
valdecoxib	1
adenosine	0
benzonatate	0
dicyclomine	0
epoetin alfa	0
fluticasone	0
hyoscyamine	0
ketoconazole	0
lactulose	0
loratadine	0
metaxalone	0
methocarbamol	0
nitrofurantoin	0
oxybutynin	0
penicillin V	0
pioglitazone	0
prochlorperazine	0
rosiglitazone	0
salmeterol	0
scopolamine	0
sitagliptin	0
sucralfate	0
temazepam	0
terbinafine	0
urea	0
abacavir	0
acarbose	0
amylases	0
benzocaine	0
bromfenac	0
chlorambucil	0
chlorazepate	0
cosyntropin	0
dacarbazine	0
darifenacin	0
disulfiram	0
droperidol	0
endopeptidases	0
entecavir	0
ergotamine	0
ferrous gluconate	0
griseofulvin	0
itraconazole	0
ketotifen	0
lamivudine	0
lipase	0
lithium citrate	0
mebendazole	0
miconazole	0
moexipril	0
neostigmine	0
nevirapine	0
orlistat	0
paromomycin	0
pemoline	0
phentermine	0
phentolamine	0
prilocaine	0
propantheline	0
simethicone	0
stavudine	0
tetrahydrocannabinol	0
thiabendazole	0
thiothixene	0
tinidazole	0
vitamin A	0
zidovudine	0
