"SAMPLE_ID"	"TOX21_ID"	"CAS"	"PUBCHEM_SID"	"SAMPLE_NAME"	"PURITY_RATING"	"PURITY_RATING_4M"	"PUBCHEM_CID"	"LAST_MODIFIED"	"SMILES"
"NCGC00255864-01"	"Tox21_301239"	"1155-74-4"	144211556	"Tetradecylpyridinium bromide"	"A"	"A"	"62379"	16-JAN-19 01.02.54.000000000 PM	"[Br-].CCCCCCCCCCCCCC[n+]1ccccc1"
"NCGC00255879-01"	"Tox21_301645"	"124-76-5"	144211962	"Isoborneol"	"A"	"A"	"6321405"	16-JAN-19 01.02.54.000000000 PM	"C[C@]12CC[C@H](C[C@H]1O)C2(C)C"
"NCGC00256067-01"	"Tox21_301339"	"34562-31-7"	144211656	"3,5-Diethyl-1-phenyl-2-propyl-1,2-dihydropyridine"	"D"	""	"118703"	16-JAN-19 01.02.54.000000000 PM	"CCC2=CN(c1ccccc1)C(CCC)C(=C2)CC"
"NCGC00256074-01"	"Tox21_301928"	"7397-62-8"	144212245	"Butyl hydroxyacetate"	"A"	"A"	"81882"	16-JAN-19 01.02.54.000000000 PM	"OCC(=O)OCCCC"
"NCGC00255047-01"	"Tox21_301149"	"94-09-7"	144211466	"Benzocaine"	"A"	"A"	"2337"	16-JAN-19 01.02.54.000000000 PM	"Nc1ccc(cc1)C(=O)OCC"
"NCGC00254400-01"	"Tox21_300356"	"112-00-5"	144210674	"Dodecyltrimethylammonium chloride"	"A"	"A"	"8152"	16-JAN-19 01.02.54.000000000 PM	"[Cl-].C[N+](C)(C)CCCCCCCCCCCC"
"NCGC00254378-01"	"Tox21_300446"	"445295-04-5"	144210764	"CP-671305"	"A"	"A"	"9955578"	16-JAN-19 01.02.54.000000000 PM	"O=C(O)[C@@H](C)Oc4ccc(CNC(=O)c3cccnc3Oc1ccc2OCOc2c1)c(F)c4"
"NCGC00254463-01"	"Tox21_300502"	"100-97-0"	144210820	"Methenamine"	"A"	"Ac"	"4101"	16-JAN-19 01.02.54.000000000 PM	"C1N3CN2CN(CN1C2)C3"
"NCGC00254588-01"	"Tox21_300680"	"57966-95-7"	144210997	"Cymoxanil"	"A"	"C"	"5364079"	16-JAN-19 01.02.54.000000000 PM	"N#C/C(=N\OC)C(=O)NC(=O)NCC"
"NCGC00254764-01"	"Tox21_300861"	"298-04-4"	144211178	"Disulfoton"	"A"	""	"3118"	16-JAN-19 01.02.54.000000000 PM	"CCSCCSP(=S)(OCC)OCC"
"NCGC00255168-01"	"Tox21_302380"	"79-57-2"	144212697	"Oxytetracycline"	"D"	""	"54675779"	16-JAN-19 01.02.54.000000000 PM	"NC(=O)C=3C(=O)[C@@]4(O)C(O)=C2C(=O)c1c(O)cccc1[C@@](C)(O)[C@H]2[C@H](O)[C@H]4[C@@H](C=3O)N(C)C"
"NCGC00017401-02"	"Tox21_113115"	"17479-19-5"	144206666	"Dihydroergocristine"	"A"	"A"	"107715"	16-JAN-19 01.02.54.000000000 PM	"CN1C[C@@H](C[C@@H]2c3cccc4ncc(C[C@@H]12)c34)C(=O)N[C@@]8(O[C@]7(O)N([C@@H](Cc5ccccc5)C(=O)N6CCC[C@H]67)C8=O)C(C)C"
"NCGC00091071-01"	"Tox21_111076"	"50-29-3"	144204627	"p,p'-DDT"	"A"	""	"3036"	16-JAN-19 01.02.54.000000000 PM	"Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl"
"NCGC00091320-02"	"Tox21_113533"	"334-48-5"	144207082	"Decanoic acid"	"Fc"	"Fc"	"2969"	16-JAN-19 01.02.54.000000000 PM	"O=C(O)CCCCCCCCC"
"NCGC00095003-01"	"Tox21_111384"	"4991-65-5"	144204937	"Tioxolone"	"A"	"A"	"72139"	16-JAN-19 01.02.54.000000000 PM	"Oc1cc2OC(=O)Sc2cc1"
"NCGC00160395-01"	"Tox21_111784"	"315-80-0"	144205337	"Dibenzepin hydrochloride"	"A"	"A"	"443945"	16-JAN-19 01.02.54.000000000 PM	"Cl.CN(C)CCN3c1ccccc1N(C)c2ccccc2C3=O"
"NCGC00181122-01"	"Tox21_112732"	"5412-37-3"	144206285	"2-Dodecylisoquinolinium tosylate"	"A"	"A"	"21517"	16-JAN-19 01.02.54.000000000 PM	"[O-]S(=O)(=O)c1ccc(C)cc1.CCCCCCCCCCCC[n+]1cc2ccccc2cc1"
"NCGC00183852-01"	"Tox21_113274"	"2001-81-2"	144206825	"Diponium bromide"	"A"	"A"	"71809"	16-JAN-19 01.02.54.000000000 PM	"[Br-].CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C2CCCC2"
"NCGC00254722-01"	"Tox21_300818"	"83164-33-4"	144211135	"Diflufenican"	"A"	"A"	"91735"	16-JAN-19 01.02.54.000000000 PM	"Fc3ccc(NC(=O)c2cccnc2Oc1cccc(c1)C(F)(F)F)c(F)c3"
"NCGC00259389-01"	"Tox21_201840"	"41317-15-1"	144209038	"4-Methoxy-2-methyl-N-phenylaniline"	"F"	""	"162461"	16-JAN-19 01.02.54.000000000 PM	"COc2cc(C)c(Nc1ccccc1)cc2"
"NCGC00259518-01"	"Tox21_201969"	"35367-38-5"	144209167	"Diflubenzuron"	"A"	"A"	"37123"	16-JAN-19 01.02.54.000000000 PM	"Clc2ccc(NC(=O)NC(=O)c1c(F)cccc1F)cc2"
"NCGC00259658-01"	"Tox21_202109"	"118-56-9"	144209307	"3,3,5-Trimethylcyclohexyl salicylate"	"A"	"F"	"8362"	16-JAN-19 01.02.54.000000000 PM	"O=C(OC1CC(C)CC(C)(C)C1)c2ccccc2O"
"NCGC00259764-01"	"Tox21_202215"	"118-71-8"	144209413	"Maltol"	"A"	"A"	"8369"	16-JAN-19 01.02.54.000000000 PM	"CC=1OC=CC(=O)C=1O"
"NCGC00260109-01"	"Tox21_202560"	"825-90-1"	144209758	"Monosodium 4-phenolsulfonate"	"A"	"A"	"4379756"	16-JAN-19 01.02.54.000000000 PM	"[Na+].Oc1ccc(cc1)S(=O)([O-])=O"
"NCGC00016350-01"	"Tox21_110389"	"93-14-1"	144203940	"Guaifenesin"	"A"	"A"	"3516"	16-JAN-19 01.02.54.000000000 PM	"OCC(O)COc1ccccc1OC"
"NCGC00090702-02"	"Tox21_400033"	"2835-95-2"	144213994	"5-Amino-2-methylphenol"	"A"	"D"	"17818"	16-JAN-19 01.02.54.000000000 PM	"Nc1cc(O)c(C)cc1"
"NCGC00160680-01"	"Tox21_111983"	"6319-06-8"	144205536	"Noreximide"	"A"	"A"	"65584"	16-JAN-19 01.02.54.000000000 PM	"O=C2NC(=O)[C@@H]3[C@H]1C=C[C@H](C1)[C@H]23"
"NCGC00183861-01"	"Tox21_113324"	"185517-21-9"	144206875	"(2R)-2-Propyloctanoic acid"	"Fc"	"Fc"	"208925"	16-JAN-19 01.02.54.000000000 PM	"O=C(O)[C@@H](CCCCCC)CCC"
"NCGC00017049-01"	"Tox21_110759"	"68-89-3"	144204310	"Dipyrone"	"A"	"B"	"522325"	16-JAN-19 01.02.54.000000000 PM	"[Na+].[O-]S(=O)(=O)CN(C)C=2C(=O)N(c1ccccc1)N(C)C=2C"
"NCGC00017113-01"	"Tox21_110782"	"42461-84-7"	144204333	"Flunixin meglumine"	"A"	"A"	"60196270"	16-JAN-19 01.02.54.000000000 PM	"CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.FC(F)(F)c2cccc(Nc1ncccc1C(=O)O)c2C"
"NCGC00021141-04"	"Tox21_110862"	"1176-08-5"	144204413	"Phenyltoloxamine citrate"	"A"	"A"	"298107"	16-JAN-19 01.02.54.000000000 PM	"O=C(O)C(O)(CC(=O)O)CC(=O)O.CN(C)CCOc2ccccc2Cc1ccccc1"
"NCGC00037064-02"	"Tox21_110973"	"26538-44-3"	144204524	"Zearalanol"	"A"	"A"	"2999413"	16-JAN-19 01.02.54.000000000 PM	"Oc1cc(O)cc2CCCCC[C@@H](O)CCC[C@H](C)OC(=O)c12"
"NCGC00256897-01"	"Tox21_302576"	"83834-59-7"	144212893	"2-Ethylhexyl trans-4-methoxycinnamate"	"A"	"A"	"5355130"	16-JAN-19 01.02.54.000000000 PM	"COc1ccc(/C=C/C(=O)OCC(CC)CCCC)cc1"
"NCGC00256919-01"	"Tox21_302607"	"103-52-6"	144212924	"2-Phenylethyl butanoate"	"A"	"Ac"	"7658"	16-JAN-19 01.02.54.000000000 PM	"CCCC(=O)OCCc1ccccc1"
"NCGC00258472-01"	"Tox21_200918"	"328-50-7"	144208116	"alpha-Ketoglutaric acid"	"A"	"Fc"	"51"	16-JAN-19 01.02.54.000000000 PM	"OC(=O)C(=O)CCC(=O)O"
"NCGC00257031-01"	"Tox21_303188"	"85-02-9"	144213505	"Benzo(f)quinoline"	"A"	"A"	"6796"	16-JAN-19 01.02.54.000000000 PM	"c2cc1ncccc1c3ccccc23"
"NCGC00257249-01"	"Tox21_303563"	"96-41-3"	144213868	"Cyclopentanol"	"A"	""	"7298"	16-JAN-19 01.02.54.000000000 PM	"OC1CCCC1"
"NCGC00257300-01"	"Tox21_303527"	"15625-89-5"	144213834	"Trimethylolpropane triacrylate"	"A"	"A"	"27423"	16-JAN-19 01.02.54.000000000 PM	"O=C(C=C)OCC(COC(=O)C=C)(CC)COC(=O)C=C"
"NCGC00257869-01"	"Tox21_200315"	"404-86-4"	144207513	"Capsaicin"	"A"	"A"	"1548943"	16-JAN-19 01.02.54.000000000 PM	"Oc1ccc(cc1OC)CNC(=O)CCCC/C=C/C(C)C"
"NCGC00257875-01"	"Tox21_200321"	"50-79-3"	144207519	"2,5-Dichlorobenzoic acid"	"A"	"A"	"5784"	16-JAN-19 01.02.54.000000000 PM	"OC(=O)c1cc(Cl)ccc1Cl"
"NCGC00258255-01"	"Tox21_200701"	"3115-68-2"	144207899	"Tetrabutylphosphonium bromide"	"A"	"A"	"76564"	16-JAN-19 01.02.54.000000000 PM	"[Br-].CCCC[P+](CCCC)(CCCC)CCCC"
"NCGC00255787-01"	"Tox21_301863"	"1335-66-6"	144212180	"Isocyclocitral"	"F"	"F"	"101150"	16-JAN-19 01.02.54.000000000 PM	"CC1CC(C)=CC(C)C1C=O"
"NCGC00255807-01"	"Tox21_301345"	"132739-31-2"	144211662	"Di(propylene glycol) tert-butyl ether"	"Z"	"F"	"164333"	16-JAN-19 01.02.54.000000000 PM	"OCCCOC(C)COC(C)(C)C"
"NCGC00255887-01"	"Tox21_302162"	"29836-26-8"	144212479	"Octyl beta-D-glucopyranoside"	"A"	"A"	"62852"	16-JAN-19 01.02.54.000000000 PM	"OC[C@H]1O[C@@H](OCCCCCCCC)[C@H](O)[C@@H](O)[C@@H]1O"
"NCGC00255996-01"	"Tox21_301599"	"5138-18-1"	144211916	"Sulfosuccinic acid"	"A"	"Ac"	"21220"	16-JAN-19 01.02.54.000000000 PM	"OC(=O)CC(C(=O)O)S(=O)(=O)O"
"NCGC00256008-01"	"Tox21_301541"	"924-88-9"	144211858	"Dipropan-2-yl butanedioate"	"A"	"Ac"	"70213"	16-JAN-19 01.02.54.000000000 PM	"CC(C)OC(=O)CCC(=O)OC(C)C"
"NCGC00256029-01"	"Tox21_302255"	"64063-37-2"	144212572	"2,6-Dichloro-3-methylaniline"	"A"	"A"	"116529"	16-JAN-19 01.02.54.000000000 PM	"Clc1c(C)ccc(Cl)c1N"
"NCGC00256034-01"	"Tox21_301225"	"18835-02-4"	144211542	"Ethyl 3-acetyl-4-oxopentanoate"	"A"	"B"	"87820"	16-JAN-19 01.02.54.000000000 PM	"O=C(C)C(CC(=O)OCC)C(C)=O"
"NCGC00255701-01"	"Tox21_301680"	"882-09-7"	144211997	"Clofibric acid"	"A"	"A"	"2797"	16-JAN-19 01.02.54.000000000 PM	"Clc1ccc(OC(C)(C)C(=O)O)cc1"
"NCGC00258781-01"	"Tox21_201229"	"1137-42-4"	144208427	"4-Hydroxybenzophenone"	"A"	"A"	"14347"	16-JAN-19 01.02.54.000000000 PM	"O=C(c1ccc(O)cc1)c2ccccc2"
"NCGC00260415-01"	"Tox21_202869"	"764-85-2"	144210067	"Nonanoyl chloride"	"F"	"F"	"69819"	16-JAN-19 01.02.54.000000000 PM	"ClC(=O)CCCCCCCC"
"NCGC00260579-01"	"Tox21_203034"	"NOCAS_49475"	144210232	"NTP Mix56 CT1 3-EQP"	"M"	"M"	""	16-JAN-19 01.02.54.000000000 PM	""
"NCGC00260618-01"	"Tox21_203073"	"NOCAS_49514"	144210271	"NTP Mix118 ER1 5-EQP"	"M"	"M"	""	16-JAN-19 01.02.54.000000000 PM	""
"NCGC00260645-01"	"Tox21_203100"	"NOCAS_49541"	144210298	"NTP Mix86 ER AR1 18-EQP"	"M"	"M"	""	16-JAN-19 01.02.54.000000000 PM	""
"NCGC00259073-01"	"Tox21_201523"	"95-65-8"	144208721	"3,4-Dimethylphenol"	"A"	"A"	"7249"	16-JAN-19 01.02.54.000000000 PM	"Cc1cc(O)ccc1C"
"NCGC00259178-01"	"Tox21_201629"	"112-60-7"	144208827	"Tetraethylene glycol"	"D"	""	"8200"	16-JAN-19 01.02.54.000000000 PM	"OCCOCCOCCOCCO"
"NCGC00259230-01"	"Tox21_201681"	"82-28-0"	144208879	"1-Amino-2-methylanthraquinone"	"A"	"A"	"6702"	16-JAN-19 01.02.54.000000000 PM	"O=C3c1ccccc1C(=O)c2c3ccc(C)c2N"
"NCGC00259237-01"	"Tox21_201688"	"74115-24-5"	144208886	"Clofentezine"	"A"	"A"	"73670"	16-JAN-19 01.02.54.000000000 PM	"Clc3ccccc3c1nnc(nn1)c2ccccc2Cl"
"NCGC00259332-01"	"Tox21_201783"	"120-58-1"	144208981	"Isosafrole"	"B"	""	"8439"	16-JAN-19 01.02.54.000000000 PM	"CC=Cc1ccc2OCOc2c1"
